Gender,Age,Married,Education,Job,Employment Years,Annual Income (USD),Interest Rate,Down Payment (USD),Credit Score,Existing Monthly Debt (USD),Area,Loans Repaid,Max Loan Amount (USD)
Male,72,No,Bachelor's,Sales Manager,47,172157.05,0.06,10327.6,711,1923.85,Urban,8,724545.44
Female,80,Yes,Bachelor's,Engineer,50,120898.73,0.06,94220.21,750,2007.93,Suburban,8,578111.4
Female,62,No,Master's,Sales Manager,41,171710.33,0.05,173403.21,779,3286.96,Suburban,5,892278.47
Male,46,Yes,PhD,Business Owner,21,125210.77,0.03,29137.33,836,858.07,Urban,5,1063056.58
Female,61,Yes,Master's,Accountant,38,84269.32,0.06,49152.25,741,1565.33,Urban,4,365185.8
Female,45,No,Bachelor's,Doctor,24,94448.36,0.08,71277.29,661,1185.64,Suburban,5,347742.87
Female,41,Yes,Master's,Doctor,18,155870.85,0.05,96931.99,742,3393.73,Urban,3,626275.95
Female,49,Yes,Bachelor's,Software Engineer,22,110491.1,0.06,14880.38,713,1152.52,Urban,4,481513.95
Male,51,Yes,PhD,Accountant,30,80948.87,0.09,67709.34,636,1663.65,Suburban,3,210234.04
Male,40,Yes,Bachelor's,Software Engineer,16,57770.59,0.03,23044.38,791,162.01,Suburban,6,506824.37
Female,86,No,Bachelor's,Doctor,50,129355.8,0.03,117062.43,832,1828.07,Urban,4,961872.81
Male,83,Yes,High School,Engineer,50,69961.59,0.04,37583.58,786,1752.1,Urban,8,257139.37
Male,35,Yes,Bachelor's,Retired,14,45420.84,0.08,24049.9,672,322.09,Urban,1,188610.04
Female,69,Yes,High School,Accountant,45,76351.6,0.04,30254.76,791,1300.45,Suburban,12,402809.55
Female,82,No,PhD,Engineer,50,116241.77,0.06,20821.64,730,1229.25,Urban,9,522460.29
Male,29,No,High School,Sales Manager,4,96222.32,0.06,32757.58,725,1499.42,Urban,1,354893.96
Female,69,No,Bachelor's,Lawyer,40,161541.27,0.07,12091.37,714,3458.44,Urban,7,397702.93
Female,54,Yes,Bachelor's,Accountant,31,104092.6,0.03,81374.11,850,1013.02,Urban,7,869831.4
Female,61,Yes,Bachelor's,Retired,36,141995.12,0.03,155162.75,850,1885.87,Suburban,7,1111175.66
Male,56,No,Bachelor's,Doctor,28,134800.69,0.03,66964.78,793,2242.15,Suburban,5,811425.83
Male,53,No,Bachelor's,Teacher,27,131538.24,0.03,112402.21,820,2511.62,Urban,7,816648.98
Male,50,Yes,Master's,Teacher,23,111628.86,0.05,31956.74,751,1642.16,Urban,5,542472.18
Male,63,Yes,High School,Accountant,37,44247.09,0.11,26724.23,618,801.03,Urban,9,81081.38
Male,81,No,Master's,Freelancer,50,123851.65,0.07,83864.63,704,2547.55,Urban,11,381412.04
Male,36,Yes,High School,Engineer,15,115110.41,0.07,74528.78,704,1531.31,Suburban,2,479441.28
Male,48,Yes,Master's,Lawyer,31,135949.24,0.03,77215.93,819,2265.56,Urban,2,883418.35
Female,69,Yes,Bachelor's,Banker,42,178355.09,0.03,90401.15,850,2858.25,Urban,9,1175116.78
Male,63,Yes,Master's,Banker,41,150089.42,0.03,144611.84,849,2937.94,Urban,6,931079.4
Female,30,No,Master's,Engineer,8,70784.34,0.09,38331.17,638,971.91,Urban,1,225333.13
Female,34,No,Bachelor's,Sales Manager,7,98887.95,0.08,43108.9,674,2114.33,Urban,4,223116.91
Male,50,No,High School,Accountant,26,135638.58,0.08,50337.91,665,1625.41,Urban,2,489590.02
Female,59,No,Bachelor's,Retired,40,117001.93,0.08,72303.92,691,1181.7,Urban,5,503135.39
Female,50,Yes,Master's,Retired,24,121894.8,0.03,106367.54,795,1261.58,Rural,3,945853.63
Male,43,Yes,Bachelor's,Teacher,13,104660.23,0.03,59232.96,802,2364.38,Suburban,3,486968.32
Female,32,Yes,Bachelor's,Accountant,10,101710.47,0.04,21038.57,785,884.84,Suburban,3,657552.38
Male,40,Yes,Bachelor's,Freelancer,17,150558.19,0.04,83344.43,778,1279.97,Urban,1,1080251.11
Female,37,Yes,Bachelor's,Accountant,10,80227.98,0.07,34373.46,713,1114.9,Urban,1,307812.78
Male,83,Yes,Master's,Teacher,50,85005.87,0.04,50807.25,806,1223.98,Suburban,10,524445.91
Female,86,No,Bachelor's,Doctor,50,177686.62,0.03,75238.16,792,3053.52,Suburban,13,1009786.13
Male,29,Yes,Bachelor's,Business Owner,8,86672.77,0.05,78526.62,762,929.33,Suburban,2,558956.2
Female,43,Yes,Master's,Teacher,21,102891.66,0.03,14531.99,850,1028.67,Suburban,4,787407.74
Male,79,Yes,Bachelor's,Retired,50,140680.57,0.03,5000.0,811,940.02,Rural,11,1094175.16
Female,28,No,Master's,Nurse,4,90869.02,0.08,12473.06,686,577.32,Suburban,4,394195.56
Female,33,Yes,Master's,Teacher,10,74957.28,0.05,25656.88,764,481.56,Urban,5,477114.28
Male,81,Yes,Master's,Lawyer,50,136584.45,0.06,108791.63,730,1704.67,Suburban,8,651959.62
Female,46,Yes,Master's,Teacher,22,86015.95,0.03,39349.9,849,1041.87,Urban,6,642313.79
Male,60,No,High School,Engineer,36,143551.89,0.06,87442.93,747,2787.14,Urban,6,582095.2
Female,55,Yes,High School,Teacher,26,131414.7,0.07,67119.11,680,1821.06,Urban,3,491816.36
Female,32,Yes,Master's,Banker,3,66907.14,0.07,56271.03,698,816.2,Rural,1,297777.05
Female,39,No,Bachelor's,Nurse,15,101868.66,0.04,81729.22,740,1085.31,Urban,4,690365.21
Female,57,Yes,High School,Nurse,27,47493.08,0.09,22973.55,621,2.84,Rural,4,220656.07
Male,44,Yes,Master's,Doctor,27,126396.77,0.04,82453.25,791,2645.77,Urban,5,596230.3
Male,46,Yes,Bachelor's,Business Owner,22,96039.53,0.03,15262.95,794,664.29,Urban,4,772877.93
Male,67,No,Master's,Engineer,48,136914.35,0.05,86772.08,760,1635.6,Urban,4,814903.16
Female,69,Yes,Master's,Lawyer,45,168167.07,0.03,84338.4,820,1300.11,Urban,8,1352404.91
Male,52,Yes,Bachelor's,Accountant,30,29904.47,0.05,30459.46,757,246.43,Suburban,6,203319.74
Female,62,No,Master's,Lawyer,42,163144.0,0.03,62731.25,838,1793.15,Suburban,6,1249747.25
Female,36,No,High School,Doctor,5,136229.56,0.03,83436.93,825,1648.11,Urban,3,1038863.22
Male,59,Yes,Bachelor's,Business Owner,35,146141.18,0.03,92568.98,810,2591.34,Suburban,10,871550.53
Female,66,No,Bachelor's,Freelancer,44,139107.09,0.03,118840.92,754,1965.48,Suburban,9,922287.14
Male,83,No,Bachelor's,Software Engineer,50,109070.9,0.06,46138.34,734,1416.99,Urban,13,463521.72
Male,65,No,Bachelor's,Lawyer,41,156345.77,0.06,121587.17,719,2380.5,Urban,7,690507.68
Female,42,No,Bachelor's,Sales Manager,20,151952.42,0.08,65601.7,689,2720.52,Urban,2,461797.03
Male,72,Yes,Bachelor's,Business Owner,46,178723.61,0.04,19168.07,768,2510.15,Urban,7,988934.82
Male,73,Yes,Master's,Sales Manager,50,138297.52,0.03,89915.72,850,1315.1,Rural,14,1144767.24
Female,64,Yes,Bachelor's,Lawyer,44,131350.26,0.06,64907.25,729,681.03,Suburban,9,739575.61
Male,53,Yes,Master's,Sales Manager,33,125449.67,0.03,32115.74,850,2358.0,Suburban,8,712626.84
Female,83,Yes,PhD,Teacher,50,77857.58,0.03,34795.12,803,921.04,Urban,6,543639.41
Female,58,No,Master's,Lawyer,33,140376.05,0.03,22322.99,850,2165.04,Urban,8,896119.48
Male,57,Yes,PhD,Retired,32,154894.31,0.07,73803.84,726,3259.73,Urban,3,453106.85
Male,29,No,High School,Accountant,7,50460.52,0.06,33891.82,722,1015.79,Rural,1,178483.37
Female,34,Yes,Bachelor's,Engineer,8,25000.0,0.06,11927.74,723,342.64,Urban,1,105158.94
Male,57,Yes,Bachelor's,Engineer,34,65944.28,0.03,14261.86,839,1064.13,Urban,6,413579.95
Male,60,Yes,Bachelor's,Freelancer,36,128295.73,0.03,44712.17,809,2148.52,Urban,4,799138.07
Female,75,No,Bachelor's,Business Owner,50,179399.14,0.03,148540.82,836,1139.64,Urban,7,1651211.06
Male,66,Yes,Bachelor's,Freelancer,40,138297.19,0.03,92526.29,850,1288.48,Rural,6,1153688.16
Female,74,No,Master's,Nurse,49,144585.9,0.06,132987.46,716,1697.18,Urban,6,722974.36
Male,65,No,PhD,Retired,43,139747.06,0.04,19802.33,781,1773.41,Suburban,5,800319.29
Male,47,Yes,Master's,Lawyer,25,152262.61,0.07,135453.08,714,3318.13,Urban,5,491518.47
Male,46,Yes,Master's,Retired,20,71671.5,0.05,17981.37,738,1121.91,Suburban,2,285272.57
Female,36,No,Bachelor's,Sales Manager,12,88760.74,0.09,15825.4,633,1441.51,Suburban,0,219418.74
Female,49,No,Bachelor's,Banker,23,88874.5,0.05,62313.86,763,1390.8,Suburban,7,465076.12
Female,59,Yes,PhD,Accountant,34,116541.76,0.06,69562.22,714,1034.99,Rural,5,594027.38
Male,57,Yes,Master's,Teacher,32,151764.2,0.1,46428.38,637,1785.0,Urban,3,452120.59
Male,33,No,Bachelor's,Retired,4,40870.18,0.03,22405.21,850,544.38,Urban,0,297198.35
Male,44,No,Bachelor's,Accountant,16,83712.71,0.03,37556.54,798,974.76,Urban,3,587090.5
Female,64,Yes,Master's,Software Engineer,40,124268.6,0.06,84393.83,704,2492.48,Suburban,6,412827.97
Female,42,No,Bachelor's,Accountant,21,109151.45,0.03,124112.77,841,1651.11,Urban,3,811218.79
Female,34,Yes,Bachelor's,Freelancer,11,85343.07,0.03,68501.89,842,778.06,Urban,3,727390.03
Male,41,Yes,High School,Lawyer,19,108827.69,0.06,40366.49,722,944.39,Rural,1,535669.6
Female,47,Yes,PhD,Engineer,22,79938.27,0.04,30964.47,787,1141.62,Suburban,11,488817.77
Male,57,Yes,Bachelor's,Retired,37,61557.95,0.04,5000.0,785,1276.31,Urban,8,263152.06
Female,45,Yes,Master's,Freelancer,22,100881.36,0.08,90957.14,652,1687.27,Suburban,3,341696.05
Male,84,Yes,PhD,Sales Manager,50,113269.28,0.03,81762.49,850,984.12,Urban,15,967766.28
Female,49,No,Master's,Retired,31,41383.53,0.05,36851.08,771,236.93,Suburban,10,308740.91
Male,52,Yes,Bachelor's,Banker,26,148161.62,0.05,105791.02,746,1561.77,Suburban,10,959639.99
Male,51,No,Bachelor's,Sales Manager,33,69155.83,0.07,34546.89,700,374.6,Urban,5,353145.38
Female,58,Yes,PhD,Freelancer,40,137705.4,0.05,73451.54,764,2284.34,Urban,3,670580.06
Male,76,Yes,Bachelor's,Lawyer,50,198644.04,0.08,135395.91,702,3437.44,Suburban,9,675848.29
Male,45,Yes,Bachelor's,Banker,22,91724.92,0.05,69061.44,790,863.58,Rural,4,601597.33
Female,61,No,Master's,Software Engineer,38,154835.73,0.03,62425.33,850,2270.25,Urban,9,1054170.45
Female,45,Yes,Bachelor's,Engineer,19,104802.61,0.08,78172.19,670,2094.14,Rural,3,299422.97
Female,41,Yes,Bachelor's,Accountant,17,51665.79,0.07,9504.5,696,1011.56,Urban,1,148010.55
Male,31,No,Bachelor's,Accountant,7,74424.23,0.11,38513.98,604,818.0,Urban,2,183670.39
Female,34,No,High School,Business Owner,11,93613.47,0.08,32504.2,670,1715.48,Suburban,3,244112.24
Female,34,Yes,Master's,Freelancer,13,94565.55,0.06,27888.27,704,1778.61,Urban,2,298934.36
Male,28,Yes,High School,Teacher,9,76088.39,0.12,43394.99,580,764.34,Suburban,1,191001.86
Female,67,No,Master's,Sales Manager,44,76916.29,0.11,54716.55,626,1808.56,Urban,4,154207.48
Male,79,No,Bachelor's,Business Owner,50,147740.55,0.04,120811.92,766,1764.56,Urban,7,945384.7
Male,51,No,High School,Freelancer,26,94617.26,0.07,44411.39,713,1057.89,Suburban,9,417365.48
Male,59,Yes,Bachelor's,Retired,38,129711.15,0.04,127281.04,806,2264.0,Urban,5,782257.81
Male,37,Yes,Bachelor's,Banker,16,72341.92,0.05,52797.55,746,1237.46,Urban,4,351777.16
Female,36,Yes,Master's,Retired,12,116856.55,0.03,10861.12,792,873.22,Rural,4,879328.84
Female,66,Yes,Master's,Banker,46,118041.94,0.06,70581.25,731,1717.9,Urban,9,503524.11
Female,30,No,Bachelor's,Software Engineer,9,118739.45,0.06,84381.26,737,1197.72,Rural,2,594775.16
Female,71,Yes,PhD,Business Owner,45,176479.07,0.03,157424.12,850,3040.16,Rural,6,1180453.14
Male,62,No,Bachelor's,Engineer,41,139695.54,0.07,30550.25,715,1220.6,Urban,4,613879.88
Female,32,Yes,Master's,Banker,5,89283.86,0.03,5000.0,791,1511.49,Urban,5,519685.96
Female,34,No,Bachelor's,Engineer,7,79054.74,0.05,63854.63,739,667.87,Urban,2,450095.29
Male,39,Yes,PhD,Nurse,16,90220.26,0.04,70439.82,776,1016.64,Urban,2,587137.72
Female,50,Yes,Master's,Retired,29,88155.94,0.03,45192.9,803,1459.68,Urban,2,510741.94
Female,52,No,Bachelor's,Lawyer,31,102031.13,0.03,34152.92,850,1952.19,Urban,2,579476.23
Female,44,Yes,Bachelor's,Lawyer,14,106556.79,0.11,92512.83,626,1779.54,Suburban,1,303617.09
Female,41,No,High School,Nurse,21,108646.75,0.05,98623.14,781,873.19,Rural,2,777368.68
Male,62,Yes,High School,Sales Manager,41,137735.79,0.05,93121.3,777,1520.38,Suburban,10,859942.22
Male,28,Yes,Master's,Teacher,3,99057.68,0.05,43395.24,766,2184.61,Urban,3,392568.1
Male,49,Yes,High School,Banker,26,58063.97,0.04,26184.79,798,827.67,Urban,3,355940.24
Female,55,Yes,Bachelor's,Accountant,37,98418.57,0.05,70292.35,748,1452.82,Urban,4,524134.78
Female,85,Yes,Bachelor's,Sales Manager,50,119489.01,0.04,84259.91,775,1444.85,Urban,8,765194.38
Female,50,Yes,High School,Banker,23,94840.6,0.07,85197.83,710,1223.72,Rural,5,433858.56
Male,45,Yes,PhD,Lawyer,20,190072.07,0.03,42795.47,850,3501.82,Urban,5,1090660.61
Male,73,Yes,Bachelor's,Nurse,49,80511.25,0.03,57703.19,783,1132.78,Urban,8,531459.29
Female,84,No,Master's,Teacher,50,79365.02,0.03,31113.21,850,1349.14,Rural,13,495465.27
Female,72,No,Master's,Sales Manager,50,111206.49,0.06,84699.4,742,1679.52,Urban,5,550032.26
Male,71,No,Bachelor's,Sales Manager,48,101889.62,0.04,60226.22,778,1692.78,Suburban,10,543390.52
Female,64,No,High School,Accountant,39,64995.47,0.05,5000.0,748,953.68,Suburban,11,319107.86
Female,30,Yes,High School,Retired,2,85887.65,0.06,16286.82,740,536.88,Rural,2,482064.0
Female,41,Yes,Bachelor's,Lawyer,19,144629.92,0.07,52451.99,675,1945.7,Suburban,4,497251.03
Female,66,Yes,Bachelor's,Accountant,43,121067.18,0.09,86637.01,665,1477.15,Urban,9,424171.67
Male,34,Yes,PhD,Banker,12,109067.6,0.04,48901.19,768,941.5,Suburban,3,742050.87
Female,44,Yes,Bachelor's,Engineer,18,121802.26,0.06,103869.18,736,1892.25,Urban,4,520633.12
Female,33,Yes,PhD,Retired,14,117124.01,0.06,11435.94,731,937.76,Rural,3,556745.94
Male,74,Yes,Master's,Sales Manager,49,162047.96,0.05,74311.82,739,3212.01,Rural,11,576635.39
Male,46,No,Master's,Banker,26,102402.05,0.05,67457.08,746,1378.51,Rural,2,568268.95
Female,42,Yes,Bachelor's,Doctor,23,149547.56,0.07,37908.9,692,1447.74,Urban,4,656745.56
Male,66,Yes,PhD,Nurse,36,93110.87,0.04,26931.4,793,597.63,Rural,7,706644.11
Male,32,No,PhD,Software Engineer,11,147505.2,0.05,45093.91,741,2222.57,Urban,1,708575.92
Female,42,Yes,High School,Nurse,19,85513.13,0.06,63863.84,763,1114.99,Suburban,4,468493.24
Male,79,No,PhD,Retired,50,159099.25,0.04,106433.56,784,3182.98,Urban,8,794151.82
Female,72,Yes,Master's,Accountant,50,113641.53,0.03,129242.15,850,1233.52,Urban,14,959770.24
Male,53,Yes,Bachelor's,Accountant,32,78648.95,0.05,24307.64,755,1471.53,Suburban,5,337839.46
Female,66,No,Bachelor's,Banker,40,122019.96,0.07,69609.64,738,1250.86,Urban,5,559132.7
Male,72,Yes,Master's,Doctor,47,151750.72,0.03,98232.54,850,1059.16,Suburban,9,1346744.61
Male,40,No,Master's,Retired,17,124970.57,0.08,86113.37,673,2057.26,Suburban,3,403232.62
Male,58,No,Bachelor's,Banker,36,81114.26,0.05,15527.27,769,1081.61,Suburban,5,420903.3
Female,40,No,PhD,Retired,20,92522.39,0.09,94246.6,629,804.28,Suburban,2,400038.4
Female,50,Yes,Master's,Retired,27,101756.89,0.05,44610.5,741,917.11,Suburban,3,614740.29
Male,67,Yes,PhD,Lawyer,39,178552.31,0.03,35169.46,850,3361.6,Suburban,7,1002445.01
Female,59,Yes,PhD,Teacher,31,134453.24,0.05,67859.42,745,2583.44,Urban,6,601286.38
Female,64,Yes,Bachelor's,Accountant,35,116826.36,0.06,119062.73,725,1792.95,Rural,4,514654.05
Female,31,Yes,Master's,Banker,9,100975.95,0.04,51622.26,782,1501.98,Rural,4,575343.14
Male,44,No,High School,Business Owner,21,142813.59,0.11,73833.15,597,1901.76,Urban,2,323101.66
Female,47,Yes,Bachelor's,Accountant,24,138262.58,0.06,49927.62,738,1083.72,Rural,1,684089.66
Male,73,No,Bachelor's,Business Owner,48,186631.56,0.05,154871.07,750,2339.41,Suburban,5,1070163.13
Male,38,Yes,Bachelor's,Engineer,14,100227.78,0.05,124873.16,755,2150.53,Urban,7,465518.91
Female,69,Yes,High School,Freelancer,47,71186.89,0.05,33459.74,760,1277.34,Urban,9,323826.46
Female,60,Yes,PhD,Nurse,42,112791.62,0.03,78784.08,850,1720.68,Suburban,4,785363.16
Male,66,Yes,Master's,Doctor,45,164968.21,0.03,182804.1,850,2616.42,Urban,8,1192578.93
Male,33,No,Bachelor's,Business Owner,9,99404.8,0.03,69134.01,800,1308.08,Urban,4,690206.26
Female,66,No,Bachelor's,Freelancer,40,133913.63,0.06,57419.65,739,2591.71,Rural,9,434990.13
Female,83,No,Bachelor's,Teacher,50,114239.41,0.03,34495.94,850,1582.45,Urban,9,788170.99
Male,74,Yes,Bachelor's,Engineer,46,95082.75,0.04,48701.61,790,1464.78,Suburban,9,564777.42
Female,65,Yes,High School,Lawyer,43,158538.71,0.03,14618.86,831,1140.28,Urban,12,1310976.81
Male,45,No,High School,Retired,24,127293.78,0.03,98299.23,850,1709.68,Urban,5,950810.69
Male,29,No,High School,Retired,6,55146.34,0.06,37810.44,715,833.53,Urban,1,225392.8
Female,68,No,Master's,Lawyer,50,145518.5,0.04,84965.5,769,2184.88,Suburban,10,864944.26
Male,65,Yes,Master's,Lawyer,38,129866.66,0.03,89769.44,850,2065.51,Suburban,7,883308.84
Male,81,Yes,Master's,Nurse,50,91563.92,0.05,119291.0,771,725.62,Urban,13,682826.32
Female,44,No,Bachelor's,Doctor,23,200507.36,0.06,16332.25,743,2036.38,Suburban,5,1062584.52
Female,51,Yes,Bachelor's,Teacher,32,54464.41,0.04,35699.3,787,1105.02,Suburban,2,264961.47
Male,57,No,PhD,Teacher,32,135101.74,0.03,55820.55,850,1336.49,Urban,12,1074014.81
Female,70,Yes,Bachelor's,Sales Manager,49,128411.66,0.08,86597.42,695,1346.25,Urban,7,535334.66
Female,51,No,Master's,Teacher,27,155436.66,0.07,46611.45,699,3232.87,Urban,2,413044.9
Male,31,No,Bachelor's,Accountant,5,140222.45,0.05,62048.73,740,1384.24,Suburban,1,832204.7
Female,34,No,Master's,Banker,10,43800.12,0.07,22242.92,722,366.51,Suburban,2,210790.1
Male,42,Yes,Bachelor's,Engineer,13,83341.68,0.08,63382.11,677,1362.62,Urban,1,274118.81
Male,84,No,PhD,Nurse,50,129390.01,0.07,5000.0,754,1110.64,Urban,8,641193.89
Female,57,No,Bachelor's,Banker,34,93788.86,0.07,72948.37,670,1312.68,Suburban,3,361507.32
Female,86,Yes,Bachelor's,Nurse,50,142419.03,0.08,129646.25,681,1618.24,Rural,6,602813.73
Male,56,No,Bachelor's,Accountant,27,120302.3,0.07,24919.35,727,1762.88,Urban,8,427406.82
Male,76,Yes,Master's,Doctor,50,150700.43,0.03,46697.97,810,1855.17,Suburban,8,1096025.85
Female,71,Yes,Master's,Sales Manager,48,135080.73,0.05,91411.01,764,1472.07,Urban,7,807063.62
Male,72,Yes,High School,Doctor,50,191771.28,0.05,120399.95,776,3010.21,Urban,7,1018092.35
Male,80,No,Bachelor's,Banker,49,122008.91,0.05,45784.03,734,791.2,Urban,8,681578.45
Male,40,No,Bachelor's,Freelancer,18,74686.79,0.07,65027.61,715,796.23,Urban,2,363706.26
Female,67,No,Bachelor's,Accountant,46,130143.64,0.03,74006.2,790,983.39,Rural,12,1024001.38
Male,66,Yes,Master's,Nurse,44,111983.25,0.03,88660.16,850,1356.41,Urban,10,865645.17
Male,56,No,Bachelor's,Doctor,35,143485.25,0.07,97606.43,705,2305.12,Urban,7,520078.8
Female,53,Yes,Bachelor's,Freelancer,24,91464.57,0.03,41539.21,829,1228.81,Urban,4,654012.82
Female,63,Yes,Master's,Retired,43,129722.32,0.03,86073.52,826,1235.38,Urban,13,1075085.66
Female,62,Yes,High School,Teacher,38,99576.01,0.03,55853.42,808,1502.56,Urban,8,660435.21
Male,76,Yes,High School,Lawyer,50,128395.88,0.05,83526.94,751,2450.78,Suburban,13,602028.27
Female,75,No,PhD,Banker,50,128454.71,0.03,69461.29,850,2047.53,Urban,10,853310.86
Male,46,Yes,Master's,Teacher,22,109763.82,0.04,87348.12,783,1159.77,Urban,1,777779.37
Male,29,No,Bachelor's,Retired,2,25000.0,0.1,8742.75,608,38.22,Suburban,0,83875.36
Female,80,Yes,Master's,Software Engineer,50,140931.59,0.03,79176.34,838,1237.8,Urban,9,1178393.06
Male,41,Yes,High School,Business Owner,19,160646.17,0.05,84993.98,739,3445.42,Rural,1,520267.44
Male,43,No,Bachelor's,Engineer,21,125205.25,0.06,86328.77,701,1314.44,Urban,4,624907.37
Male,76,Yes,Bachelor's,Nurse,50,133584.7,0.05,78609.23,756,2138.69,Urban,8,699975.12
Male,63,Yes,Bachelor's,Banker,36,123843.86,0.03,144018.46,834,1920.88,Rural,12,912339.3
Male,67,Yes,High School,Accountant,47,130509.52,0.03,81747.39,803,1113.2,Suburban,9,1008568.4
Female,68,No,Master's,Software Engineer,47,108290.03,0.05,13768.53,764,1273.73,Suburban,6,609150.34
Male,58,Yes,PhD,Lawyer,28,183877.5,0.05,53452.99,770,1761.58,Suburban,9,1122250.57
Male,75,No,Master's,Doctor,49,141314.57,0.05,67764.9,739,1767.59,Urban,15,679048.06
Male,75,Yes,Bachelor's,Engineer,50,94226.23,0.03,85072.63,781,1034.4,Urban,7,713586.65
Female,76,No,Bachelor's,Doctor,50,180511.54,0.03,84588.69,850,2056.8,Rural,8,1380712.27
Female,62,Yes,Master's,Nurse,39,74236.57,0.05,17818.26,729,963.89,Urban,5,330374.78
Male,49,Yes,Master's,Teacher,24,108324.3,0.04,128925.83,745,650.23,Urban,3,866965.72
Female,48,Yes,PhD,Retired,23,126177.46,0.03,93895.2,817,1629.04,Urban,3,876501.28
Male,55,Yes,Master's,Banker,31,154017.65,0.07,123231.15,681,2377.82,Suburban,3,590592.82
Male,44,Yes,Bachelor's,Retired,19,108718.89,0.05,67090.61,758,1852.68,Rural,4,529486.33
Male,77,Yes,Bachelor's,Teacher,50,142755.58,0.06,100895.18,737,927.57,Urban,10,788535.16
Male,45,Yes,Bachelor's,Engineer,27,99505.64,0.03,22386.04,805,933.38,Rural,4,729320.79
Male,59,Yes,Master's,Retired,30,133552.98,0.07,39787.54,712,2691.27,Urban,6,361844.42
Female,50,Yes,Bachelor's,Doctor,24,130392.04,0.03,73168.85,815,637.07,Urban,5,1208550.82
Male,33,Yes,PhD,Accountant,12,115971.49,0.06,88138.36,717,1090.41,Urban,4,601396.94
Female,56,No,PhD,Engineer,37,120032.33,0.06,95777.05,756,1130.92,Urban,5,730829.85
Male,33,No,Bachelor's,Lawyer,7,110285.38,0.06,36849.32,726,1557.37,Urban,2,436276.17
Male,60,Yes,High School,Doctor,38,149966.32,0.06,118488.26,711,2243.29,Suburban,4,649984.37
Male,75,Yes,PhD,Engineer,45,100620.35,0.03,32011.07,850,1337.07,Rural,15,709289.91
Female,59,No,Master's,Business Owner,33,150208.8,0.03,88346.45,850,1236.87,Urban,3,1240759.5
Male,44,Yes,Bachelor's,Sales Manager,18,84212.66,0.09,66227.44,646,1029.6,Suburban,1,300160.76
Female,31,Yes,Bachelor's,Banker,5,106992.08,0.11,23098.64,602,1704.57,Urban,1,179315.45
Male,75,Yes,Bachelor's,Banker,50,128004.15,0.05,52589.49,769,1731.99,Rural,12,695324.54
Male,85,Yes,Master's,Accountant,50,120660.63,0.05,87149.35,756,1869.01,Suburban,5,670409.1
Male,58,Yes,PhD,Engineer,38,146964.14,0.04,123891.03,771,2053.3,Suburban,10,898103.11
Male,49,Yes,Bachelor's,Engineer,24,107677.12,0.09,108377.18,666,1132.8,Suburban,3,422722.46
Male,54,Yes,High School,Teacher,30,84734.46,0.04,51036.37,771,1428.92,Suburban,4,461048.74
Male,81,No,Bachelor's,Teacher,50,135768.35,0.08,61217.64,669,1911.91,Rural,7,455860.15
Female,48,No,High School,Business Owner,23,131923.42,0.06,73834.07,747,2847.31,Urban,5,477039.42
Male,47,No,Bachelor's,Banker,25,76355.95,0.05,44015.53,743,729.18,Urban,2,456020.1
Female,61,Yes,Master's,Nurse,38,162990.53,0.03,67423.8,799,2445.52,Suburban,10,1098188.94
Male,50,Yes,PhD,Teacher,31,126011.0,0.05,71424.13,760,1946.86,Urban,11,676006.51
Female,71,Yes,Master's,Software Engineer,47,93826.39,0.03,65449.1,850,799.52,Urban,14,803086.66
Female,43,No,Master's,Doctor,18,164565.32,0.04,86740.62,760,3220.68,Suburban,2,783914.31
Male,33,Yes,Master's,Sales Manager,8,58382.55,0.07,30481.89,712,267.15,Urban,3,312622.56
Male,43,No,PhD,Banker,20,75190.78,0.06,39671.55,696,773.83,Urban,3,367091.1
Female,34,No,Master's,Teacher,12,119912.48,0.03,117710.35,806,1482.42,Rural,2,889669.35
Female,41,Yes,PhD,Software Engineer,15,127727.8,0.1,34395.82,627,2016.74,Suburban,2,318553.09
Male,30,No,Master's,Software Engineer,3,100888.41,0.07,31524.49,713,2205.51,Rural,5,263413.81
Male,60,Yes,PhD,Doctor,35,179893.93,0.07,104298.84,698,2206.04,Urban,2,734644.29
Female,76,No,Bachelor's,Doctor,50,153901.27,0.03,85172.99,850,2840.91,Urban,7,932326.83
Male,79,Yes,Bachelor's,Engineer,50,140989.49,0.03,123964.37,803,2222.97,Urban,8,937010.14
Female,63,Yes,Master's,Accountant,40,131415.97,0.03,144093.16,847,1107.32,Rural,5,1180216.55
Male,66,Yes,Bachelor's,Software Engineer,45,116320.35,0.03,89912.71,850,1969.16,Suburban,9,772430.08
Male,56,Yes,Master's,Freelancer,32,127376.44,0.04,54567.08,783,2358.15,Urban,7,625129.85
Female,66,Yes,Bachelor's,Software Engineer,40,165690.23,0.05,99278.46,761,1663.98,Urban,3,1018875.9
Female,31,No,Bachelor's,Teacher,15,135120.42,0.03,147810.67,831,1645.1,Suburban,4,1072314.47
Male,66,Yes,PhD,Nurse,41,161679.99,0.07,26435.02,706,1042.86,Suburban,8,769618.32
Male,67,No,High School,Doctor,41,104130.57,0.05,78198.41,765,754.29,Suburban,5,697237.57
Female,68,Yes,Bachelor's,Freelancer,47,55938.97,0.03,45679.87,793,528.97,Suburban,7,428852.06
Female,49,Yes,Bachelor's,Engineer,27,66612.63,0.09,9817.31,635,436.27,Urban,3,241648.56
