Division,District,Market,Crop,Variety,Group,Arrivals (Tonnes),Min Price (BDT/Quintal),Max Price (BDT/Quintal),Price (BDT/Quintal),Reported Date,Quality_Grade,Market_Demand,Stock_Availability,Market_Type,Season
Chattogram,Cox's Bazar,Cox's Bazar Market,Lentil,BARI Masur-8,Pulses,1,6645,7199,6922,12/24/2022,Grade A,High,Medium,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Lentil,BARI Masur-9,Pulses,232,4681,5071,4876,6/5/2023,Grade A,Medium,Medium,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Lentil,BARI Masur-9,Pulses,75,5722,6198,5960,12/21/2021,Grade B,Low,Low,Wholesale,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Lentil,BARI Masur-8,Pulses,20,2429,2631,2530,4/4/2022,Grade C,High,Low,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-9,Pulses,1,2736,2964,2850,11/7/2024,Grade B,High,Low,Retail,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Lentil,BARI Masur-9,Pulses,3,7988,8654,8321,2/10/2023,Grade A,High,Medium,Retail,Winter
Khulna,Satkhira,Satkhira Market,Lentil,BARI Masur-8,Pulses,12,5088,5512,5300,6/13/2022,Grade B,Medium,High,Wholesale,Winter
Chattogram,Feni,Feni Sadar Market,Lentil,BARI Masur-9,Pulses,43,3091,3349,3220,6/10/2020,Grade C,Medium,Medium,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Lentil,BARI Masur-8,Pulses,5,1984,2150,2067,2/8/2020,Grade A,Medium,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-9,Pulses,5,8170,8850,8510,12/18/2023,Grade C,Medium,Medium,Retail,Winter
Barishal,Barishal,Nathullabad Market,Lentil,BARI Masur-8,Pulses,14,5112,5538,5325,7/13/2020,Grade B,Low,Low,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Lentil,BARI Masur-9,Pulses,550,5198,5632,5415,11/9/2022,Grade B,Medium,Medium,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-8,Pulses,30,12472,13512,12992,7/8/2024,Premium,High,Medium,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Lentil,BARI Masur-8,Pulses,4,2678,2902,2790,12/31/2022,Grade B,Medium,Medium,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Lentil,BARI Masur-9,Pulses,312,4539,4917,4728,10/22/2022,Grade A,Medium,Low,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-8,Pulses,8,4946,5358,5152,12/1/2021,Grade C,Medium,Low,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Lentil,BARI Masur-9,Pulses,256,4799,5199,4999,7/15/2023,Grade A,High,Low,Retail,Winter
Khulna,Khulna,Khulna New Market,Lentil,BARI Masur-8,Pulses,8,4416,4784,4600,7/17/2023,Grade B,Medium,High,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-8,Pulses,3,2188,2370,2279,2/9/2023,Grade A,High,High,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-9,Pulses,42.9,8810,9544,9177,11/18/2024,Grade C,Medium,Medium,Wholesale,Winter
Chattogram,Feni,Feni Sadar Market,Lentil,BARI Masur-8,Pulses,1.5,9216,9984,9600,10/22/2024,Grade B,Medium,Medium,Wholesale,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Lentil,BARI Masur-8,Pulses,1.4,2362,2558,2460,6/26/2024,Grade B,Medium,Low,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-9,Pulses,19,2216,2400,2308,3/14/2022,Premium,Low,Medium,Wholesale,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Lentil,BARI Masur-8,Pulses,3,2239,2425,2332,9/2/2022,Grade B,Low,Medium,Retail,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Lentil,BARI Masur-9,Pulses,5,6432,6968,6700,4/15/2021,Grade B,High,Medium,Wholesale,Winter
Chattogram,Feni,Feni Sadar Market,Lentil,BARI Masur-8,Pulses,7,1259,1363,1311,1/6/2021,Grade C,Medium,Low,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Lentil,BARI Masur-8,Pulses,1,1786,1934,1860,8/31/2021,Grade A,High,High,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-9,Pulses,152,6106,6614,6360,1/18/2022,Grade A,Medium,Medium,Retail,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Lentil,BARI Masur-9,Pulses,33,3256,3528,3392,3/13/2020,Grade A,Low,High,Retail,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-8,Pulses,45,3936,4264,4100,1/3/2020,Grade B,Medium,Low,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-8,Pulses,14.4,3091,3349,3220,11/16/2024,Premium,Medium,Low,Retail,Winter
Rajshahi,Pabna,Pabna Sadar Market,Lentil,BARI Masur-9,Pulses,1.5,1665,1803,1734,11/16/2024,Grade C,High,Medium,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Lentil,BARI Masur-8,Pulses,7,1501,1627,1564,10/31/2020,Grade A,Medium,Medium,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-9,Pulses,1.8,2376,2574,2475,9/25/2024,Grade A,Medium,Low,Wholesale,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Lentil,BARI Masur-8,Pulses,28,6936,7514,7225,11/24/2022,Grade B,Low,Low,Wholesale,Winter
Rajshahi,Pabna,Pabna Sadar Market,Lentil,BARI Masur-8,Pulses,250,4085,4425,4255,12/21/2023,Grade C,High,Low,Retail,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Lentil,BARI Masur-8,Pulses,161,4452,4824,4638,7/8/2024,Grade A,Medium,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-9,Pulses,13,6451,6989,6720,8/8/2022,Premium,Medium,High,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-9,Pulses,13,5904,6396,6150,6/4/2021,Grade B,Medium,Low,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Lentil,BARI Masur-8,Pulses,6,1622,1758,1690,6/13/2020,Grade B,High,Low,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Lentil,BARI Masur-9,Pulses,72,2580,2796,2688,4/8/2021,Premium,Low,Low,Retail,Winter
Khulna,Khulna,Khulna New Market,Lentil,BARI Masur-9,Pulses,16,1369,1483,1426,6/22/2021,Grade C,High,Low,Retail,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Lentil,BARI Masur-9,Pulses,70,1598,1732,1665,6/30/2021,Grade B,Low,Low,Wholesale,Winter
Chattogram,Feni,Feni Sadar Market,Lentil,BARI Masur-8,Pulses,17,7530,8158,7844,10/1/2020,Grade A,Medium,High,Retail,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Lentil,BARI Masur-9,Pulses,47.5,9539,10333,9936,7/12/2024,Grade C,Medium,Low,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Lentil,BARI Masur-8,Pulses,42,6818,7386,7102,6/7/2021,Grade A,Low,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-8,Pulses,21,4020,4354,4187,1/28/2021,Grade B,Medium,High,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Lentil,BARI Masur-9,Pulses,6,5376,5824,5600,8/12/2020,Grade B,Medium,Low,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-9,Pulses,11,2371,2569,2470,5/18/2023,Grade A,Medium,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-9,Pulses,7.1,3886,4210,4048,6/7/2024,Grade C,Medium,High,Wholesale,Winter
Khulna,Khulna,Khulna New Market,Lentil,BARI Masur-8,Pulses,5,7046,7634,7340,3/10/2022,Grade A,Low,Medium,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Lentil,BARI Masur-8,Pulses,12,8258,8946,8602,12/8/2023,Grade C,Medium,Medium,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Lentil,BARI Masur-8,Pulses,125.6,3754,4066,3910,3/4/2024,Grade C,Medium,Low,Retail,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-9,Pulses,6,2031,2201,2116,6/6/2023,Grade C,Medium,Low,Retail,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-9,Pulses,20,9298,10072,9685,3/13/2024,Grade B,Low,Medium,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-8,Pulses,50,5952,6448,6200,10/18/2021,Grade B,High,High,Wholesale,Winter
Khulna,Khulna,Khulna New Market,Lentil,BARI Masur-8,Pulses,10,9312,10088,9700,6/16/2023,Grade B,High,High,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-8,Pulses,22,4896,5304,5100,1/18/2023,Grade B,Low,High,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-8,Pulses,10,4138,4482,4310,3/16/2023,Grade C,Medium,High,Wholesale,Winter
Barishal,Barishal,Nathullabad Market,Lentil,BARI Masur-8,Pulses,5,1838,1992,1915,12/22/2021,Grade B,Medium,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-8,Pulses,654.9,8821,9557,9189,3/5/2024,Grade C,High,Low,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-9,Pulses,180,3936,4264,4100,10/19/2023,Grade B,High,Medium,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-8,Pulses,48,5749,6229,5989,10/25/2021,Grade A,High,Medium,Wholesale,Winter
Rajshahi,Bogura,Satmatha Market,Lentil,BARI Masur-9,Pulses,250,3806,4124,3965,3/16/2024,Grade C,Medium,Low,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-9,Pulses,1,6300,6826,6563,1/9/2023,Grade B,High,High,Retail,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-9,Pulses,15,9744,10556,10150,6/16/2023,Grade A,High,Low,Wholesale,Winter
Khulna,Khulna,Khulna New Market,Lentil,BARI Masur-9,Pulses,4,8722,9448,9085,5/27/2023,Grade B,High,Medium,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-9,Pulses,6,6384,6916,6650,1/24/2024,Grade B,Medium,High,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-8,Pulses,30,9464,10252,9858,10/19/2024,Grade A,High,Low,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-9,Pulses,12,6161,6675,6418,1/25/2022,Grade A,Medium,Medium,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Lentil,BARI Masur-8,Pulses,20,10771,11669,11220,7/5/2024,Grade B,High,Medium,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-8,Pulses,15,2043,2213,2128,2/9/2021,Premium,High,High,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-8,Pulses,17,3400,3684,3542,12/11/2020,Grade C,High,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-9,Pulses,4,1730,1874,1802,7/28/2020,Grade A,High,Low,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Lentil,BARI Masur-9,Pulses,1,1320,1430,1375,2/25/2022,Grade B,High,Medium,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-9,Pulses,45,5880,6370,6125,2/18/2022,Grade B,Low,Medium,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-9,Pulses,28,4771,5169,4970,2/27/2023,Grade B,Low,Low,Retail,Winter
Rajshahi,Pabna,Pabna Sadar Market,Lentil,BARI Masur-9,Pulses,300,4909,5319,5114,7/14/2023,Grade A,High,High,Retail,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Lentil,BARI Masur-8,Pulses,36,1989,2155,2072,11/26/2021,Grade A,Low,High,Retail,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Lentil,BARI Masur-9,Pulses,40,5857,6345,6101,4/7/2021,Grade B,Low,High,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-9,Pulses,507,6625,7177,6901,3/23/2022,Premium,High,Low,Wholesale,Winter
Khulna,Satkhira,Satkhira Market,Lentil,BARI Masur-8,Pulses,6,5162,5592,5377,3/14/2023,Premium,Medium,Medium,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-9,Pulses,477,4944,5356,5150,5/27/2020,Grade B,Low,High,Wholesale,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Lentil,BARI Masur-9,Pulses,1,5299,5741,5520,10/9/2021,Grade C,Medium,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-8,Pulses,3,4656,5044,4850,8/12/2023,Grade B,High,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-9,Pulses,6,1452,1572,1512,9/24/2020,Grade B,High,Low,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-9,Pulses,1.3,2640,2860,2750,10/25/2024,Grade B,Low,Low,Wholesale,Winter
Rajshahi,Bogura,Satmatha Market,Lentil,BARI Masur-9,Pulses,"1,050.00",5093,5517,5305,11/20/2023,Grade A,Low,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-8,Pulses,7,1718,1862,1790,4/22/2021,Grade B,Low,Medium,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Lentil,BARI Masur-9,Pulses,3,1944,2106,2025,7/3/2023,Grade C,Low,Low,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-8,Pulses,14,1822,1974,1898,3/10/2021,Premium,High,Medium,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-9,Pulses,5,2848,3086,2967,3/21/2020,Grade C,Low,Medium,Wholesale,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Lentil,BARI Masur-8,Pulses,9,5445,5899,5672,8/24/2022,Grade B,Low,High,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-9,Pulses,90,4920,5330,5125,4/11/2023,Grade B,Medium,Low,Wholesale,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Lentil,BARI Masur-9,Pulses,3,1221,1323,1272,1/27/2022,Grade A,High,Medium,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Lentil,BARI Masur-9,Pulses,2,1872,2028,1950,4/28/2022,Grade B,Medium,Medium,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-9,Pulses,153,6144,6656,6400,6/29/2022,Grade A,High,Medium,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Lentil,BARI Masur-8,Pulses,2,2758,2988,2873,12/8/2022,Grade A,Medium,High,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Lentil,BARI Masur-8,Pulses,138,6643,7197,6920,1/20/2024,Grade B,Medium,Low,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-9,Pulses,1.84,2453,2657,2555,9/20/2024,Premium,Low,High,Wholesale,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Lentil,BARI Masur-8,Pulses,62,9504,10296,9900,2/8/2022,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-8,Pulses,10,3275,3547,3411,7/30/2020,Grade B,High,High,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-8,Pulses,11,12284,13308,12796,11/8/2023,Premium,Medium,Medium,Wholesale,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Lentil,BARI Masur-8,Pulses,15,1752,1898,1825,2/16/2022,Grade B,High,High,Wholesale,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Lentil,BARI Masur-8,Pulses,39.2,10863,11769,11316,7/18/2024,Grade A,Low,High,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-8,Pulses,47.4,2520,2730,2625,5/27/2024,Grade B,Medium,Low,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Lentil,BARI Masur-8,Pulses,360,3845,4165,4005,11/25/2024,Grade B,High,Low,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-9,Pulses,537,5389,5839,5614,11/19/2022,Grade A,Medium,Medium,Wholesale,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Lentil,BARI Masur-9,Pulses,26,5280,5720,5500,1/16/2021,Grade B,High,Medium,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-8,Pulses,10,7927,8587,8257,2/15/2023,Grade A,Low,High,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Lentil,BARI Masur-9,Pulses,12,1832,1984,1908,3/6/2021,Grade A,High,Medium,Retail,Winter
Barishal,Barishal,Nathullabad Market,Lentil,BARI Masur-8,Pulses,74,9871,10693,10282,6/9/2023,Grade A,High,Medium,Wholesale,Winter
Rajshahi,Bogura,Satmatha Market,Lentil,BARI Masur-9,Pulses,800,3706,4014,3860,11/18/2020,Grade B,High,Medium,Wholesale,Winter
Rajshahi,Naogaon,Naogaon Sadar Market,Lentil,BARI Masur-9,Pulses,23,7535,8163,7849,10/31/2022,Grade A,Low,Medium,Retail,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-8,Pulses,12,5476,5932,5704,6/27/2022,Grade C,Low,Low,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Lentil,BARI Masur-9,Pulses,20,1920,2080,2000,9/1/2020,Grade B,High,Medium,Retail,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Lentil,BARI Masur-9,Pulses,45,6000,6500,6250,12/13/2021,Grade B,Low,Low,Retail,Winter
Rajshahi,Pabna,Pabna Sadar Market,Lentil,BARI Masur-8,Pulses,60,5607,6075,5841,9/23/2021,Grade A,High,Medium,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Lentil,BARI Masur-9,Pulses,120,4824,5226,5025,3/25/2023,Grade B,Low,Low,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-9,Pulses,290,4209,4559,4384,8/10/2023,Grade C,Low,Low,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-8,Pulses,230,4427,4795,4611,10/13/2023,Grade A,Low,Medium,Retail,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Lentil,BARI Masur-8,Pulses,284,4800,5200,5000,3/25/2023,Grade B,Low,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-9,Pulses,2.4,2239,2425,2332,5/16/2024,Grade A,Low,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-9,Pulses,23,4325,4685,4505,2/11/2020,Grade A,Medium,Medium,Wholesale,Winter
Chattogram,Noakhali,Maijdee Bazar,Lentil,BARI Masur-9,Pulses,67,6055,6559,6307,7/27/2021,Grade A,Medium,High,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-9,Pulses,423,5444,5898,5671,5/11/2020,Grade A,Medium,Medium,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Lentil,BARI Masur-9,Pulses,420,4274,4630,4452,10/18/2023,Grade A,High,Medium,Wholesale,Winter
Barishal,Barishal,Nathullabad Market,Lentil,BARI Masur-9,Pulses,11,2086,2260,2173,4/26/2023,Grade A,Medium,Medium,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Lentil,BARI Masur-9,Pulses,45.1,2074,2246,2160,6/14/2024,Grade B,Medium,Low,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Lentil,BARI Masur-8,Pulses,25,9774,10588,10181,8/18/2023,Grade A,Medium,Medium,Retail,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-9,Pulses,16.9,11765,12745,12255,5/9/2024,Premium,Medium,Low,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Lentil,BARI Masur-8,Pulses,9.9,9413,10197,9805,10/21/2024,Grade A,High,Low,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-8,Pulses,170,4066,4404,4235,12/21/2020,Grade B,High,Medium,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Lentil,BARI Masur-9,Pulses,13,4598,4982,4790,7/27/2023,Grade B,Low,High,Wholesale,Winter
Rajshahi,Naogaon,Naogaon Sadar Market,Lentil,BARI Masur-8,Pulses,9,10268,11124,10696,11/25/2024,Premium,Medium,Medium,Retail,Winter
Barishal,Barishal,Nathullabad Market,Lentil,BARI Masur-8,Pulses,110,6090,6598,6344,4/26/2022,Grade A,Medium,Low,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-8,Pulses,13,6720,7280,7000,10/7/2022,Grade B,Medium,High,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-8,Pulses,10,2472,2678,2575,2/19/2024,Grade B,Medium,Medium,Wholesale,Winter
Khulna,Satkhira,Satkhira Market,Lentil,BARI Masur-8,Pulses,9,5760,6240,6000,4/7/2022,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-9,Pulses,291,7099,7691,7395,3/24/2022,Grade A,High,High,Retail,Winter
Barishal,Bhola,Bhola Bazar,Lentil,BARI Masur-8,Pulses,113,6400,6934,6667,12/4/2021,Grade A,Low,Medium,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-8,Pulses,9.2,2599,2815,2707,9/19/2024,Grade B,Medium,Medium,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-9,Pulses,3,1899,2057,1978,1/27/2020,Grade C,Medium,Low,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Lentil,BARI Masur-8,Pulses,86,4968,5382,5175,12/6/2022,Grade B,Low,Medium,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-8,Pulses,20,5139,5567,5353,4/4/2020,Grade A,Low,High,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-9,Pulses,1.7,8880,9620,9250,10/1/2024,Grade B,Low,Low,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Lentil,BARI Masur-9,Pulses,18,1537,1665,1601,10/29/2020,Grade A,Medium,Low,Wholesale,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Lentil,BARI Masur-8,Pulses,43.5,4596,4980,4788,10/11/2024,Premium,High,Medium,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-8,Pulses,34.5,1979,2143,2061,3/11/2024,Grade C,Low,High,Wholesale,Winter
Khulna,Khulna,Khulna New Market,Lentil,BARI Masur-8,Pulses,22,3918,4244,4081,11/27/2024,Grade A,High,Low,Retail,Winter
Khulna,Satkhira,Satkhira Market,Lentil,BARI Masur-8,Pulses,4,4829,5231,5030,3/4/2023,Grade B,High,Low,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Lentil,BARI Masur-8,Pulses,10,2040,2210,2125,7/27/2022,Grade B,High,High,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-9,Pulses,17,1720,1864,1792,11/6/2020,Premium,High,Medium,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Lentil,BARI Masur-9,Pulses,1.2,2573,2787,2680,11/4/2024,Grade B,Medium,Low,Retail,Winter
Barishal,Barishal,Nathullabad Market,Lentil,BARI Masur-8,Pulses,0.4,6614,7166,6890,2/28/2024,Grade A,Low,High,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Lentil,BARI Masur-8,Pulses,8,4172,4520,4346,1/18/2020,Grade A,Medium,High,Retail,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Lentil,BARI Masur-9,Pulses,51,4464,4836,4650,2/18/2020,Grade B,High,Low,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-8,Pulses,4,5215,5649,5432,6/24/2023,Premium,Medium,Medium,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-8,Pulses,72,5053,5475,5264,1/24/2020,Premium,High,Medium,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Lentil,BARI Masur-9,Pulses,6,1272,1378,1325,11/24/2021,Grade B,Medium,Medium,Retail,Winter
Khulna,Satkhira,Satkhira Market,Lentil,BARI Masur-9,Pulses,3,10560,11440,11000,9/9/2023,Grade B,High,Medium,Wholesale,Winter
Barishal,Barishal,Nathullabad Market,Lentil,BARI Masur-8,Pulses,60,3175,3439,3307,9/8/2020,Grade C,Medium,Low,Retail,Winter
Rajshahi,Bogura,Satmatha Market,Lentil,BARI Masur-8,Pulses,280,5928,6422,6175,6/9/2021,Grade B,Low,Low,Retail,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Lentil,BARI Masur-8,Pulses,23,4594,4976,4785,7/20/2023,Grade A,High,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Lentil,BARI Masur-8,Pulses,400,4195,4545,4370,3/16/2020,Grade C,Medium,Low,Wholesale,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Lentil,BARI Masur-9,Pulses,225,5856,6344,6100,5/27/2021,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-9,Pulses,174.4,10380,11244,10812,4/13/2024,Grade C,Low,Low,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Lentil,BARI Masur-9,Pulses,7,1501,1627,1564,6/6/2020,Grade C,Medium,Medium,Wholesale,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Lentil,BARI Masur-9,Pulses,1,1056,1144,1100,2/22/2021,Grade B,High,Medium,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Lentil,BARI Masur-9,Pulses,161,6207,6725,6466,4/30/2022,Grade A,Low,High,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Lentil,BARI Masur-9,Pulses,9,5040,5460,5250,1/9/2023,Grade B,High,Medium,Wholesale,Winter
Rajshahi,Pabna,Pabna Sadar Market,Lentil,BARI Masur-9,Pulses,350,2076,2248,2162,3/11/2023,Grade A,High,Low,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Lentil,BARI Masur-9,Pulses,25,1632,1768,1700,11/15/2021,Grade B,Medium,Medium,Wholesale,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Lentil,BARI Masur-8,Pulses,250,5640,6110,5875,2/4/2022,Grade B,Medium,Medium,Retail,Winter
Khulna,Satkhira,Satkhira Market,Lentil,BARI Masur-8,Pulses,12,4896,5304,5100,2/23/2023,Grade B,High,Medium,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Lentil,BARI Masur-8,Pulses,3,2516,2726,2621,10/6/2022,Premium,Low,High,Wholesale,Winter
