video_category,channel_country,content_language,upload_day,video_length_bucket,traffic_source,device_type,viewer_age_group,subscriber_status,engagement_level
Entertainment,Japan,Arabic,Wednesday,10-20 min,External,Game Console,18-24,Subscribed,High
Sports,Pakistan,Portuguese,Wednesday,5-10 min,Browse,Mobile,13-17,Subscribed,Medium
Sports,Brazil,Arabic,Monday,20-40 min,Shorts Feed,Smart TV,25-34,Subscribed,High
Sports,UAE,German,Sunday,<5 min,Notifications,Tablet,18-24,Not Subscribed,Very High
Entertainment,Australia,German,Tuesday,20-40 min,Shorts Feed,Smart TV,18-24,Not Subscribed,Very Low
Entertainment,Canada,Arabic,Sunday,>40 min,Shorts Feed,Tablet,25-34,Not Subscribed,High
Technology,India,Spanish,Tuesday,10-20 min,Search,Smart TV,45-54,Not Subscribed,Medium
Finance,Brazil,German,Wednesday,<5 min,Suggested,Mobile,45-54,Subscribed,Low
Gaming,Germany,French,Tuesday,20-40 min,Playlists,Mobile,18-24,Subscribed,Low
Education,Brazil,German,Wednesday,20-40 min,Browse,Smart TV,25-34,Not Subscribed,Very Low
News,India,Spanish,Monday,10-20 min,Shorts Feed,Smart TV,13-17,Not Subscribed,Low
Technology,Germany,Portuguese,Sunday,<5 min,Search,Desktop,35-44,Not Subscribed,Low
Education,Canada,Japanese,Saturday,<5 min,Notifications,Desktop,35-44,Not Subscribed,Medium
News,UK,English,Saturday,>40 min,Notifications,Mobile,25-34,Not Subscribed,Medium
Technology,Pakistan,English,Sunday,5-10 min,Search,Desktop,55+,Not Subscribed,Medium
Education,UK,French,Friday,<5 min,External,Desktop,13-17,Subscribed,Very High
Travel,UAE,Spanish,Wednesday,<5 min,Suggested,Desktop,35-44,Subscribed,Very High
News,USA,English,Wednesday,5-10 min,Playlists,Game Console,13-17,Subscribed,High
Technology,Pakistan,Arabic,Sunday,10-20 min,Shorts Feed,Smart TV,55+,Subscribed,Very Low
Entertainment,Pakistan,Spanish,Wednesday,<5 min,External,Smart TV,45-54,Not Subscribed,Very High
Travel,Canada,Bengali,Tuesday,>40 min,Browse,Tablet,55+,Not Subscribed,Medium
Finance,Japan,Spanish,Monday,>40 min,Suggested,Smart TV,25-34,Not Subscribed,Very High
News,Brazil,English,Sunday,>40 min,External,Desktop,13-17,Not Subscribed,Very High
Technology,Pakistan,Hindi,Saturday,>40 min,Shorts Feed,Smart TV,18-24,Not Subscribed,Very High
Music,UAE,French,Wednesday,20-40 min,Playlists,Tablet,13-17,Subscribed,Very High
Gaming,USA,Spanish,Tuesday,<5 min,Suggested,Mobile,35-44,Subscribed,Very Low
Education,UAE,Portuguese,Saturday,20-40 min,Notifications,Game Console,55+,Not Subscribed,Very Low
News,Canada,Bengali,Saturday,<5 min,Search,Desktop,55+,Not Subscribed,Very Low
Travel,USA,Urdu,Friday,20-40 min,Shorts Feed,Tablet,55+,Subscribed,Very High
Sports,Japan,English,Saturday,<5 min,Shorts Feed,Tablet,13-17,Subscribed,Very High
Gaming,India,German,Friday,20-40 min,Suggested,Desktop,45-54,Subscribed,Very High
Music,Japan,Arabic,Thursday,<5 min,Shorts Feed,Game Console,25-34,Not Subscribed,High
Gaming,UK,Spanish,Friday,20-40 min,Notifications,Tablet,55+,Subscribed,Very High
Finance,Brazil,Urdu,Wednesday,>40 min,Browse,Tablet,35-44,Not Subscribed,Medium
Finance,Canada,Bengali,Friday,5-10 min,External,Game Console,55+,Not Subscribed,Medium
Travel,Brazil,Portuguese,Monday,<5 min,Browse,Game Console,13-17,Subscribed,Medium
Education,Germany,German,Tuesday,10-20 min,Search,Tablet,45-54,Subscribed,Very Low
Education,Brazil,Urdu,Tuesday,5-10 min,Browse,Tablet,45-54,Subscribed,Low
Sports,Germany,Hindi,Friday,20-40 min,Notifications,Desktop,55+,Subscribed,Medium
Travel,UK,Japanese,Sunday,>40 min,Shorts Feed,Mobile,45-54,Not Subscribed,Very Low
Finance,Australia,Hindi,Sunday,<5 min,Shorts Feed,Tablet,25-34,Not Subscribed,High
Gaming,Canada,Bengali,Monday,20-40 min,Search,Tablet,45-54,Subscribed,Medium
Lifestyle,UAE,Spanish,Wednesday,>40 min,Playlists,Desktop,18-24,Subscribed,High
Travel,UAE,Bengali,Friday,<5 min,Suggested,Smart TV,25-34,Not Subscribed,Low
Music,Pakistan,Hindi,Thursday,>40 min,Playlists,Mobile,45-54,Not Subscribed,Medium
Gaming,Australia,Arabic,Thursday,5-10 min,Shorts Feed,Desktop,35-44,Subscribed,High
Entertainment,UAE,German,Friday,>40 min,Playlists,Game Console,18-24,Subscribed,Very Low
Sports,Australia,Urdu,Saturday,>40 min,Search,Mobile,55+,Not Subscribed,High
News,Pakistan,German,Wednesday,10-20 min,Notifications,Mobile,25-34,Subscribed,Medium
Finance,Brazil,Bengali,Tuesday,20-40 min,Search,Desktop,18-24,Not Subscribed,Low
Gaming,India,English,Tuesday,>40 min,Suggested,Tablet,13-17,Not Subscribed,Very Low
Sports,Brazil,Japanese,Monday,10-20 min,Suggested,Game Console,18-24,Subscribed,Very High
Lifestyle,Germany,Arabic,Thursday,>40 min,Playlists,Desktop,55+,Subscribed,High
Finance,Japan,English,Wednesday,5-10 min,Search,Tablet,18-24,Not Subscribed,Very Low
Travel,USA,Hindi,Thursday,10-20 min,Playlists,Tablet,13-17,Subscribed,Medium
Entertainment,Canada,Portuguese,Friday,<5 min,Browse,Smart TV,45-54,Subscribed,Low
Technology,Japan,Japanese,Friday,<5 min,Search,Desktop,45-54,Not Subscribed,Medium
Travel,Australia,Spanish,Monday,10-20 min,Playlists,Tablet,25-34,Not Subscribed,Low
Lifestyle,Germany,English,Saturday,10-20 min,External,Mobile,45-54,Not Subscribed,Low
Music,Pakistan,Portuguese,Saturday,5-10 min,Search,Smart TV,45-54,Subscribed,High
Technology,UAE,Spanish,Thursday,10-20 min,Notifications,Tablet,35-44,Subscribed,Low
Music,UAE,Arabic,Saturday,5-10 min,Shorts Feed,Desktop,25-34,Subscribed,High
Music,UAE,Spanish,Wednesday,<5 min,Notifications,Game Console,55+,Subscribed,Low
News,UK,English,Sunday,10-20 min,External,Smart TV,25-34,Not Subscribed,Medium
Music,Canada,Hindi,Tuesday,5-10 min,Search,Game Console,45-54,Not Subscribed,Very High
Finance,UAE,German,Friday,5-10 min,Suggested,Mobile,25-34,Subscribed,High
Music,Japan,Bengali,Thursday,10-20 min,Suggested,Smart TV,35-44,Not Subscribed,Low
Music,Canada,German,Monday,20-40 min,Shorts Feed,Mobile,25-34,Not Subscribed,Low
Technology,Canada,Hindi,Tuesday,20-40 min,Shorts Feed,Game Console,35-44,Not Subscribed,High
Technology,Australia,Portuguese,Sunday,<5 min,Notifications,Smart TV,55+,Not Subscribed,High
Finance,UAE,Bengali,Friday,>40 min,Playlists,Mobile,45-54,Subscribed,High
Travel,USA,German,Friday,>40 min,External,Mobile,45-54,Not Subscribed,Very High
Education,Canada,French,Thursday,20-40 min,Browse,Tablet,35-44,Subscribed,High
Sports,UAE,English,Saturday,>40 min,Suggested,Smart TV,55+,Not Subscribed,Very Low
Lifestyle,India,Spanish,Sunday,>40 min,Playlists,Game Console,18-24,Not Subscribed,High
News,Brazil,English,Tuesday,20-40 min,Notifications,Desktop,35-44,Subscribed,Medium
News,UK,Hindi,Monday,<5 min,Playlists,Smart TV,55+,Not Subscribed,Very Low
Lifestyle,Australia,Arabic,Friday,5-10 min,External,Game Console,35-44,Subscribed,Low
News,UAE,Spanish,Tuesday,5-10 min,Suggested,Mobile,35-44,Not Subscribed,Medium
Travel,Germany,Spanish,Monday,5-10 min,Suggested,Mobile,45-54,Not Subscribed,Very Low
Travel,Brazil,Japanese,Friday,<5 min,Notifications,Smart TV,18-24,Subscribed,Very High
Travel,Brazil,Portuguese,Thursday,<5 min,Notifications,Game Console,13-17,Subscribed,Very High
Sports,UAE,Arabic,Sunday,5-10 min,Search,Desktop,18-24,Subscribed,Medium
Education,UK,English,Saturday,>40 min,Shorts Feed,Game Console,25-34,Not Subscribed,Very Low
Education,India,Portuguese,Tuesday,5-10 min,Playlists,Tablet,45-54,Subscribed,High
Finance,Pakistan,English,Monday,10-20 min,Browse,Tablet,35-44,Subscribed,High
Lifestyle,India,French,Thursday,5-10 min,Search,Tablet,25-34,Not Subscribed,Very High
Technology,Canada,Bengali,Monday,<5 min,Notifications,Game Console,13-17,Not Subscribed,Very High
Sports,Australia,Bengali,Sunday,10-20 min,Browse,Game Console,45-54,Not Subscribed,Low
Finance,UAE,Japanese,Friday,20-40 min,External,Desktop,45-54,Subscribed,Medium
Technology,USA,Hindi,Monday,20-40 min,Playlists,Mobile,55+,Subscribed,Very High
Entertainment,Australia,English,Wednesday,10-20 min,Notifications,Desktop,13-17,Subscribed,Medium
Sports,India,French,Wednesday,>40 min,Notifications,Tablet,13-17,Subscribed,Medium
News,Australia,Bengali,Friday,<5 min,Shorts Feed,Desktop,18-24,Not Subscribed,Medium
Travel,Brazil,English,Saturday,5-10 min,External,Desktop,55+,Not Subscribed,Very High
News,Brazil,Portuguese,Saturday,<5 min,Shorts Feed,Game Console,25-34,Not Subscribed,Very High
Lifestyle,USA,German,Friday,10-20 min,Shorts Feed,Tablet,13-17,Subscribed,Medium
Education,Pakistan,Portuguese,Saturday,>40 min,Shorts Feed,Desktop,45-54,Not Subscribed,Low
Finance,India,French,Saturday,10-20 min,Playlists,Mobile,25-34,Not Subscribed,Very Low
Travel,Canada,Urdu,Thursday,10-20 min,Suggested,Game Console,25-34,Subscribed,Very Low
News,USA,German,Monday,20-40 min,Notifications,Mobile,35-44,Subscribed,Low
News,Brazil,Arabic,Wednesday,10-20 min,Suggested,Mobile,45-54,Subscribed,Low
Education,Brazil,Portuguese,Saturday,>40 min,Search,Mobile,25-34,Subscribed,Very High
Gaming,Pakistan,Japanese,Monday,<5 min,Notifications,Tablet,13-17,Not Subscribed,Low
News,Canada,German,Wednesday,10-20 min,Notifications,Tablet,35-44,Subscribed,Medium
Music,UK,French,Monday,<5 min,Notifications,Game Console,45-54,Subscribed,Low
Lifestyle,Pakistan,Arabic,Wednesday,10-20 min,Suggested,Tablet,45-54,Subscribed,Low
Gaming,Germany,Bengali,Wednesday,>40 min,External,Mobile,18-24,Subscribed,High
Education,India,Portuguese,Monday,<5 min,External,Smart TV,18-24,Not Subscribed,Very High
News,Germany,Urdu,Sunday,5-10 min,Playlists,Game Console,13-17,Not Subscribed,Very High
Music,India,Japanese,Monday,20-40 min,Browse,Smart TV,35-44,Subscribed,Low
Music,UAE,French,Wednesday,20-40 min,Suggested,Tablet,25-34,Not Subscribed,High
Education,India,Japanese,Monday,10-20 min,External,Smart TV,18-24,Not Subscribed,Medium
Finance,UAE,Spanish,Friday,<5 min,External,Mobile,25-34,Subscribed,Medium
Lifestyle,Brazil,Portuguese,Friday,20-40 min,Suggested,Game Console,18-24,Subscribed,High
Entertainment,India,Urdu,Tuesday,>40 min,External,Smart TV,45-54,Not Subscribed,Very High
Technology,UK,Hindi,Saturday,>40 min,Shorts Feed,Smart TV,13-17,Not Subscribed,Medium
Lifestyle,India,Japanese,Tuesday,10-20 min,External,Mobile,45-54,Subscribed,Very High
Entertainment,Pakistan,Japanese,Saturday,<5 min,Search,Desktop,18-24,Subscribed,Low
Music,Brazil,Arabic,Wednesday,20-40 min,Notifications,Game Console,35-44,Subscribed,Low
News,Germany,Bengali,Sunday,10-20 min,External,Tablet,13-17,Subscribed,Very High
Lifestyle,Australia,Spanish,Sunday,10-20 min,Search,Tablet,45-54,Subscribed,Very Low
Lifestyle,Pakistan,Hindi,Sunday,10-20 min,Shorts Feed,Mobile,18-24,Not Subscribed,Very High
Entertainment,Pakistan,Portuguese,Thursday,20-40 min,External,Game Console,18-24,Subscribed,High
Music,Canada,Arabic,Thursday,10-20 min,Shorts Feed,Smart TV,18-24,Not Subscribed,Low
Music,USA,Hindi,Saturday,<5 min,Suggested,Smart TV,55+,Not Subscribed,Low
Gaming,UK,Portuguese,Sunday,20-40 min,Shorts Feed,Game Console,35-44,Subscribed,High
Lifestyle,Australia,Arabic,Sunday,20-40 min,External,Tablet,18-24,Subscribed,High
Finance,USA,Bengali,Thursday,5-10 min,Playlists,Game Console,25-34,Not Subscribed,Very High
Finance,Pakistan,English,Monday,>40 min,External,Tablet,13-17,Not Subscribed,Very Low
Music,Japan,French,Thursday,>40 min,Search,Game Console,45-54,Subscribed,Low
Travel,India,Arabic,Sunday,>40 min,Browse,Game Console,13-17,Not Subscribed,Very High
Education,Brazil,Japanese,Friday,20-40 min,Notifications,Tablet,35-44,Not Subscribed,Medium
Sports,UK,English,Saturday,>40 min,Playlists,Tablet,55+,Not Subscribed,Very Low
Travel,UAE,Spanish,Friday,<5 min,Playlists,Tablet,55+,Subscribed,Medium
Travel,India,Spanish,Friday,<5 min,Shorts Feed,Tablet,25-34,Subscribed,Very High
Sports,Germany,French,Monday,<5 min,Notifications,Desktop,45-54,Subscribed,High
News,UK,French,Sunday,5-10 min,External,Desktop,45-54,Subscribed,Medium
Gaming,UK,Bengali,Sunday,5-10 min,Shorts Feed,Smart TV,35-44,Not Subscribed,Low
Travel,UK,German,Friday,10-20 min,Search,Tablet,13-17,Subscribed,Low
Travel,Australia,Japanese,Wednesday,20-40 min,Playlists,Game Console,18-24,Not Subscribed,High
Travel,Germany,Spanish,Friday,20-40 min,Search,Tablet,35-44,Not Subscribed,Medium
Lifestyle,USA,Hindi,Friday,10-20 min,Shorts Feed,Smart TV,45-54,Not Subscribed,Medium
Sports,Germany,Hindi,Wednesday,>40 min,External,Smart TV,55+,Subscribed,Very High
Technology,Japan,Urdu,Saturday,5-10 min,Browse,Game Console,13-17,Subscribed,Very Low
Education,Australia,Hindi,Friday,<5 min,Playlists,Smart TV,25-34,Subscribed,Medium
Sports,Canada,English,Monday,>40 min,Search,Mobile,45-54,Subscribed,Very High
Gaming,India,Hindi,Sunday,>40 min,Suggested,Smart TV,55+,Subscribed,Very Low
Music,Germany,French,Thursday,<5 min,Playlists,Smart TV,25-34,Not Subscribed,Medium
Sports,UK,Hindi,Wednesday,<5 min,External,Smart TV,25-34,Subscribed,Medium
Sports,UK,Japanese,Monday,20-40 min,Suggested,Game Console,35-44,Subscribed,High
Gaming,UK,Arabic,Sunday,20-40 min,Suggested,Game Console,55+,Subscribed,High
Sports,India,English,Monday,<5 min,Notifications,Tablet,35-44,Subscribed,High
Music,USA,English,Saturday,20-40 min,Browse,Desktop,55+,Not Subscribed,High
Finance,USA,Arabic,Saturday,20-40 min,External,Smart TV,35-44,Subscribed,Very High
Technology,USA,Portuguese,Saturday,20-40 min,Search,Game Console,45-54,Not Subscribed,Medium
Sports,Australia,English,Saturday,<5 min,Browse,Game Console,25-34,Subscribed,High
Sports,Canada,Spanish,Friday,<5 min,External,Desktop,25-34,Not Subscribed,Very Low
News,Brazil,Hindi,Saturday,20-40 min,Playlists,Desktop,18-24,Subscribed,Low
Education,UAE,German,Thursday,20-40 min,Search,Game Console,55+,Not Subscribed,High
Lifestyle,Brazil,English,Monday,10-20 min,Search,Tablet,55+,Subscribed,High
Gaming,Canada,Arabic,Thursday,>40 min,Suggested,Game Console,18-24,Subscribed,Very Low
Music,Brazil,English,Thursday,>40 min,Search,Desktop,55+,Subscribed,Very Low
Music,USA,French,Sunday,<5 min,External,Game Console,18-24,Subscribed,Very Low
Gaming,Brazil,Bengali,Sunday,>40 min,Suggested,Mobile,18-24,Not Subscribed,Medium
Entertainment,Pakistan,Hindi,Saturday,>40 min,Notifications,Desktop,25-34,Subscribed,Very Low
Finance,UK,Urdu,Monday,<5 min,Browse,Desktop,35-44,Subscribed,Medium
Lifestyle,UK,Japanese,Tuesday,>40 min,Search,Desktop,13-17,Not Subscribed,Low
Education,Brazil,Hindi,Monday,<5 min,Suggested,Mobile,55+,Not Subscribed,High
Travel,UK,German,Tuesday,10-20 min,Notifications,Smart TV,35-44,Subscribed,Low
Finance,USA,Bengali,Tuesday,20-40 min,Notifications,Mobile,55+,Not Subscribed,Medium
Entertainment,USA,Arabic,Tuesday,5-10 min,Search,Game Console,13-17,Not Subscribed,Very High
Lifestyle,Canada,Japanese,Sunday,5-10 min,Browse,Mobile,18-24,Subscribed,Low
Travel,Brazil,Spanish,Tuesday,<5 min,Search,Tablet,25-34,Subscribed,High
Sports,Pakistan,Bengali,Sunday,20-40 min,Search,Mobile,55+,Subscribed,Very High
Music,UK,English,Thursday,>40 min,Search,Mobile,18-24,Not Subscribed,Very High
Finance,Pakistan,Portuguese,Tuesday,10-20 min,Suggested,Mobile,25-34,Subscribed,Very Low
Technology,Australia,German,Thursday,5-10 min,Search,Smart TV,45-54,Not Subscribed,Very Low
Entertainment,UK,German,Friday,20-40 min,Suggested,Smart TV,25-34,Subscribed,High
Technology,Pakistan,French,Tuesday,10-20 min,Suggested,Mobile,55+,Subscribed,Medium
Music,India,Japanese,Thursday,20-40 min,Suggested,Tablet,18-24,Not Subscribed,Very High
Music,UAE,Spanish,Friday,>40 min,Shorts Feed,Desktop,13-17,Not Subscribed,Very High
Travel,Canada,Bengali,Thursday,20-40 min,Browse,Mobile,55+,Not Subscribed,Low
Technology,Pakistan,Portuguese,Friday,5-10 min,Notifications,Desktop,45-54,Subscribed,High
Education,USA,Japanese,Saturday,>40 min,Search,Smart TV,45-54,Not Subscribed,High
Gaming,Brazil,Japanese,Tuesday,<5 min,Notifications,Mobile,55+,Not Subscribed,Low
Music,Pakistan,French,Tuesday,<5 min,Search,Smart TV,55+,Not Subscribed,Low
Travel,UAE,Bengali,Monday,20-40 min,External,Desktop,55+,Not Subscribed,Low
News,Brazil,English,Sunday,<5 min,External,Tablet,45-54,Subscribed,Medium
Entertainment,Germany,Bengali,Friday,>40 min,Shorts Feed,Desktop,55+,Subscribed,Very High
News,USA,Arabic,Saturday,10-20 min,Search,Mobile,35-44,Not Subscribed,High
Finance,USA,Urdu,Wednesday,5-10 min,Playlists,Game Console,55+,Subscribed,Very High
Technology,UK,Urdu,Tuesday,>40 min,Search,Smart TV,55+,Subscribed,Low
News,Pakistan,French,Friday,20-40 min,Browse,Mobile,13-17,Not Subscribed,Medium
Travel,Brazil,Arabic,Friday,<5 min,External,Game Console,55+,Not Subscribed,High
Finance,Pakistan,Hindi,Tuesday,20-40 min,Search,Mobile,35-44,Subscribed,Medium
Gaming,India,Spanish,Wednesday,<5 min,Playlists,Desktop,35-44,Subscribed,Low
Lifestyle,USA,French,Thursday,>40 min,Suggested,Smart TV,25-34,Not Subscribed,High
Education,Germany,German,Monday,<5 min,Shorts Feed,Desktop,45-54,Not Subscribed,High
Finance,Pakistan,Urdu,Thursday,>40 min,Playlists,Game Console,45-54,Not Subscribed,High
Sports,UAE,Spanish,Sunday,10-20 min,Suggested,Tablet,18-24,Not Subscribed,Medium
Sports,USA,Spanish,Wednesday,10-20 min,External,Desktop,45-54,Subscribed,Very High
Sports,UK,Spanish,Sunday,5-10 min,Suggested,Desktop,13-17,Subscribed,Medium
Finance,UK,Japanese,Wednesday,10-20 min,Suggested,Desktop,45-54,Subscribed,Medium
News,UK,Urdu,Thursday,>40 min,Suggested,Game Console,25-34,Subscribed,Very Low
Entertainment,Brazil,Spanish,Thursday,10-20 min,Suggested,Mobile,55+,Not Subscribed,Medium
Travel,Germany,Bengali,Saturday,5-10 min,Shorts Feed,Game Console,55+,Not Subscribed,Medium
Gaming,Brazil,English,Tuesday,>40 min,Search,Tablet,13-17,Not Subscribed,Very High
Technology,Brazil,Urdu,Monday,10-20 min,Search,Game Console,55+,Subscribed,Very High
Lifestyle,Canada,French,Tuesday,<5 min,Search,Game Console,35-44,Subscribed,Very High
Entertainment,Canada,Japanese,Wednesday,>40 min,Notifications,Game Console,13-17,Not Subscribed,High
Music,Australia,Urdu,Thursday,10-20 min,Search,Tablet,25-34,Not Subscribed,Medium
Travel,Japan,Hindi,Tuesday,20-40 min,Playlists,Smart TV,35-44,Not Subscribed,Low
Entertainment,Australia,Spanish,Sunday,>40 min,Notifications,Mobile,18-24,Subscribed,Medium
Travel,Japan,Urdu,Monday,>40 min,Shorts Feed,Smart TV,13-17,Subscribed,High
Sports,Australia,Spanish,Friday,20-40 min,Playlists,Game Console,18-24,Subscribed,Low
Entertainment,Germany,Arabic,Thursday,<5 min,Shorts Feed,Tablet,45-54,Not Subscribed,High
Lifestyle,Brazil,German,Monday,<5 min,Suggested,Tablet,25-34,Not Subscribed,Very Low
Sports,Australia,Spanish,Thursday,5-10 min,Search,Mobile,25-34,Not Subscribed,Very Low
Finance,Pakistan,Bengali,Thursday,>40 min,External,Tablet,55+,Not Subscribed,Very Low
News,Japan,Bengali,Monday,10-20 min,Suggested,Game Console,13-17,Subscribed,Medium
Travel,UK,Urdu,Tuesday,<5 min,Browse,Tablet,35-44,Not Subscribed,Very Low
Sports,Germany,Arabic,Saturday,<5 min,Notifications,Desktop,55+,Subscribed,Very Low
Finance,UK,Arabic,Wednesday,10-20 min,Shorts Feed,Tablet,25-34,Not Subscribed,Very Low
Lifestyle,UAE,Urdu,Sunday,5-10 min,Search,Desktop,45-54,Not Subscribed,Medium
Travel,Australia,Urdu,Tuesday,<5 min,Suggested,Desktop,45-54,Subscribed,Low
Lifestyle,UAE,Arabic,Sunday,>40 min,Playlists,Game Console,55+,Subscribed,High
Travel,India,Hindi,Sunday,5-10 min,Search,Smart TV,25-34,Not Subscribed,Medium
Music,Brazil,Bengali,Friday,10-20 min,Suggested,Tablet,13-17,Subscribed,Low
Music,UK,German,Wednesday,5-10 min,Suggested,Desktop,13-17,Not Subscribed,Very Low
Gaming,USA,Japanese,Sunday,20-40 min,Search,Desktop,13-17,Subscribed,Very High
Finance,USA,Japanese,Monday,10-20 min,Search,Mobile,25-34,Subscribed,Very Low
Gaming,UAE,German,Friday,5-10 min,Suggested,Tablet,13-17,Subscribed,Low
Sports,UAE,Urdu,Wednesday,5-10 min,Shorts Feed,Game Console,55+,Subscribed,Very High
Finance,India,Hindi,Sunday,>40 min,Shorts Feed,Mobile,45-54,Subscribed,Low
Sports,UK,Arabic,Monday,<5 min,Suggested,Game Console,55+,Not Subscribed,Medium
Finance,UK,Japanese,Saturday,<5 min,Suggested,Tablet,35-44,Not Subscribed,Low
Lifestyle,Canada,Portuguese,Monday,10-20 min,Search,Smart TV,13-17,Subscribed,High
News,Germany,Arabic,Saturday,<5 min,Search,Tablet,35-44,Subscribed,High
Sports,Brazil,Bengali,Saturday,10-20 min,Playlists,Smart TV,18-24,Not Subscribed,Medium
Entertainment,Canada,Hindi,Sunday,20-40 min,Playlists,Tablet,18-24,Subscribed,High
Gaming,Australia,Japanese,Friday,<5 min,Search,Desktop,35-44,Not Subscribed,Very High
Gaming,UK,Hindi,Wednesday,5-10 min,Browse,Desktop,45-54,Not Subscribed,Very Low
Technology,Australia,Japanese,Wednesday,>40 min,Notifications,Tablet,55+,Not Subscribed,Medium
Travel,UAE,Portuguese,Thursday,>40 min,Browse,Desktop,35-44,Subscribed,Very Low
Sports,Brazil,Japanese,Tuesday,5-10 min,Search,Mobile,55+,Subscribed,Very Low
Travel,USA,Spanish,Thursday,>40 min,Playlists,Tablet,18-24,Not Subscribed,Very High
Finance,India,Hindi,Saturday,>40 min,Shorts Feed,Smart TV,35-44,Subscribed,Medium
Travel,Brazil,Arabic,Wednesday,>40 min,Browse,Game Console,45-54,Subscribed,Very Low
Entertainment,India,Portuguese,Thursday,10-20 min,Shorts Feed,Smart TV,35-44,Not Subscribed,Very Low
Education,UK,Arabic,Saturday,10-20 min,Playlists,Desktop,35-44,Not Subscribed,Low
Sports,Australia,Japanese,Sunday,<5 min,Notifications,Smart TV,55+,Not Subscribed,High
Lifestyle,UK,Arabic,Monday,20-40 min,Browse,Smart TV,45-54,Not Subscribed,Very High
News,Germany,Urdu,Monday,<5 min,Notifications,Mobile,18-24,Not Subscribed,Medium
Finance,USA,Urdu,Thursday,<5 min,External,Tablet,25-34,Not Subscribed,Medium
Education,Canada,German,Tuesday,10-20 min,Notifications,Mobile,55+,Subscribed,Medium
Gaming,Pakistan,Spanish,Monday,>40 min,Browse,Mobile,35-44,Not Subscribed,Very High
Lifestyle,Australia,French,Monday,20-40 min,Notifications,Mobile,25-34,Not Subscribed,Very High
Entertainment,Pakistan,Bengali,Monday,20-40 min,Search,Desktop,25-34,Not Subscribed,Very High
News,UK,Bengali,Wednesday,10-20 min,External,Desktop,35-44,Subscribed,Very High
Technology,Germany,French,Monday,10-20 min,Notifications,Smart TV,18-24,Subscribed,Very High
Gaming,UAE,Urdu,Wednesday,<5 min,Notifications,Game Console,35-44,Not Subscribed,Low
News,India,French,Friday,10-20 min,External,Game Console,25-34,Subscribed,High
Entertainment,Germany,Bengali,Friday,20-40 min,Playlists,Game Console,18-24,Subscribed,Very High
Music,UAE,Japanese,Tuesday,20-40 min,Browse,Game Console,45-54,Not Subscribed,Very High
Education,Japan,German,Wednesday,20-40 min,Suggested,Desktop,18-24,Not Subscribed,High
Entertainment,Pakistan,Hindi,Saturday,5-10 min,Shorts Feed,Smart TV,25-34,Not Subscribed,Low
Sports,UAE,German,Thursday,5-10 min,Search,Desktop,18-24,Subscribed,Low
Sports,Brazil,Japanese,Friday,20-40 min,External,Mobile,18-24,Subscribed,Medium
Music,USA,French,Sunday,10-20 min,Playlists,Game Console,18-24,Subscribed,High
Education,USA,Hindi,Wednesday,>40 min,Browse,Mobile,35-44,Not Subscribed,Very Low
Entertainment,UK,German,Monday,>40 min,Playlists,Game Console,13-17,Not Subscribed,High
Gaming,Canada,Bengali,Monday,10-20 min,Browse,Game Console,55+,Not Subscribed,Low
Entertainment,Canada,Spanish,Monday,5-10 min,Suggested,Tablet,35-44,Not Subscribed,Medium
Finance,USA,Japanese,Friday,10-20 min,Playlists,Mobile,25-34,Not Subscribed,High
Technology,Germany,Spanish,Wednesday,20-40 min,Playlists,Tablet,25-34,Subscribed,Very High
Education,USA,German,Wednesday,>40 min,External,Tablet,55+,Not Subscribed,Very Low
Lifestyle,Canada,Japanese,Thursday,<5 min,External,Tablet,25-34,Subscribed,Low
Sports,Canada,Spanish,Thursday,10-20 min,Shorts Feed,Smart TV,13-17,Not Subscribed,Very Low
Travel,Brazil,Portuguese,Sunday,10-20 min,Playlists,Smart TV,13-17,Subscribed,Medium
Lifestyle,India,Urdu,Thursday,>40 min,Playlists,Game Console,55+,Not Subscribed,High
Education,USA,Spanish,Saturday,20-40 min,Shorts Feed,Desktop,13-17,Not Subscribed,Low
Sports,Pakistan,Bengali,Monday,<5 min,Suggested,Desktop,45-54,Subscribed,Very High
Entertainment,Pakistan,Japanese,Thursday,5-10 min,Browse,Desktop,55+,Not Subscribed,Medium
Technology,India,Portuguese,Wednesday,5-10 min,External,Smart TV,45-54,Subscribed,Very Low
Education,Japan,Bengali,Saturday,5-10 min,Search,Smart TV,18-24,Not Subscribed,Low
Education,Australia,Bengali,Thursday,>40 min,Browse,Desktop,13-17,Not Subscribed,Low
Finance,India,English,Saturday,>40 min,External,Smart TV,55+,Not Subscribed,Very Low
Technology,Canada,German,Sunday,10-20 min,Browse,Smart TV,35-44,Subscribed,High
Technology,UAE,German,Sunday,10-20 min,Playlists,Desktop,35-44,Subscribed,High
Music,USA,French,Wednesday,5-10 min,Notifications,Smart TV,18-24,Not Subscribed,Very High
Travel,India,English,Thursday,5-10 min,Shorts Feed,Tablet,55+,Not Subscribed,Low
Entertainment,Australia,Bengali,Wednesday,<5 min,Search,Game Console,13-17,Subscribed,Medium
Technology,Brazil,Urdu,Friday,>40 min,Playlists,Mobile,13-17,Not Subscribed,Very High
Finance,Australia,French,Thursday,10-20 min,Suggested,Game Console,13-17,Subscribed,Medium
Music,Japan,Japanese,Wednesday,20-40 min,Suggested,Mobile,25-34,Not Subscribed,Low
Sports,India,Urdu,Monday,5-10 min,External,Tablet,55+,Not Subscribed,High
