call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,seconds_of_use_phase,frequency_of_use_phase,frequency_of_sms_phase,distinct_called_numbers_phase,customer_value_phase,in_pocket,target_real,target
0,0,35,0,1065,34,17,5,3,1,2,30,111.96,-1.97106,-1.19847,-0.343973,-2.34595,-1.59492,0,0,0
2,0,36,0,2180,43,154,8,2,1,1,25,793.035,-0.826852,-0.637751,1.92056,-1.96065,1.59393,0,0,0
0,0,27,0,715,26,172,1,2,2,1,25,807.345,-2.26836,-1.59778,2.08858,-2.76417,1.59385,0,0,0
0,0,26,0,968,29,9,53,4,1,1,45,47.425,-2.00585,-1.44516,-1.03255,2.82212,-2.41492,0,0,0
7,0,27,0,100,15,0,3,2,1,2,25,5.175,-2.85087,-2.24462,-2.95807,-2.52074,-2.87515,0,0,0
0,0,26,0,0,0,0,0,4,1,2,45,0,-2.89818,-3.03969,-2.79581,-2.96904,-2.98999,0,0,0
6,0,25,0,625,22,0,2,2,1,1,25,29.115,-2.3953,-1.87589,-2.76147,-2.69751,-2.59415,0,0,0
0,0,25,0,2625,51,0,8,3,1,1,30,107.04,-0.397873,-0.106563,-2.8215,-1.91278,-1.66734,0,0,0
0,0,18,0,1095,16,7,6,2,1,1,25,81.495,-1.90432,-2.22061,-1.4394,-2.239,-1.99503,0,0,0
12,0,17,0,5793,131,64,27,1,2,1,15,677.82,1.25925,2.22298,1.34535,0.803308,1.31475,0,0,0
8,0,15,0,8333,161,52,25,4,1,1,45,342.35,2.13475,2.50177,1.19782,0.568178,0.821729,1,0,0
4,0,16,1,2253,35,10,4,3,1,1,30,131.52,-0.751828,-1.14463,-0.93307,-2.41517,-1.29816,0,0,0
0,0,9,0,3790,30,194,23,3,1,1,30,928.8,0.513904,-1.38421,2.30011,0.332997,1.99946,0,0,0
0,1,9,0,888,9,0,3,3,1,1,30,35.88,-2.1783,-2.51175,-2.5917,-2.5426,-2.58294,0,1,1
8,0,39,1,4485,77,37,21,3,1,1,30,330.48,0.927582,0.89707,0.847153,-0.0690197,0.717868,0,0,0
0,0,40,0,433,11,39,8,3,1,2,30,173.76,-2.58253,-2.42365,0.899505,-1.90142,-0.698071,0,0,0
10,0,38,1,2568,66,391,28,3,1,1,30,1669.36,-0.466023,0.541539,2.97336,0.979224,2.88727,0,0,0
10,0,39,1,4313,72,33,39,1,1,1,15,422.675,0.830377,0.714635,0.68997,2.06522,1.00278,0,0,0
3,0,39,1,2508,64,34,37,2,1,1,25,268.74,-0.486313,0.477352,0.759012,1.86152,0.448216,0,0,0
11,0,39,2,3890,88,64,32,3,1,1,30,415.12,0.573798,1.30043,1.38069,1.43722,1.00733,0,0,0
4,0,39,1,2475,45,317,22,4,1,1,45,855.5,-0.549078,-0.464018,2.74715,0.0778729,1.7961,0,0,0
13,0,38,3,9230,127,176,47,3,1,1,30,1078.28,2.3209,2.17911,2.09988,2.67951,2.35835,1,0,1
7,0,39,1,13888,175,32,48,3,1,1,30,690.52,2.75098,2.68678,0.649638,2.71816,1.28169,1,0,0
7,0,39,2,4630,89,34,29,3,1,1,30,324.76,0.974057,1.40185,0.721664,1.01579,0.748409,0,0,0
6,0,39,1,6033,101,39,16,3,1,1,30,401.36,1.36119,1.76207,0.874823,-0.742177,1.00298,1,0,0
9,1,39,0,2353,60,40,21,3,1,2,30,256.52,-0.676346,0.263269,0.976994,-0.0275956,0.269176,0,0,0
25,0,39,4,15255,231,86,36,3,1,1,30,963.44,2.83133,2.97994,1.54057,1.79543,2.11968,1,0,0
4,0,39,2,3210,33,515,12,4,1,1,45,1368.58,0.167614,-1.25169,3.14159,-1.35466,2.59312,0,0,0
9,0,38,1,15600,188,182,34,2,1,1,25,1529.46,2.95423,2.91295,2.19151,1.62391,2.73968,1,0,1
3,0,38,2,6615,92,218,30,3,1,1,30,1140.28,1.6478,1.43617,2.43783,1.19101,2.42424,0,0,0
0,0,38,0,990,20,32,15,2,1,2,25,189.45,-2.05007,-1.96759,0.622453,-0.902181,-0.443145,0,0,0
2,0,39,0,825,20,45,12,3,1,2,30,213.8,-2.2094,-1.9271,1.07152,-1.28632,-0.159417,0,0,0
0,0,38,0,115,6,32,4,2,1,2,25,149.445,-2.80957,-2.67013,0.627451,-2.43561,-1.04617,0,1,1
3,0,38,1,7623,133,416,47,3,1,1,30,1974.24,2.07758,2.26024,3.00478,2.67041,2.98572,1,0,0
7,0,38,2,11580,160,43,51,4,1,1,45,401,2.60757,2.51514,1.04351,2.81089,0.991506,1,0,0
8,0,38,2,6833,81,140,41,2,1,1,25,941.13,1.80066,1.03155,1.87639,2.24814,2.04972,0,0,0
23,1,34,0,1070,53,48,21,3,1,2,30,236.92,-1.91226,-0.0283889,1.17609,-0.0022456,0.0633736,0,1,1
21,0,37,9,10550,99,33,46,5,1,1,55,209.235,2.45358,1.64527,0.707579,2.59598,-0.194817,1,0,0
13,0,37,2,5933,104,58,28,3,1,1,30,473.48,1.28889,1.7826,1.31357,0.995678,1.10831,0,0,0
1,0,35,1,2955,28,32,18,3,1,1,30,247.32,-0.00346328,-1.52772,0.638961,-0.395942,0.208754,0,0,0
9,1,36,0,3105,47,41,20,3,1,2,30,290.08,0.0918278,-0.365311,0.996409,-0.209683,0.569309,0,1,1
9,0,37,0,2383,50,66,35,4,1,2,45,225.825,-0.625277,-0.232583,1.38444,1.7134,-0.0528803,0,1,1
0,0,37,0,248,8,32,6,3,1,2,30,138.24,-2.77796,-2.4912,0.571183,-2.22095,-1.21197,0,1,1
1,0,37,1,1783,31,32,10,4,1,1,45,125.35,-1.24676,-1.29144,0.56558,-1.64579,-1.34417,0,0,0
3,0,34,2,6900,103,46,26,5,1,1,55,174.045,1.84045,1.77979,1.14111,0.683179,-0.649033,0,0,0
0,0,37,0,743,13,41,8,4,1,2,45,121.4,-2.29133,-2.33425,1.01626,-1.86635,-1.45242,0,1,1
0,0,37,2,453,10,36,6,5,1,1,55,60.945,-2.54689,-2.47129,0.808187,-2.20826,-2.29725,0,0,0
25,0,32,4,16190,244,32,84,2,2,1,25,883.53,3.0858,3.09916,0.618159,3.11819,1.85979,1,0,1
6,0,35,4,7080,122,303,37,3,2,1,30,1500.08,1.9232,2.07332,2.76728,1.85915,2.75279,0,0,0
2,0,37,1,3833,88,34,32,3,1,1,30,292.84,0.542692,1.32532,0.717968,1.42677,0.6002,0,0,0
3,0,36,0,1780,50,70,24,4,1,2,45,220.75,-1.17735,-0.198589,1.43816,0.355817,-0.0750044,0,0,0
6,0,37,1,2895,59,207,27,2,1,1,25,1064.43,-0.0873226,0.27561,2.40948,0.804068,2.31302,0,0,0
4,0,28,2,1430,42,225,15,3,2,1,30,958.88,-1.51553,-0.671026,2.47373,-0.830986,2.08764,0,0,0
4,0,27,1,1683,45,62,72,5,1,1,55,118.92,-1.30312,-0.480961,1.32412,3.02025,-1.50721,0,0,0
11,0,28,0,815,31,42,11,3,1,2,30,201.84,-2.22844,-1.35629,1.03281,-1.53028,-0.279942,0,0,0
0,0,27,0,940,16,53,7,4,1,2,45,156.4,-2.11502,-2.18491,1.21614,-2.0713,-0.945117,0,0,0
10,0,26,1,1340,38,51,17,2,1,1,25,291.51,-1.64295,-0.913583,1.23627,-0.539608,0.580301,0,0,0
2,0,26,1,3340,67,40,27,3,1,1,30,296.28,0.260438,0.58281,0.972485,0.820711,0.612507,0,0,0
2,0,19,1,1810,32,60,18,3,1,1,30,313.68,-1.17356,-1.26236,1.35073,-0.45274,0.667692,0,0,0
16,0,18,2,6508,147,117,46,2,2,1,25,825.975,1.6392,2.38967,1.70601,2.63892,1.67127,1,0,0
12,0,16,1,9048,177,105,44,5,1,1,55,295.875,2.23007,2.69985,1.64247,2.47981,0.588461,1,0,1
8,0,17,4,2968,51,63,23,3,2,1,30,372.76,-0.0299165,-0.136925,1.38934,0.286072,0.896562,0,0,0
2,0,10,2,4505,46,247,14,3,1,1,30,1170.04,0.919936,-0.432572,2.5133,-1.05863,2.42517,0,0,0
3,0,10,2,1603,25,32,11,3,1,1,30,193.12,-1.41239,-1.69615,0.653675,-1.4383,-0.431677,0,1,1
8,0,37,0,4255,65,0,13,2,1,1,25,194.4,0.810351,0.493643,-2.53491,-1.2541,-0.360021,0,0,0
0,0,38,0,0,0,0,0,2,1,2,25,0,-3.03862,-3.14159,-2.55437,-3.12681,-3.04254,0,0,0
10,0,36,0,2338,54,327,20,2,1,1,25,1579.14,-0.662716,0.00453667,2.78625,-0.0931167,2.83339,0,0,0
10,0,37,0,4083,60,0,31,1,1,1,15,227.865,0.673046,0.234804,-2.47881,1.22983,-0.017001,0,0,0
3,0,37,0,2278,52,0,29,1,1,1,15,128.15,-0.717048,-0.108495,-2.5014,1.13589,-1.392,0,0,0
11,0,37,0,3660,76,0,24,2,1,1,25,168.12,0.483431,0.902611,-2.48986,0.355668,-0.732474,0,0,0
4,0,37,0,2245,33,253,14,3,1,1,30,1103.12,-0.712418,-1.25945,2.53797,-1.08583,2.38783,0,0,0
13,0,36,1,9000,115,112,39,3,1,1,30,812.6,2.26214,1.99888,1.7,2.08042,1.62521,0,0,0
7,0,37,0,13658,163,0,40,3,1,1,30,552.84,2.67652,2.55133,-2.48919,2.13178,1.20127,1,0,1
7,0,37,0,4400,77,0,21,3,1,1,30,179.08,0.88592,0.860948,-2.46232,0.0179463,-0.587236,0,0,0
6,0,37,0,5803,89,0,8,2,1,1,25,265.14,1.2553,1.36238,-2.47894,-1.92738,0.380802,0,0,0
9,0,37,0,2123,48,0,13,3,1,2,30,86.84,-0.822029,-0.376863,-2.47904,-1.24295,-1.96285,0,0,0
25,0,37,2,15025,219,22,28,3,1,1,30,697.76,2.80003,2.96835,0.083327,0.944164,1.33617,1,0,0
4,0,37,0,2980,21,451,4,3,1,1,30,1924.04,-0.00944782,-1.8884,3.03362,-2.39294,2.9658,0,0,0
9,0,36,0,15370,176,118,26,2,1,1,25,1230.57,2.91211,2.73123,1.76339,0.749378,2.44835,1,0,0
3,0,36,0,6385,80,154,22,3,1,1,30,874.6,1.50223,1.01093,1.93932,0.198918,1.83093,0,0,0
0,0,36,0,760,8,0,7,2,1,2,25,34.56,-2.2602,-2.51577,-2.45248,-2.10917,-2.55854,0,0,0
2,0,37,0,595,8,0,4,2,1,2,25,27.135,-2.43601,-2.46237,-2.45036,-2.38266,-2.66986,0,0,0
0,1,36,0,0,0,0,0,2,1,2,25,0,-3.14159,-3.07787,-2.46483,-3.00241,-3.04652,0,1,1
3,0,36,0,7393,121,352,39,2,1,1,25,1922.13,2.06569,2.07242,2.82795,1.9668,2.95787,0,0,0
7,0,36,0,11350,148,0,43,3,1,1,30,459.92,2.55327,2.40425,-2.46458,2.37973,1.10304,1,0,1
8,0,36,0,6603,69,76,33,2,1,1,25,642.24,1.66647,0.621305,1.5072,1.50705,1.26119,0,0,0
23,0,32,0,840,41,0,13,2,1,2,25,39.645,-2.20433,-0.770711,-2.43542,-1.22547,-2.54614,0,1,1
21,0,35,7,10320,87,0,38,4,2,1,45,260.175,2.42779,1.29616,-2.45992,1.9969,0.310152,1,0,1
13,1,35,0,5703,92,0,20,2,1,1,25,260.775,1.273,1.49159,-2.50844,-0.170654,0.317597,0,1,1
1,0,33,0,2725,16,0,10,3,1,1,30,109.64,-0.247904,-2.1281,-2.48273,-1.64755,-1.64073,0,0,0
9,1,34,0,2875,35,0,12,2,1,2,25,130.95,-0.120892,-1.084,-2.49086,-1.22805,-1.32661,0,1,1
9,0,35,0,2153,38,2,27,3,1,2,30,95.64,-0.833527,-0.938781,-1.835,0.844911,-1.85506,0,1,1
0,0,35,0,0,0,0,0,2,1,2,25,0,-3.10068,-2.93027,-2.52414,-3.03276,-3.10877,0,1,1
1,0,35,0,1553,19,0,2,3,1,1,30,62.88,-1.41674,-2.04698,-2.54327,-2.62293,-2.22859,0,0,0
3,0,32,0,6670,91,0,18,4,1,1,45,169.025,1.6877,1.44416,-2.5427,-0.486006,-0.753057,0,0,0
0,0,35,0,513,1,0,3,4,1,2,45,12.85,-2.49297,-2.82448,-2.50241,-2.57498,-2.78421,0,1,1
0,0,35,0,0,0,0,0,4,1,1,45,0,-3.07823,-2.85542,-2.54439,-3.05852,-3.11606,0,0,0
25,0,30,2,15960,232,0,76,2,1,1,25,728.64,3.02912,3.02841,-2.50975,3.02327,1.44868,1,0,1
6,0,33,2,6850,110,239,29,2,2,1,25,1388.7,1.79636,1.89985,2.50352,1.03203,2.62436,0,0,0
2,0,35,0,3603,76,0,24,2,1,1,25,165.555,0.442218,0.883951,-2.51409,0.428635,-0.805288,0,0,0
3,0,34,0,1550,38,6,16,3,1,2,30,87.52,-1.45347,-0.960225,-1.58381,-0.644188,-1.93443,0,0,0
6,0,35,0,2665,47,143,19,2,1,1,25,765.54,-0.294807,-0.37525,1.88272,-0.245717,1.50316,0,0,0
4,0,26,0,1200,30,161,7,2,2,1,25,779.85,-1.78512,-1.39078,1.98943,-2.1015,1.60128,0,0,0
4,0,25,0,1453,33,0,64,4,1,1,45,37.15,-1.51674,-1.23083,-2.51615,2.88822,-2.55432,0,0,0
11,0,26,0,585,19,0,3,2,1,2,25,27.18,-2.43725,-2.03355,-2.48136,-2.50797,-2.67366,0,0,0
0,0,25,0,710,4,0,1,4,1,2,45,17.85,-2.28175,-2.76509,-2.50827,-2.80188,-2.75207,0,0,0
10,0,24,0,1110,26,0,9,2,1,1,25,51.12,-1.87208,-1.61431,-2.50733,-1.68144,-2.35866,0,0,0
2,0,24,0,3110,55,0,19,3,1,1,30,126.6,0.102008,0.0534657,-2.47711,-0.224127,-1.3611,0,0,0
2,0,17,0,1580,20,0,10,2,1,1,25,72,-1.41435,-1.93865,-2.53122,-1.6005,-2.1261,0,0,0
16,0,16,0,6278,135,53,38,1,2,1,15,644.215,1.42612,2.25738,1.27067,2.00303,1.24657,0,0,0
12,0,14,0,8818,165,41,36,4,1,1,45,327.075,2.24449,2.55625,0.953867,1.78859,0.746761,1,0,1
8,0,15,2,2738,39,0,15,3,1,1,30,111.08,-0.224638,-0.81739,-2.50006,-0.834658,-1.62977,0,0,0
2,0,8,0,4275,34,183,6,3,1,1,30,904.36,0.800893,-1.19534,2.1517,-2.19287,1.94875,0,0,0
3,1,8,0,1373,13,0,3,2,1,1,25,62.37,-1.59968,-2.33151,-2.64672,-2.5613,-2.27367,0,1,1
10,0,38,0,4560,72,14,20,3,1,1,30,241.28,0.981596,0.751662,-0.592558,-0.130494,0.136137,0,0,0
2,0,39,0,508,6,16,7,2,1,2,25,95.13,-2.48801,-2.60434,-0.432891,-2.07748,-1.85556,0,0,0
12,0,37,0,2643,61,368,27,3,1,1,30,1580.16,-0.380736,0.295121,2.88646,0.807772,2.81791,0,0,0
12,0,38,0,4388,67,10,38,1,1,1,15,300.025,0.864468,0.598234,-0.917041,1.95726,0.626313,0,0,0
5,0,38,0,2583,59,11,36,1,1,1,15,205.81,-0.385467,0.237161,-0.877545,1.81811,-0.238072,0,0,0
13,0,38,1,3965,83,41,31,3,1,1,30,325.92,0.621692,1.16904,0.974979,1.33304,0.728476,0,0,0
6,0,38,0,2550,40,294,21,3,1,1,30,1279.6,-0.427325,-0.818316,2.74432,-0.0039746,2.48608,0,0,0
15,0,37,2,9305,122,153,46,3,1,1,30,989.08,2.30457,2.07129,1.92131,2.67192,2.20196,1,0,1
9,0,38,0,13963,170,9,47,3,1,1,30,601.32,2.72917,2.62723,-0.980749,2.64217,1.26477,1,0,0
9,0,38,1,4705,84,11,28,3,1,1,30,235.56,1.03656,1.17966,-0.828797,0.854379,0.0553878,0,0,0
8,0,38,0,6108,96,16,15,3,1,1,30,312.16,1.35299,1.61012,-0.36409,-0.974468,0.669416,0,0,0
11,1,38,0,2428,55,17,20,3,1,2,30,167.32,-0.558093,0.0695756,-0.318556,-0.109287,-0.786914,0,0,0
27,0,38,3,15330,226,63,35,3,1,1,30,874.24,2.89067,2.98168,1.40597,1.6888,1.84769,1,0,0
6,0,38,1,3285,28,492,11,3,1,1,30,2100.52,0.227223,-1.5266,3.10494,-1.5417,3.13674,0,0,0
11,0,37,0,15675,183,159,33,2,1,1,25,1429.11,2.97172,2.81691,1.99167,1.51909,2.65846,1,0,0
5,0,37,1,6690,87,195,29,3,1,1,30,1051.08,1.72043,1.29137,2.30632,1.02124,2.28876,0,0,0
2,0,37,0,1065,15,9,14,2,1,2,25,89.1,-1.97037,-2.25602,-0.956577,-1.04252,-1.94109,0,0,0
4,0,38,0,900,15,22,11,3,1,2,30,124.6,-2.12853,-2.22252,-0.00629358,-1.47916,-1.38465,0,0,0
2,0,37,0,190,1,9,3,2,1,2,25,49.095,-2.79164,-2.8061,-0.955044,-2.58619,-2.35668,0,1,1
5,0,37,0,7698,128,393,46,2,1,1,25,2120.67,2.06593,2.17722,2.99797,2.60258,3.1226,1,0,0
9,0,37,1,11655,155,20,50,4,1,1,45,345.25,2.60378,2.51244,-0.0926558,2.79457,0.837967,1,0,1
10,0,37,1,6908,76,117,40,2,1,1,25,840.78,1.83172,0.828661,1.74053,2.16935,1.75324,0,0,0
25,1,33,0,1145,48,25,20,2,1,2,25,166.185,-1.83739,-0.281927,0.268459,-0.114465,-0.816842,0,1,1
23,0,36,8,10625,94,10,45,5,1,1,55,175.785,2.47169,1.53531,-0.866722,2.57806,-0.655796,1,0,0
15,0,36,1,6008,99,35,27,2,1,1,25,432.315,1.36212,1.71955,0.751178,0.788917,1.03553,0,1,1
3,0,34,0,3030,23,9,17,3,1,1,30,158.12,0.0442065,-1.81143,-0.966862,-0.559987,-0.908041,0,0,0
11,1,35,0,3180,42,18,19,3,1,2,30,200.88,0.134579,-0.655698,-0.230701,-0.215696,-0.287631,0,1,1
11,1,36,0,2458,45,43,34,3,1,2,30,272.12,-0.539598,-0.503992,1.07265,1.58027,0.456001,0,1,1
2,0,36,0,323,3,9,5,3,1,2,30,49.04,-2.65838,-2.77568,-0.992904,-2.35392,-2.44296,0,1,1
3,0,36,0,1858,26,9,9,3,1,1,30,111.36,-1.13349,-1.66651,-0.964219,-1.7399,-1.62877,0,0,0
5,0,33,1,6975,98,23,25,5,1,1,55,140.595,1.83053,1.69534,0.100881,0.489973,-1.2125,0,0,0
2,0,36,0,818,8,18,7,4,1,2,45,65.65,-2.25107,-2.55692,-0.187209,-2.07714,-2.19625,0,1,1
2,0,36,1,528,5,13,5,5,1,1,55,27.495,-2.49159,-2.72158,-0.670921,-2.28001,-2.61193,0,0,0
27,0,31,3,16265,239,9,83,2,1,1,25,783.18,3.10396,3.08464,-1.03663,3.09557,1.5901,1,0,1
8,0,34,3,7155,117,280,36,2,2,1,25,1587.24,1.92355,1.99734,2.65394,1.75376,2.86456,1,0,1
4,0,36,0,3908,83,11,31,2,1,1,25,229.095,0.548082,1.13321,-0.822507,1.25717,-0.0019209,0,0,0
5,0,35,0,1855,45,47,23,3,1,2,30,264,-1.13728,-0.479041,1.13151,0.198799,0.387465,0,0,0
8,0,36,0,2970,54,184,26,2,1,1,25,964.08,0.0115256,-0.0057033,2.15883,0.698246,2.11137,0,0,0
6,1,27,1,1505,37,202,14,2,2,1,25,978.39,-1.45058,-0.981246,2.35516,-0.981436,2.18071,0,1,1
6,0,26,0,1758,40,39,71,4,1,1,45,142.45,-1.20301,-0.831646,0.917769,3.02654,-1.17921,0,0,0
13,0,27,0,890,26,19,10,2,1,2,25,126.72,-2.17047,-1.64251,-0.11686,-1.61463,-1.36496,0,0,0
2,0,26,0,1015,11,30,6,4,1,2,45,100.65,-1.98989,-2.43164,0.564186,-2.18744,-1.76409,0,0,0
12,0,25,0,1415,33,28,16,2,1,1,25,191.16,-1.55772,-1.22554,0.419366,-0.779115,-0.407158,0,0,0
4,0,25,0,3415,62,17,26,3,1,1,30,207.08,0.342228,0.39775,-0.26613,0.770911,-0.205486,0,0,0
4,0,18,0,1885,27,37,17,2,1,1,25,252.54,-1.10686,-1.611,0.852417,-0.503293,0.244449,0,0,0
18,0,17,1,6582,142,94,45,2,2,1,25,725.58,1.60708,2.3001,1.62563,2.5995,1.41931,0,0,0
14,0,15,0,9122,172,82,43,4,1,1,45,437.35,2.26114,2.69459,1.52022,2.38241,1.05254,1,0,0
10,0,16,3,3042,46,40,22,3,1,1,30,283.52,0.0188569,-0.42173,0.901017,0.056465,0.489543,0,0,0
4,0,9,1,4580,41,224,13,3,1,1,30,1080.84,0.977156,-0.707874,2.49266,-1.16673,2.34001,0,0,0
5,0,9,1,1677,20,9,10,3,1,1,30,103.88,-1.29659,-1.95161,-0.99612,-1.5984,-1.7262,0,1,1
6,0,38,0,4180,70,0,14,3,1,1,30,170,0.755024,0.660342,-2.78372,-0.960484,-0.686809,0,0,0
0,0,39,0,128,4,0,1,2,1,2,25,5.94,-2.81484,-2.77261,-2.82053,-2.7961,-2.86408,0,0,0
8,0,37,0,2263,59,350,21,3,1,1,30,1492.88,-0.782246,0.262084,2.81532,-0.0755193,2.72424,0,0,0
8,0,38,0,4008,65,0,32,1,1,1,15,224.015,0.623949,0.488983,-2.80193,1.44086,-0.00186913,0,0,0
1,0,38,0,2203,57,0,30,1,1,1,15,124.3,-0.785862,0.181897,-2.77252,1.20024,-1.39193,0,0,0
9,0,38,1,3585,81,23,25,3,1,1,30,238.64,0.435984,1.02974,0.141472,0.520572,0.130103,0,0,0
2,0,38,0,2170,38,276,15,3,1,1,30,1192.32,-0.842485,-0.967967,2.59569,-0.917065,2.45467,0,0,0
11,0,37,2,8925,120,135,40,3,1,1,30,901.8,2.25108,2.03195,1.79081,2.17672,1.92787,1,0,0
5,0,38,0,13583,168,0,41,3,1,1,30,550.04,2.66274,2.61884,-2.72478,2.2675,1.14509,1,0,0
5,0,38,1,4325,82,0,22,3,1,1,30,176.28,0.802486,1.06296,-2.71045,0.123454,-0.643867,0,0,0
4,0,38,0,5728,94,0,9,3,1,1,30,232.88,1.22386,1.55319,-2.65295,-1.72392,0.0334281,0,0,0
7,0,38,0,2048,53,0,14,3,1,2,30,84.04,-0.952892,-0.0495826,-2.73185,-1.07936,-1.9803,0,0,0
23,0,38,3,14950,224,45,29,3,1,1,30,786.96,2.84148,2.95492,1.1113,1.02562,1.55861,1,0,1
2,0,38,1,2905,26,474,5,3,1,1,30,2013.24,-0.106634,-1.64615,3.08153,-2.35812,3.03757,0,0,0
7,0,37,0,15295,181,141,27,2,1,1,25,1330.92,2.90337,2.79134,1.84396,0.77731,2.56759,1,0,0
1,0,37,1,6310,85,177,23,3,1,1,30,963.8,1.49219,1.19367,2.13637,0.328681,2.10811,0,0,0
0,0,37,0,685,13,0,8,2,1,2,25,31.41,-2.35358,-2.31865,-2.70192,-1.8943,-2.57025,0,0,0
0,0,38,0,520,13,4,5,3,1,2,30,37.32,-2.49717,-2.35944,-1.71278,-2.3329,-2.57533,0,0,0
0,0,37,0,0,0,0,0,2,1,2,25,0,-3.0266,-2.90323,-2.66534,-2.77241,-2.98558,0,1,1
1,0,37,0,7318,126,375,40,2,1,1,25,2022.48,1.99489,2.13147,2.91683,2.17937,3.05231,1,0,0
5,0,37,1,11275,153,2,44,4,1,1,45,290.7,2.55499,2.41184,-1.83343,2.48416,0.563754,1,0,0
6,0,37,1,6528,74,99,34,2,1,1,25,742.59,1.58303,0.771434,1.62607,1.59999,1.42404,0,0,0
21,0,33,0,765,46,7,14,2,1,2,25,67.995,-2.24398,-0.401432,-1.21421,-1.00284,-2.19632,0,1,1
19,0,36,8,10245,92,0,39,5,2,1,55,155.055,2.44665,1.43047,-2.63882,2.05819,-0.98502,1,0,1
11,0,36,1,5628,97,17,21,2,1,1,25,334.125,1.23268,1.62401,-0.323359,-0.0398341,0.817705,0,1,1
0,0,34,0,2650,21,0,11,3,1,1,30,106.84,-0.337783,-1.89732,-2.67248,-1.43723,-1.65292,0,0,0
7,1,35,0,2800,40,0,13,3,1,2,30,113.6,-0.180415,-0.786069,-2.63725,-1.19098,-1.55933,0,1,1
7,0,36,0,2078,43,25,28,3,1,2,30,184.84,-0.904213,-0.629704,0.262848,0.972689,-0.527723,0,1,1
0,0,36,0,0,0,0,0,3,1,2,30,0,-3.02377,-3.09407,-2.6217,-2.82907,-2.97832,0,1,1
0,0,36,0,1478,24,0,3,3,1,1,30,60.08,-1.55311,-1.74359,-2.64342,-2.54229,-2.28458,0,0,0
1,0,33,1,6595,96,5,19,5,1,1,55,107.865,1.61678,1.59792,-1.58555,-0.190068,-1.67301,0,0,0
0,0,36,0,438,6,0,1,4,1,2,45,11.1,-2.57623,-2.62287,-2.6516,-2.75405,-2.82044,0,1,1
0,0,36,1,0,0,0,0,5,1,1,55,0,-3.06252,-2.9733,-2.63599,-2.87009,-2.85011,0,0,0
23,0,31,3,15885,237,0,77,2,1,1,25,725.49,3.03124,3.08854,-2.67946,3.00932,1.41129,1,0,1
4,0,34,3,6775,115,262,30,2,2,1,25,1489.05,1.76486,2.02162,2.59662,1.14189,2.71696,0,0,0
0,0,36,0,3528,81,0,25,2,1,1,25,162.405,0.387522,1.06025,-2.69246,0.516113,-0.903609,0,0,0
1,0,35,0,1475,43,29,17,3,1,2,30,176.72,-1.49741,-0.631889,0.52505,-0.496456,-0.640915,0,0,0
4,0,36,0,2590,52,166,20,2,1,1,25,865.89,-0.394619,-0.107294,2.03547,-0.223853,1.84088,0,0,0
2,0,27,1,1125,35,184,8,2,2,1,25,880.2,-1.87409,-1.11958,2.19791,-1.8889,1.87192,0,0,0
2,0,26,0,1378,38,21,65,4,1,1,45,87.9,-1.57911,-0.95764,-0.0476515,2.92707,-1.91143,0,0,0
9,0,27,0,510,24,1,4,2,1,2,25,28.53,-2.52885,-1.79668,-1.84911,-2.47503,-2.61839,0,0,0
0,0,26,0,635,9,12,1,4,1,2,45,46.1,-2.37976,-2.48668,-0.668231,-2.76978,-2.41099,0,0,0
8,0,25,0,1035,31,10,10,2,1,1,25,92.97,-1.99008,-1.3593,-0.899679,-1.57602,-1.84415,0,0,0
0,0,25,0,3035,60,0,20,3,1,1,30,123.8,0.0712666,0.278489,-2.69771,-0.172361,-1.40486,0,0,0
0,0,18,0,1505,25,19,11,2,1,1,25,154.35,-1.46832,-1.74932,-0.102847,-1.47655,-0.97811,0,0,0
14,0,17,1,6202,140,76,39,2,2,1,25,627.39,1.39481,2.33873,1.46246,2.07237,1.21986,1,0,1
10,0,15,0,8742,170,64,37,4,1,1,45,382.8,2.18832,2.66749,1.3632,1.87333,0.922936,1,0,1
6,0,16,3,2662,44,22,16,3,1,1,30,196.24,-0.386278,-0.509459,0.083445,-0.830991,-0.340584,0,0,0
0,0,9,1,4200,39,206,7,3,1,1,30,993.56,0.759012,-0.852839,2.38276,-2.115,2.22701,0,0,0
1,0,9,1,1297,18,0,4,3,1,1,30,52.6,-1.72357,-2.06267,-2.67401,-2.502,-2.39334,0,1,1
6,0,33,0,4370,65,0,16,2,1,1,25,199.575,0.86995,0.452134,-2.68413,-0.738175,-0.319608,0,0,0
0,0,34,0,318,4,0,3,2,1,2,25,14.49,-2.67717,-2.79226,-2.68571,-2.52885,-2.77728,0,0,0
8,0,32,0,2453,54,351,23,2,1,1,25,1692.32,-0.566838,0.00721723,2.83997,0.355771,2.90623,0,0,0
8,0,33,0,4198,60,0,34,1,1,1,15,234.19,0.743258,0.302021,-2.69675,1.56849,0.0403497,0,0,0
1,0,33,0,2393,52,0,32,1,1,1,15,134.475,-0.604666,-0.0722098,-2.67651,1.39911,-1.2378,0,0,0
9,0,33,0,3775,76,24,27,2,1,1,25,281.295,0.523364,0.80993,0.177688,0.803706,0.522959,0,0,0
2,0,33,0,2360,33,277,17,3,1,1,30,1203.72,-0.663256,-1.21277,2.6187,-0.508293,2.44349,0,0,0
