position_id,asset,position_side,leverage,margin_mode,notional_usd,initial_margin,init_margin_rate,maint_margin_rate,liq_distance_pct,vol_regime,hourly_volatility,funding_rate_8h,adds_margin,uses_stop_loss,intended_hold_hours,time_to_liquidation_hours,pnl_pct,got_liquidated,survived
POS006612,SOL,short,60,cross,10253.0,170.88,0.0167,0.0083,0.833,normal,0.015,0.00027,0,1,7,,169.8,0,1
POS006613,ETH,short,13,isolated,2923.0,224.85,0.0769,0.0385,3.846,normal,0.01,-0.00043,0,0,12,,101.4,0,1
POS006614,AVAX,long,49,isolated,13764.0,280.9,0.0204,0.0102,1.02,volatile,0.0288,-5e-05,0,0,2,,25.7,0,1
POS006615,DOGE,short,44,cross,10519.0,239.07,0.0227,0.0114,1.136,volatile,0.0396,-0.00042,0,0,12,1.0,-100.0,1,0
POS006616,BTC,short,21,isolated,4030.0,191.9,0.0476,0.0238,2.381,calm,0.0048,-0.00073,0,1,96,,-10.2,0,1
POS006617,ETH,short,23,isolated,5494.0,238.87,0.0435,0.0217,2.174,crash,0.032,0.00079,0,0,17,,28.9,0,1
POS006618,ARB,long,89,isolated,2276.0,25.57,0.0112,0.0056,0.562,normal,0.018,0.00027,0,1,27,,-100.0,0,1
POS006619,ETH,long,9,isolated,9377.0,1041.89,0.1111,0.0556,5.556,volatile,0.018,0.00121,0,1,20,16.0,-100.0,1,0
POS006620,HYPE,long,24,cross,12610.0,525.42,0.0417,0.0208,2.083,normal,0.02,0.00055,1,1,11,,-25.7,0,1
POS006621,ETH,long,46,isolated,8457.0,183.85,0.0217,0.0109,1.087,normal,0.01,9e-05,0,1,19,,-4.5,0,1
POS006622,altcoin_smallcap,long,57,isolated,3759.0,65.95,0.0175,0.0088,0.877,calm,0.018,-7e-05,0,0,11,,312.5,0,1
POS006623,SOL,long,25,isolated,1964.0,78.56,0.04,0.02,2.0,volatile,0.027,6e-05,0,0,1,,-22.5,0,1
POS006624,ETH,long,13,cross,6729.0,517.62,0.0769,0.0385,3.846,normal,0.01,0.00014,1,0,36,,36.9,0,1
POS006625,SOL,long,5,isolated,12813.0,2562.6,0.2,0.1,10.0,calm,0.009,-0.00028,0,1,2,,0.2,0,1
POS006626,AVAX,long,15,cross,3713.0,247.53,0.0667,0.0333,3.333,normal,0.016,7e-05,0,0,25,,161.7,0,1
POS006627,BTC,short,56,cross,18819.0,336.05,0.0179,0.0089,0.893,normal,0.008,-0.00041,0,0,9,5.0,-100.0,1,0
POS006628,BTC,short,26,isolated,10744.0,413.23,0.0385,0.0192,1.923,normal,0.008,8e-05,1,1,14,4.0,-100.0,1,0
POS006629,BTC,long,36,isolated,3777.0,104.92,0.0278,0.0139,1.389,calm,0.0048,0.0001,0,1,13,,34.2,0,1
POS006630,ETH,short,69,isolated,4915.0,71.23,0.0145,0.0072,0.725,calm,0.006,0.00017,0,1,17,,101.5,0,1
POS006631,HYPE,short,25,isolated,11458.0,458.32,0.04,0.02,2.0,normal,0.02,-0.00049,0,1,21,,712.4,0,1
POS006632,SOL,long,40,isolated,2233.0,55.82,0.025,0.0125,1.25,normal,0.015,0.00022,1,1,5,,-46.7,0,1
POS006633,HYPE,short,110,cross,9391.0,85.37,0.0091,0.0045,0.455,normal,0.02,0.0004,0,0,4,3.0,-100.0,1,0
POS006634,altcoin_smallcap,long,9,isolated,10089.0,1121.0,0.1111,0.0556,5.556,volatile,0.054,-1e-05,0,1,3,2.0,-100.0,1,0
POS006635,ETH,long,26,cross,13374.0,514.38,0.0385,0.0192,1.923,calm,0.006,-0.00014,0,0,17,,20.1,0,1
POS006636,BTC,long,27,isolated,4232.0,156.74,0.037,0.0185,1.852,calm,0.0048,0.0002,0,1,11,,25.5,0,1
POS006637,BTC,long,32,isolated,876.0,27.38,0.0312,0.0156,1.562,volatile,0.0144,0.00099,0,1,16,,308.3,0,1
POS006638,ARB,long,59,isolated,1496.0,25.36,0.0169,0.0085,0.847,normal,0.018,-5e-05,0,1,5,1.0,-100.0,1,0
POS006639,BTC,long,42,cross,12700.0,302.38,0.0238,0.0119,1.19,calm,0.0048,0.00017,0,1,12,,64.5,0,1
POS006640,BTC,short,27,cross,11454.0,424.22,0.037,0.0185,1.852,calm,0.0048,0.00042,0,1,35,,213.5,0,1
POS006641,SOL,long,49,isolated,10929.0,223.04,0.0204,0.0102,1.02,calm,0.009,0.00051,0,0,10,4.0,-100.0,1,0
POS006642,altcoin_smallcap,long,43,cross,275.0,6.4,0.0233,0.0116,1.163,calm,0.018,-7e-05,0,1,21,,-77.8,0,1
POS006643,BTC,long,8,isolated,8028.0,1003.5,0.125,0.0625,6.25,normal,0.008,-4e-05,1,0,2,,15.1,0,1
POS006644,HYPE,short,125,cross,2276.0,18.21,0.008,0.004,0.4,normal,0.02,-7e-05,0,1,35,5.0,-100.0,1,0
POS006645,altcoin_smallcap,long,30,cross,8420.0,280.67,0.0333,0.0167,1.667,calm,0.018,-0.00051,0,0,5,,99.6,0,1
POS006646,BTC,long,28,isolated,17471.0,623.96,0.0357,0.0179,1.786,calm,0.0048,0.00031,0,0,14,,6.8,0,1
POS006647,BTC,short,50,cross,2317.0,46.34,0.02,0.01,1.0,calm,0.0048,0.0001,1,0,19,,18.1,0,1
POS006648,AVAX,long,56,cross,10693.0,190.95,0.0179,0.0089,0.893,calm,0.0096,0.00019,0,1,25,,-66.8,0,1
POS006649,DOGE,short,29,cross,1152.0,39.72,0.0345,0.0172,1.724,calm,0.0132,0.00025,1,0,43,42.0,-100.0,1,0
POS006650,AVAX,long,47,cross,7981.0,169.81,0.0213,0.0106,1.064,calm,0.0096,-0.0003,1,1,11,,157.8,0,1
POS006651,AVAX,long,22,cross,3396.0,154.36,0.0455,0.0227,2.273,volatile,0.0288,-0.00038,0,1,11,,100.3,0,1
POS006652,ARB,short,48,isolated,8106.0,168.88,0.0208,0.0104,1.042,calm,0.0108,0.00076,1,1,6,,29.3,0,1
POS006653,BTC,long,22,isolated,1396.0,63.45,0.0455,0.0227,2.273,volatile,0.0144,8e-05,1,0,39,2.0,-100.0,1,0
POS006654,SOL,long,33,cross,10509.0,318.45,0.0303,0.0152,1.515,normal,0.015,0.0008,0,1,4,,-69.3,0,1
POS006655,SOL,long,46,isolated,4803.0,104.41,0.0217,0.0109,1.087,calm,0.009,0.00021,0,1,7,4.0,-100.0,1,0
POS006656,ETH,short,20,isolated,4348.0,217.4,0.05,0.025,2.5,normal,0.01,-0.00023,0,1,22,8.0,-100.0,1,0
POS006657,BTC,short,39,cross,1017.0,26.08,0.0256,0.0128,1.282,normal,0.008,-0.00032,1,1,11,,-51.5,0,1
POS006658,ARB,short,23,isolated,2400.0,104.35,0.0435,0.0217,2.174,volatile,0.0324,0.00055,0,1,22,,-100.0,0,1
POS006659,ARB,long,39,cross,2569.0,65.87,0.0256,0.0128,1.282,normal,0.018,6e-05,0,0,12,2.0,-100.0,1,0
POS006660,BTC,short,35,isolated,6482.0,185.2,0.0286,0.0143,1.429,calm,0.0048,-0.00027,1,0,37,,164.4,0,1
POS006661,ETH,long,10,cross,2371.0,237.1,0.1,0.05,5.0,calm,0.006,9e-05,0,0,9,,4.0,0,1
POS006662,DOGE,short,14,isolated,11775.0,841.07,0.0714,0.0357,3.571,normal,0.022,-0.00016,0,0,8,,-10.8,0,1
POS006663,BTC,long,62,cross,32114.0,517.97,0.0161,0.0081,0.806,normal,0.008,-0.00024,1,0,21,,200.0,0,1
POS006664,SOL,long,79,cross,3761.0,47.61,0.0127,0.0063,0.633,normal,0.015,0.0006,0,0,5,,234.9,0,1
POS006665,ARB,long,47,isolated,12486.0,265.66,0.0213,0.0106,1.064,normal,0.018,-5e-05,0,0,1,,30.3,0,1
POS006666,ARB,long,56,isolated,5243.0,93.62,0.0179,0.0089,0.893,calm,0.0108,-9e-05,1,0,3,,15.5,0,1
POS006667,altcoin_smallcap,long,9,isolated,10462.0,1162.44,0.1111,0.0556,5.556,calm,0.018,-0.0001,0,0,34,,14.3,0,1
POS006668,SOL,short,85,isolated,23025.0,270.88,0.0118,0.0059,0.588,normal,0.015,-0.00016,0,1,9,,-52.2,0,1
POS006669,BTC,long,4,isolated,8311.0,2077.75,0.25,0.125,12.5,normal,0.008,-0.00053,0,1,9,,12.1,0,1
POS006670,SOL,long,15,isolated,2507.0,167.13,0.0667,0.0333,3.333,normal,0.015,0.00022,0,0,13,,-34.2,0,1
POS006671,DOGE,long,65,cross,11482.0,176.65,0.0154,0.0077,0.769,normal,0.022,-0.00108,0,1,23,,-94.2,0,1
POS006672,ETH,short,10,isolated,10392.0,1039.2,0.1,0.05,5.0,normal,0.01,-0.00016,0,1,4,,7.6,0,1
POS006673,DOGE,long,12,isolated,2442.0,203.5,0.0833,0.0417,4.167,normal,0.022,-6e-05,0,1,6,,-61.0,0,1
POS006674,BTC,long,9,isolated,11046.0,1227.33,0.1111,0.0556,5.556,calm,0.0048,0.0004,1,0,5,,5.8,0,1
POS006675,BTC,long,31,isolated,8717.0,281.19,0.0323,0.0161,1.613,calm,0.0048,0.00018,0,0,32,11.0,-100.0,1,0
POS006676,BTC,long,64,isolated,2831.0,44.23,0.0156,0.0078,0.781,calm,0.0048,0.00036,0,0,2,,43.8,0,1
POS006677,SOL,short,11,cross,8477.0,770.64,0.0909,0.0455,4.545,volatile,0.027,0.00011,0,1,30,,-80.0,0,1
POS006678,BTC,short,19,isolated,7323.0,385.42,0.0526,0.0263,2.632,crash,0.0256,0.00092,0,0,2,,14.6,0,1
POS006679,altcoin_smallcap,long,45,isolated,6383.0,141.84,0.0222,0.0111,1.111,calm,0.018,0.00023,0,0,11,,249.4,0,1
POS006680,SOL,long,49,isolated,1576.0,32.16,0.0204,0.0102,1.02,calm,0.009,0.00082,0,0,15,,328.1,0,1
POS006681,ETH,long,17,isolated,3369.0,198.18,0.0588,0.0294,2.941,volatile,0.018,0.00039,0,1,20,,-34.8,0,1
POS006682,altcoin_smallcap,long,29,cross,5231.0,180.38,0.0345,0.0172,1.724,normal,0.03,-0.00023,0,1,12,,-51.7,0,1
POS006683,BTC,long,57,isolated,7421.0,130.19,0.0175,0.0088,0.877,crash,0.0256,0.00047,0,0,27,1.0,-100.0,1,0
POS006684,BTC,long,31,isolated,6894.0,222.39,0.0323,0.0161,1.613,calm,0.0048,0.00146,0,1,19,7.0,-100.0,1,0
POS006685,HYPE,short,40,cross,7156.0,178.9,0.025,0.0125,1.25,normal,0.02,0.00055,0,1,7,,338.2,0,1
POS006686,BTC,long,61,isolated,3632.0,59.54,0.0164,0.0082,0.82,normal,0.008,-0.00031,1,0,12,,163.4,0,1
POS006687,ETH,short,47,isolated,6198.0,131.87,0.0213,0.0106,1.064,volatile,0.018,0.00033,0,1,12,,-100.0,0,1
POS006688,AVAX,long,15,isolated,3616.0,241.07,0.0667,0.0333,3.333,calm,0.0096,-0.00033,0,0,7,,23.6,0,1
POS006689,BTC,long,12,isolated,6896.0,574.67,0.0833,0.0417,4.167,normal,0.008,-0.0002,0,1,62,,-28.7,0,1
POS006690,ETH,long,33,cross,7488.0,226.91,0.0303,0.0152,1.515,normal,0.01,-0.00013,1,0,30,1.0,-100.0,1,0
POS006691,BTC,short,8,cross,8499.0,1062.38,0.125,0.0625,6.25,calm,0.0048,0.00122,0,0,19,,0.7,0,1
POS006692,BTC,short,13,isolated,4096.0,315.08,0.0769,0.0385,3.846,volatile,0.0144,0.0004,1,1,10,,13.2,0,1
POS006693,BTC,long,20,isolated,8294.0,414.7,0.05,0.025,2.5,normal,0.008,-7e-05,0,0,5,,59.1,0,1
POS006694,DOGE,short,16,isolated,1936.0,121.0,0.0625,0.0312,3.125,calm,0.0132,0.00035,0,1,7,,45.0,0,1
POS006695,ETH,short,15,isolated,14713.0,980.87,0.0667,0.0333,3.333,volatile,0.018,0.00091,0,1,18,10.0,-100.0,1,0
POS006696,SOL,short,20,isolated,2012.0,100.6,0.05,0.025,2.5,normal,0.015,-0.00037,0,0,55,,361.0,0,1
POS006697,SOL,long,47,cross,9245.0,196.7,0.0213,0.0106,1.064,normal,0.015,-0.0007,1,0,20,1.0,-100.0,1,0
POS006698,AVAX,short,21,isolated,10930.0,520.48,0.0476,0.0238,2.381,calm,0.0096,-0.00066,0,0,15,,12.7,0,1
POS006699,ETH,long,2,isolated,5866.0,2933.0,0.5,0.25,25.0,normal,0.01,-0.00012,0,1,4,,1.1,0,1
POS006700,ARB,short,55,isolated,2275.0,41.36,0.0182,0.0091,0.909,normal,0.018,-0.00044,0,1,52,,-49.7,0,1
POS006701,SOL,long,22,cross,18359.0,834.5,0.0455,0.0227,2.273,normal,0.015,0.00014,0,0,35,2.0,-100.0,1,0
POS006702,SOL,short,21,cross,6962.0,331.52,0.0476,0.0238,2.381,calm,0.009,0.00027,0,1,3,,56.6,0,1
POS006703,SOL,long,31,isolated,944.0,30.45,0.0323,0.0161,1.613,calm,0.009,4e-05,0,1,21,,-57.3,0,1
POS006704,ARB,short,58,isolated,2603.0,44.88,0.0172,0.0086,0.862,normal,0.018,-0.0001,1,1,23,,727.4,0,1
POS006705,ARB,long,23,cross,4207.0,182.91,0.0435,0.0217,2.174,normal,0.018,0.00042,0,1,7,,-67.2,0,1
POS006706,ARB,long,19,isolated,10068.0,529.89,0.0526,0.0263,2.632,normal,0.018,-0.00073,1,0,9,3.0,-100.0,1,0
POS006707,ETH,short,19,isolated,11350.0,597.37,0.0526,0.0263,2.632,volatile,0.018,0.00022,0,0,2,,-14.0,0,1
POS006708,BTC,long,34,isolated,19901.0,585.32,0.0294,0.0147,1.471,volatile,0.0144,0.00069,0,0,4,,22.4,0,1
POS006709,SOL,short,54,cross,5265.0,97.5,0.0185,0.0093,0.926,volatile,0.027,-0.0003,0,0,6,,246.0,0,1
POS006710,HYPE,short,18,cross,3115.0,173.06,0.0556,0.0278,2.778,calm,0.012,-0.0001,0,0,17,,28.7,0,1
POS006711,ETH,long,56,cross,3485.0,62.23,0.0179,0.0089,0.893,volatile,0.018,0.0007,1,1,45,,123.5,0,1
POS006712,ETH,long,39,isolated,8788.0,225.33,0.0256,0.0128,1.282,normal,0.01,0.00044,1,1,14,,89.2,0,1
POS006713,ETH,long,23,cross,7180.0,312.17,0.0435,0.0217,2.174,calm,0.006,-0.00019,0,0,28,8.0,-100.0,1,0
POS006714,ETH,long,39,isolated,10092.0,258.77,0.0256,0.0128,1.282,calm,0.006,-0.00025,0,0,8,5.0,-100.0,1,0
POS006715,DOGE,long,32,cross,3420.0,106.88,0.0312,0.0156,1.562,calm,0.0132,8e-05,1,0,43,33.0,-100.0,1,0
POS006716,BTC,long,125,cross,11545.0,92.36,0.008,0.004,0.4,calm,0.0048,0.0,1,0,21,3.0,-100.0,1,0
POS006717,SOL,short,74,isolated,2077.0,28.07,0.0135,0.0068,0.676,calm,0.009,0.00026,0,1,26,,432.9,0,1
POS006718,ETH,short,3,isolated,11017.0,3672.33,0.3333,0.1667,16.667,normal,0.01,0.00024,0,0,11,,13.8,0,1
POS006719,BTC,long,47,isolated,2466.0,52.47,0.0213,0.0106,1.064,volatile,0.0144,0.0003,1,0,11,2.0,-100.0,1,0
POS006720,BTC,short,5,isolated,11569.0,2313.8,0.2,0.1,10.0,calm,0.0048,-0.00017,1,0,8,,5.9,0,1
POS006721,DOGE,long,21,isolated,67.0,3.19,0.0476,0.0238,2.381,normal,0.022,0.00044,0,0,11,,56.2,0,1
POS006722,altcoin_smallcap,long,69,isolated,2363.0,34.25,0.0145,0.0072,0.725,calm,0.018,0.00044,0,1,9,,-40.9,0,1
POS006723,BTC,short,23,isolated,1146.0,49.83,0.0435,0.0217,2.174,volatile,0.0144,0.00102,0,1,8,,17.7,0,1
POS006724,BTC,long,38,cross,3902.0,102.68,0.0263,0.0132,1.316,normal,0.008,0.00013,0,0,18,,44.4,0,1
POS006725,SOL,long,39,isolated,3129.0,80.23,0.0256,0.0128,1.282,volatile,0.027,2e-05,1,1,14,3.0,-100.0,1,0
POS006726,DOGE,long,60,isolated,1008.0,16.8,0.0167,0.0083,0.833,normal,0.022,-0.00076,1,1,41,3.0,-100.0,1,0
POS006727,ETH,long,11,cross,5352.0,486.55,0.0909,0.0455,4.545,volatile,0.018,-0.0005,0,0,46,33.0,-100.0,1,0
POS006728,ARB,long,35,isolated,459.0,13.11,0.0286,0.0143,1.429,volatile,0.0324,0.00014,0,1,6,,92.9,0,1
POS006729,altcoin_smallcap,long,21,isolated,981.0,46.71,0.0476,0.0238,2.381,volatile,0.054,7e-05,0,0,27,3.0,-100.0,1,0
POS006730,ARB,short,56,isolated,9493.0,169.52,0.0179,0.0089,0.893,normal,0.018,-0.00054,1,1,28,,-54.2,0,1
POS006731,BTC,short,17,isolated,9597.0,564.53,0.0588,0.0294,2.941,volatile,0.0144,0.00012,1,0,9,,31.5,0,1
POS006732,HYPE,short,59,cross,1408.0,23.86,0.0169,0.0085,0.847,calm,0.012,0.00055,0,0,1,,-5.8,0,1
POS006733,AVAX,long,20,cross,430.0,21.5,0.05,0.025,2.5,calm,0.0096,0.00016,0,0,16,,-28.9,0,1
POS006734,DOGE,long,83,isolated,14793.0,178.23,0.012,0.006,0.602,volatile,0.0396,0.0006,1,0,18,2.0,-100.0,1,0
POS006735,ARB,long,23,cross,10301.0,447.87,0.0435,0.0217,2.174,normal,0.018,0.00042,1,0,39,5.0,-100.0,1,0
POS006736,AVAX,short,8,cross,3987.0,498.38,0.125,0.0625,6.25,volatile,0.0288,0.00013,0,0,6,,28.6,0,1
POS006737,SOL,long,18,cross,7719.0,428.83,0.0556,0.0278,2.778,calm,0.009,0.00104,1,0,13,,22.3,0,1
POS006738,SOL,long,52,isolated,15317.0,294.56,0.0192,0.0096,0.962,normal,0.015,0.00032,1,1,13,,-30.5,0,1
POS006739,BTC,long,28,cross,11988.0,428.14,0.0357,0.0179,1.786,volatile,0.0144,0.00012,0,0,4,,91.2,0,1
POS006740,altcoin_smallcap,long,53,cross,12617.0,238.06,0.0189,0.0094,0.943,normal,0.03,0.00021,0,0,5,,24.9,0,1
POS006741,ETH,long,20,isolated,639.0,31.95,0.05,0.025,2.5,volatile,0.018,0.00046,0,0,4,2.0,-100.0,1,0
POS006742,HYPE,short,36,isolated,8353.0,232.03,0.0278,0.0139,1.389,calm,0.012,0.00025,0,1,34,,-41.0,0,1
POS006743,SOL,long,32,isolated,4590.0,143.44,0.0312,0.0156,1.562,calm,0.009,-0.00022,1,1,30,,-23.2,0,1
POS006744,ETH,long,38,isolated,6876.0,180.95,0.0263,0.0132,1.316,volatile,0.018,0.0003,0,1,53,,-70.0,0,1
POS006745,BTC,long,39,cross,7275.0,186.54,0.0256,0.0128,1.282,volatile,0.0144,0.00084,0,1,24,,-67.9,0,1
POS006746,altcoin_smallcap,long,7,isolated,13993.0,1999.0,0.1429,0.0714,7.143,volatile,0.054,0.0003,0,1,39,,-37.5,0,1
POS006747,ARB,short,5,cross,4886.0,977.2,0.2,0.1,10.0,normal,0.018,0.00045,0,1,4,,-14.1,0,1
POS006748,ARB,long,31,isolated,3915.0,126.29,0.0323,0.0161,1.613,normal,0.018,0.00047,0,1,13,1.0,-100.0,1,0
POS006749,ETH,short,63,cross,8371.0,132.87,0.0159,0.0079,0.794,calm,0.006,0.00017,1,0,9,4.0,-100.0,1,0
POS006750,ARB,short,79,isolated,3439.0,43.53,0.0127,0.0063,0.633,crash,0.0576,0.00059,0,0,11,,572.4,0,1
POS006751,BTC,long,46,cross,7014.0,152.48,0.0217,0.0109,1.087,calm,0.0048,0.00035,0,0,26,20.0,-100.0,1,0
POS006752,AVAX,long,43,cross,13258.0,308.33,0.0233,0.0116,1.163,calm,0.0096,0.00096,0,1,19,,-100.0,0,1
POS006753,DOGE,short,15,cross,1588.0,105.87,0.0667,0.0333,3.333,calm,0.0132,9e-05,0,0,7,,-20.6,0,1
POS006754,HYPE,short,25,cross,1520.0,60.8,0.04,0.02,2.0,crash,0.064,0.00063,0,1,4,,-78.6,0,1
POS006755,ETH,short,63,isolated,10237.0,162.49,0.0159,0.0079,0.794,crash,0.032,0.00047,1,0,19,3.0,-100.0,1,0
POS006756,BTC,long,21,isolated,12091.0,575.76,0.0476,0.0238,2.381,volatile,0.0144,0.00098,0,1,10,,-38.1,0,1
POS006757,ETH,long,50,isolated,5435.0,108.7,0.02,0.01,1.0,calm,0.006,-8e-05,0,0,11,10.0,-100.0,1,0
POS006758,ETH,short,54,cross,6505.0,120.46,0.0185,0.0093,0.926,volatile,0.018,0.00096,0,0,6,1.0,-100.0,1,0
POS006759,ARB,short,35,cross,14731.0,420.89,0.0286,0.0143,1.429,calm,0.0108,-0.00052,0,1,27,,171.3,0,1
POS006760,BTC,short,46,isolated,19575.0,425.54,0.0217,0.0109,1.087,volatile,0.0144,0.00056,1,0,10,,45.2,0,1
POS006761,SOL,long,16,cross,2071.0,129.44,0.0625,0.0312,3.125,normal,0.015,-0.0006,0,0,12,,46.5,0,1
POS006762,ETH,long,24,isolated,5385.0,224.38,0.0417,0.0208,2.083,calm,0.006,-0.00029,0,0,8,,-37.0,0,1
POS006763,ETH,long,67,cross,19164.0,286.03,0.0149,0.0075,0.746,volatile,0.018,0.00034,1,0,12,1.0,-100.0,1,0
POS006764,altcoin_smallcap,long,20,cross,9425.0,471.25,0.05,0.025,2.5,volatile,0.054,-0.00057,0,0,3,,30.9,0,1
POS006765,BTC,long,9,cross,4110.0,456.67,0.1111,0.0556,5.556,normal,0.008,-0.00015,0,1,22,,20.3,0,1
POS006766,BTC,short,122,cross,8651.0,70.91,0.0082,0.0041,0.41,normal,0.008,-0.0,0,0,5,2.0,-100.0,1,0
POS006767,BTC,short,17,isolated,23713.0,1394.88,0.0588,0.0294,2.941,volatile,0.0144,0.00029,0,1,14,,-33.7,0,1
POS006768,ETH,long,30,cross,6244.0,208.13,0.0333,0.0167,1.667,crash,0.032,0.00132,0,0,38,6.0,-100.0,1,0
POS006769,ETH,short,55,isolated,4165.0,75.73,0.0182,0.0091,0.909,normal,0.01,0.00035,0,0,2,1.0,-100.0,1,0
POS006770,HYPE,short,38,cross,668.0,17.58,0.0263,0.0132,1.316,volatile,0.036,0.00096,0,1,17,,-100.0,0,1
POS006771,BTC,short,7,isolated,18047.0,2578.14,0.1429,0.0714,7.143,normal,0.008,0.00044,0,0,31,,-15.6,0,1
POS006772,BTC,short,14,isolated,2160.0,154.29,0.0714,0.0357,3.571,normal,0.008,0.00012,1,0,19,,22.6,0,1
POS006773,BTC,long,35,isolated,7935.0,226.71,0.0286,0.0143,1.429,normal,0.008,0.00055,0,0,3,,-18.4,0,1
POS006774,ETH,short,78,cross,5377.0,68.94,0.0128,0.0064,0.641,calm,0.006,-0.00048,0,1,11,8.0,-100.0,1,0
POS006775,BTC,long,26,isolated,9903.0,380.88,0.0385,0.0192,1.923,normal,0.008,-5e-05,0,0,19,,184.9,0,1
POS006776,BTC,long,16,isolated,5156.0,322.25,0.0625,0.0312,3.125,calm,0.0048,-0.00026,0,0,24,,20.6,0,1
POS006777,ETH,long,98,cross,5773.0,58.91,0.0102,0.0051,0.51,calm,0.006,-0.00029,0,0,12,2.0,-100.0,1,0
POS006778,ETH,long,49,cross,3694.0,75.39,0.0204,0.0102,1.02,volatile,0.018,0.00027,1,1,16,1.0,-100.0,1,0
POS006779,BTC,long,117,isolated,12370.0,105.73,0.0085,0.0043,0.427,volatile,0.0144,0.00082,0,1,9,3.0,-100.0,1,0
POS006780,HYPE,long,36,cross,3730.0,103.61,0.0278,0.0139,1.389,crash,0.064,0.00054,1,1,6,,-100.0,0,1
POS006781,DOGE,long,45,isolated,11062.0,245.82,0.0222,0.0111,1.111,volatile,0.0396,-0.00017,0,0,7,1.0,-100.0,1,0
POS006782,ETH,long,35,isolated,605.0,17.29,0.0286,0.0143,1.429,calm,0.006,-0.0007,1,0,12,,53.9,0,1
POS006783,SOL,long,50,cross,7836.0,156.72,0.02,0.01,1.0,normal,0.015,-0.00028,0,0,63,1.0,-100.0,1,0
POS006784,SOL,short,45,isolated,6744.0,149.87,0.0222,0.0111,1.111,normal,0.015,-0.00037,0,1,8,,-68.8,0,1
POS006785,BTC,long,11,cross,6076.0,552.36,0.0909,0.0455,4.545,calm,0.0048,-8e-05,0,1,33,,-18.2,0,1
POS006786,SOL,short,59,cross,7535.0,127.71,0.0169,0.0085,0.847,calm,0.009,0.00034,0,1,20,2.0,-100.0,1,0
POS006787,altcoin_smallcap,long,16,isolated,4346.0,271.62,0.0625,0.0312,3.125,volatile,0.054,0.00059,0,0,39,1.0,-100.0,1,0
POS006788,DOGE,short,75,isolated,4891.0,65.21,0.0133,0.0067,0.667,normal,0.022,0.00046,1,1,14,,-66.6,0,1
POS006789,ARB,long,23,isolated,3831.0,166.57,0.0435,0.0217,2.174,normal,0.018,0.00021,0,0,6,,29.1,0,1
POS006790,DOGE,long,19,isolated,13114.0,690.21,0.0526,0.0263,2.632,volatile,0.0396,0.00102,0,0,28,,700.6,0,1
POS006791,ETH,long,114,isolated,5620.0,49.3,0.0088,0.0044,0.439,normal,0.01,0.00028,0,1,9,,-52.1,0,1
POS006792,ETH,short,11,cross,5742.0,522.0,0.0909,0.0455,4.545,normal,0.01,9e-05,1,0,2,,21.0,0,1
POS006793,AVAX,long,69,isolated,1135.0,16.45,0.0145,0.0072,0.725,calm,0.0096,0.00046,0,0,14,6.0,-100.0,1,0
POS006794,BTC,long,52,isolated,2481.0,47.71,0.0192,0.0096,0.962,crash,0.0256,0.00084,0,0,12,2.0,-100.0,1,0
POS006795,ETH,long,44,isolated,9406.0,213.77,0.0227,0.0114,1.136,normal,0.01,-0.00067,0,0,28,2.0,-100.0,1,0
POS006796,ETH,short,61,isolated,2508.0,41.11,0.0164,0.0082,0.82,normal,0.01,0.00061,0,0,20,,107.4,0,1
POS006797,AVAX,short,16,isolated,11890.0,743.12,0.0625,0.0312,3.125,calm,0.0096,-0.00026,0,1,18,,-53.4,0,1
POS006798,AVAX,long,91,cross,2166.0,23.8,0.011,0.0055,0.549,calm,0.0096,0.00018,1,0,30,2.0,-100.0,1,0
POS006799,BTC,long,54,cross,22942.0,424.85,0.0185,0.0093,0.926,normal,0.008,0.00035,0,0,14,1.0,-100.0,1,0
POS006800,SOL,long,22,cross,2547.0,115.77,0.0455,0.0227,2.273,calm,0.009,0.00012,0,0,7,,32.3,0,1
POS006801,SOL,short,58,isolated,3092.0,53.31,0.0172,0.0086,0.862,volatile,0.027,0.0003,0,1,11,9.0,-100.0,1,0
POS006802,BTC,long,56,cross,6821.0,121.8,0.0179,0.0089,0.893,volatile,0.0144,0.00039,0,0,7,4.0,-100.0,1,0
POS006803,ETH,long,53,isolated,5509.0,103.94,0.0189,0.0094,0.943,crash,0.032,0.00072,0,0,47,38.0,-100.0,1,0
POS006804,ETH,long,11,cross,5953.0,541.18,0.0909,0.0455,4.545,crash,0.032,0.00081,1,1,77,13.0,-100.0,1,0
POS006805,ARB,long,18,cross,4081.0,226.72,0.0556,0.0278,2.778,volatile,0.0324,0.0001,0,0,16,3.0,-100.0,1,0
POS006806,DOGE,long,42,isolated,5841.0,139.07,0.0238,0.0119,1.19,calm,0.0132,-7e-05,0,1,1,1.0,-100.0,1,0
POS006807,AVAX,short,37,cross,2389.0,64.57,0.027,0.0135,1.351,normal,0.016,0.00048,0,1,6,,193.0,0,1
POS006808,SOL,short,32,cross,6497.0,203.03,0.0312,0.0156,1.562,calm,0.009,-0.0003,0,0,26,12.0,-100.0,1,0
POS006809,BTC,long,67,isolated,3896.0,58.15,0.0149,0.0075,0.746,volatile,0.0144,0.00018,0,0,4,2.0,-100.0,1,0
POS006810,altcoin_smallcap,long,25,isolated,10669.0,426.76,0.04,0.02,2.0,volatile,0.054,0.00078,0,0,9,1.0,-100.0,1,0
