Pokedex_Number,Pokemon_Name,Generation,Type_1,Type_2,Ability_1,Ability_2,Hidden_Ability,HP,Attack,Defense,Special_Attack,Special_Defense,Speed,BST,Sub_Class,Stage
245,Dragonite,1,Dragon,Flying,Inner_Focus,,Multiscale,91,134,95,100,100,80,600,Pseudo_Legendary,3
246,Mega_Dragonite,9,Dragon,Flying,Multiscale,,,91,124,115,145,125,100,700,Pseudo_Legendary_Mega_Evolution,3
247,Mewtwo,1,Psychic,,Pressure,,Unnerve,106,110,90,154,90,130,680,Legendary,1
248,Mega_Mewtwo_X,6,Psychic,Fighting,Steadfast,,,106,190,100,154,100,130,780,Legendary_Mega_Evolution,1
249,Mega_Mewtwo_Y,6,Psychic,,Insomnia,,,106,150,70,194,120,140,780,Legendary_Mega_Evolution,1
250,Mew,1,Psychic,,Synchronize,,,100,100,100,100,100,100,600,Mythical,1
251,Chickorita,2,Grass,,Overgrow,,Leaf_Guard,45,49,65,49,65,45,318,Starter,1
252,Bayleef,2,Grass,,Overgrow,,Leaf_Guard,60,62,80,63,80,60,405,Starter,2
253,Meganium,2,Grass,,Overgrow,,Leaf_Guard,80,82,100,83,100,80,525,Starter,3
254,Mega_Meganium,9,Grass,Fairy,Mega_Sol,,,80,92,115,143,115,80,625,Starter_Mega_Evolution,3
255,Cyndaquil,2,Fire,,Blaze,,Flash_Fire,39,52,43,60,50,65,309,Starter,1
256,Quilava,2,Fire,,Blaze,,Flash_Fire,58,64,58,80,65,80,405,Starter,2
257,Typhlosion,2,Fire,,Blaze,,Flash_Fire,78,84,78,109,85,100,534,Starter,3
258,Hisuian_Typhlosion,8,Fire,Ghost,Blaze,,Frisk,73,84,78,119,85,95,534,Starter_Regional_Variant,3
259,Totodile,2,Water,,Torrent,,Sheer_Force,50,65,64,44,48,43,314,Starter,1
260,Croconaw,2,Water,,Torrent,,Sheer_Force,65,80,80,59,63,58,405,Starter,2
261,Feraligatr,2,Water,,Torrent,,Sheer_Force,85,105,100,79,83,78,530,Starter,3
262,Mega_Feraligatr,9,Water,Dragon,Dragonize,,,85,160,125,89,93,78,630,Starter_Mega_Evolution,3
263,Sentret,2,Normal,,Run_Away,Keen_Eye,Frisk,35,46,34,35,45,20,215,Basic,1
264,Furret,2,Normal,,Run_Away,Keen_Eye,Frisk,85,76,64,45,55,90,415,Basic,2
265,Hoothoot,2,Normal,Flying,Insomnia,Keen_Eye,Tinted_Lens,60,30,30,36,56,50,262,Basic,1
266,Noctowl,2,Normal,Flying,Insomnia,Keen_Eye,Tinted_Lens,100,50,50,86,96,70,452,Basic,2
267,Ledyba,2,Bug,Flying,Swarm,Early_Bird,Rattled,40,20,30,40,80,55,265,Basic,1
268,Ledian,2,Bug,Flying,Swarm,Early_Bird,Iron_Fist,55,35,50,55,110,85,390,Basic,2
269,Spinarak,2,Bug,Poison,Swarm,Insomnia,Sniper,40,60,40,40,40,30,250,Basic,1
270,Ariados,2,Bug,Poison,Swarm,Insomnia,Sniper,70,90,70,60,70,40,400,Basic,2
271,Chinchou,2,Water,Electric,Volt_Absorb,Illuminate,Water_Absorb,75,38,38,56,56,67,330,Basic,1
272,Lanturn,2,Water,Electric,Volt_Absorb,Illuminate,Water_Absorb,125,58,58,76,76,67,460,Basic,2
273,Togepi,2,Fairy,,Hustle,Serene_Grace,Super_Luck,35,20,65,40,65,20,245,Baby,1
274,Togetic,2,Fairy,Flying,Hustle,Serene_Grace,Super_Luck,55,40,85,80,105,40,405,Basic,2
275,Togekiss,4,Fairy,Flying,Hustle,Serene_Grace,Super_Luck,85,50,95,120,115,80,545,Basic,3
276,Natu,2,Psychic,Flying,Synchronize,Early_Bird,Magic_Bounce,40,50,45,70,45,70,320,Basic,1
277,Xatu,2,Psychic,Flying,Synchronize,Early_Bird,Magic_Bounce,65,75,70,95,70,95,470,Basic,2
278,Mareep,2,Electric,,Static,,Plus,55,40,40,65,45,35,280,Basic,1
279,Flaaffy,2,Electric,,Static,,Plus,70,55,55,80,60,45,365,Basic,2
280,Ampharos,2,Electric,,Static,,Plus,90,75,85,115,90,55,510,Basic,3
281,Mega_Ampharos,6,Electric,Dragon,Mold_Breaker,,,90,95,105,165,110,45,610,Mega_Evolution,3
282,Azurill,3,Normal,Fairy,Thick_Fat,Huge_Power,Sap_Sipper,50,20,40,20,40,20,190,Baby,1
283,Marill,2,Water,Fairy,Thick_Fat,Huge_Power,Sap_Sipper,70,20,50,20,50,40,250,Basic,2
284,Azumarill,2,Water,Fairy,Thick_Fat,Huge_Power,Sap_Sipper,100,50,80,60,80,50,420,Basic,3
285,Bonsly,4,Rock,,Sturdy,Rock_Head,Rattled,50,80,95,10,45,10,290,Baby,1
286,Sudowoodo,2,Rock,,Sturdy,Rock_Head,Rattled,70,100,115,30,65,30,410,Basic,2
287,Hoppip,2,Grass,Flying,Chlorophyll,Leaf_Guard,Infiltrator,35,35,40,35,55,50,250,Basic,1
288,Skiploom,2,Grass,Flying,Chlorophyll,Leaf_Guard,Infiltrator,55,45,50,45,65,80,340,Basic,2
289,Jumpluff,2,Grass,Flying,Chlorophyll,Leaf_Guard,Infiltrator,75,55,70,55,95,110,460,Basic,3
290,Aipom,2,Normal,,Run_Away,Pickup,Skill_Link,55,70,55,40,55,85,360,Basic,1
291,Ambipom,4,Normal,,Technician,Pickup,Skill_Link,75,100,66,60,66,115,482,Basic,2
292,Sunkern,2,Grass,,Chlorophyll,Solar_Power,Early_Bird,30,30,30,30,30,30,180,Basic,1
293,Sunflora,2,Grass,,Chlorophyll,Solar_Power,Early_Bird,75,75,55,105,85,30,425,Basic,2
294,Yanma,2,Bug,Flying,Speed_Boost,Compound_Eyes,Frisk,65,65,45,75,45,95,390,Basic,1
295,Yanmega,4,Bug,Flying,Speed_Boost,Tinted_Lens,Frisk,86,76,86,116,56,95,515,Basic,2
296,Wooper,2,Water,Ground,Damp,Water_Absorb,Unaware,55,45,45,25,25,15,210,Basic,1
297,Quagsire,2,Water,Ground,Damp,Water_Absorb,Unaware,95,85,85,65,65,35,430,Basic,2
298,Paldean_Wooper,9,Poison,Ground,Poison_Point,Water_Absorb,Unaware,55,45,45,25,25,15,210,Regional_Variant,1
299,Clodsire,9,Poison,Ground,Poison_Point,Water_Absorb,Unaware,130,75,60,45,100,20,430,Regional_Variant_Evolution,2
300,Murkrow,2,Dark,Flying,Insomnia,Super_Luck,Prankster,60,85,42,85,42,91,405,Basic,1
301,Honchkrow,4,Dark,Flying,Insomnia,Super_Luck,Moxie,100,125,52,105,52,71,505,Basic,2
302,Misdreavus,2,Ghost,,Levitate,,,60,60,60,85,85,85,435,Basic,1
303,Mismagius,4,Ghost,,Levitate,,,60,60,60,105,105,105,495,Basic,2
304,Unown,2,Psychic,,Levitate,,,48,72,48,72,48,48,336,Basic,1
305,Wynaut,3,Psychic,,Shadow_Tag,,Telepathy,95,23,48,23,48,23,260,Baby,1
306,Wobbuffet,2,Psychic,,Shadow_Tag,,Telepathy,190,33,58,33,58,33,405,Basic,2
307,Girafarig,2,Normal,Psychic,Inner_Focus,Early_Bird,Sap_Sipper,70,80,65,90,65,85,455,Basic,1
308,Farigiraf,9,Normal,Psychic,Cud_Chew,Armor_Tail,Sap_Sipper,120,90,70,110,70,60,520,Basic,2
309,Pineco,2,Bug,,Sturdy,,Overcoat,50,65,90,35,35,15,290,Basic,1
310,Forretress,2,Bug,Steel,Sturdy,,Overcoat,75,90,140,60,60,40,465,Basic,2
311,Dunsparce,2,Normal,,Serene_Grace,Run_Away,Rattled,100,70,70,65,65,45,415,Basic,1
312,Dudunsparce_Two_Segement_Forme,9,Normal,,Serene_Grace,Run_Away,Rattled,125,100,80,85,75,55,520,Basic,2
313,Dudunsparce_Three_Segment_Forme,9,Normal,,Serene_Grace,Run_Away,Rattled,125,100,80,85,75,55,520,Alternate_Form,2
314,Gligar,2,Ground,Flying,Hyper_Cutter,Sand_Veil,Immunity,65,75,105,35,65,85,430,Basic,1
315,Gliscor,4,Ground,Flying,Hyper_Cutter,Sand_Veil,Poison_Heal,75,95,125,45,75,95,510,Basic,2
316,Snubbull,2,Fairy,,Intimidate,Run_Away,Rattled,60,80,50,40,40,30,300,Basic,1
317,Granbull,2,Fairy,,Intimidate,Quick_Feet,Rattled,90,120,75,60,60,45,450,Basic,2
318,Qwilfish,2,Water,Poison,Poison_Point,Swift_Swim,Intimidate,65,95,85,55,55,85,440,Basic,1
319,Hisuian_Qwilfish,8,Dark,Poison,Poison_Point,Swift_Swim,Intimidate,65,95,85,55,55,85,440,Regional_Variant,1
320,Overqwil,8,Dark,Poison,Poison_Point,Swift_Swim,Intimidate,85,115,95,65,65,85,510,Regional_Variant_Evolution,2
321,Shuckle,2,Bug,Rock,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,505,Basic,2
322,Heracross,2,Bug,Fighting,Swarm,Guts,Moxie,80,125,75,40,95,85,500,Basic,1
323,Mega_Heracross,6,Bug,Fighting,Skill_Link,,,80,185,115,40,105,75,600,Mega_Evolution,1
324,Sneasel,2,Dark,Ice,Inner_Focus,Keen_Eye,Pickpocket,55,95,55,35,75,115,430,Basic,1
325,Weavile,4,Dark,Ice,Pressure,,Pickpocket,70,120,65,45,85,125,510,Basic,2
326,Hisuian_Sneasel,8,Fighting,Poison,Inner_Focus,Keen_Eye,Pickpocket,55,95,55,35,75,115,430,Regional_Variant,1
327,Sneasler,8,Fighting,Poison,Pressure,Unburden,Poison_Touch,80,130,60,40,80,120,510,Regional_Variant_Evolution,2
328,Teddiursa,2,Normal,,Pickup,Quick_Feet,Honey_Gather,60,80,50,50,50,40,330,Basic,1
329,Ursaring,2,Normal,,Guts,Quick_Feet,Unnerve,90,130,75,75,75,55,500,Basic,2
330,Ursaluna,8,Ground,Normal,Guts,Bulletproof,Unnerve,130,140,105,45,80,50,550,Basic,3
331,Ursaluna_Bloodmoon,9,Ground,Normal,Mind's_Eye,,,113,70,120,135,65,52,555,Basic,1
332,Slugma,2,Fire,,Magma_Armor,Flame_Body,Weak_Armor,40,40,40,70,40,20,250,Basic,1
333,Magcargo,2,Fire,Rock,Magma_Armor,Flame_Body,Weak_Armor,60,50,120,90,80,30,430,Basic,2
334,Swinub,2,Ice,Ground,Oblivious,Snow_Cloak,Thick_Fat,50,50,40,30,30,50,250,Basic,1
335,Piloswine,2,Ice,Ground,Oblivious,Snow_Cloak,Thick_Fat,100,100,80,60,60,50,450,Basic,2
336,Mamoswine,4,Ice,Ground,Oblivious,Snow_Cloak,Thick_Fat,110,130,80,70,60,80,530,Basic,3
337,Corsola,2,Water,Rock,Hustle,Natural_Cure,Regenerator,65,55,95,65,95,35,410,Basic,1
338,Galarian_Corsola,8,Ghost,,Weak_Armor,,Cursed_Body,60,55,100,65,100,30,410,Regional_Variant,1
339,Cursola,8,Ghost,,Weak_Armor,,Perish_Body,60,95,50,145,130,30,510,Regional_Variant_Evolution,2
340,Remoraid,2,Water,,Hustle,Sniper,Moody,35,65,35,65,35,65,300,Basic,1
341,Octillery,2,Water,,Suction_Cups,Sniper,Moody,75,105,75,105,75,45,480,Basic,2
342,Delibird,2,Ice,Flying,Vital_Spirit,Hustle,Insomnia,45,55,45,65,45,75,330,Basic,1
343,Mantyke,4,Water,Flying,Swift_Swim,Water_Absorb,Water_Veil,45,20,50,60,120,50,345,Baby,1
344,Mantine,2,Water,Flying,Swift_Swim,Water_Absorb,Water_Veil,85,40,70,80,140,70,485,Basic,2
345,Skarmory,2,Steel,Flying,Keen_Eye,Sturdy,Weak_Armor,65,80,140,40,70,70,465,Basic,1
346,Mega_Skarmory,9,Steel,Flying,Stalwart,,,65,140,110,40,100,110,565,Mega_Evolution,1
347,Houndour,2,Dark,Fire,Early_Bird,Flash_Fire,Unnerve,45,60,30,80,50,65,330,Basic,1
348,Houndoom,2,Dark,Fire,Early_Bird,Flash_Fire,Unnerve,75,90,50,110,80,95,500,Basic,2
349,Mega_Houndoom,6,Dark,Fire,Solar_Power,,,75,90,90,140,90,115,600,Mega_Evolution,2
350,Phanpy,2,Ground,,Pickup,,Sand_Veil,90,60,60,40,40,40,330,Basic,1
351,Donphan,2,Ground,,Sturdy,,Sand_Veil,90,120,120,60,60,50,500,Basic,2
352,Stantler,2,Normal,,Intimidate,Frisk,Sap_Sipper,73,95,62,85,65,85,465,Basic,1
353,Wyrdeer,8,Normal,Psychic,Intimidate,Frisk,Sap_Sipper,103,105,72,105,75,65,525,Basic,2
354,Smeargle,2,Normal,,Own_Tempo,Technician,Moody,55,20,35,20,45,75,250,Basic,1
355,Miltank,2,Normal,,Thick_Fat,Scrappy,Sap_Sipper,95,80,105,40,70,100,490,Basic,1
356,Raikou,2,Electric,,Pressure,,Inner_Focus,90,85,75,115,100,115,580,Sub_Legendary,1
357,Entei,2,Fire,,Pressure,,Inner_Focus,115,115,85,90,75,100,580,Sub_Legendary,1
358,Suicune,2,Water,,Pressure,,Inner_Focus,100,75,115,90,115,85,580,Sub_Legendary,1
359,Larvitar,2,Rock,Ground,Guts,,Sand_Veil,50,64,50,45,50,41,300,Basic,1
360,Pupitar,2,Rock,Ground,Shed_Skin,,,70,84,70,65,70,51,410,Basic,2
361,Tyranitar,2,Rock,Dark,Sand_Stream,,Unnerve,100,134,110,95,100,61,600,Pseudo_Legendary,3
362,Mega_Tyranitar,6,Rock,Dark,Sand_Stream,,,100,164,150,95,120,71,700,Pseudo_Legendary_Mega_Evolution,3
363,Lugia,2,Psychic,Flying,Pressure,,Multiscale,106,90,130,90,154,110,680,Legendary,1
364,Ho-oh,2,Fire,Flying,Pressure,,Regenerator,106,130,90,110,154,90,680,Legendary,1
365,Celebi,2,Psychic,Grass,Natural_Cure,,,100,100,100,100,100,100,600,Mythical,1
366,Treecko,3,Grass,,Overgrow,,Unburden,40,45,35,65,55,70,310,Starter,1
367,Grovyle,3,Grass,,Overgrow,,Unburden,50,65,45,85,65,95,405,Starter,2
368,Sceptile,3,Grass,,Overgrow,,Unburden,70,85,65,105,85,120,530,Starter,3
369,Mega_Sceptile,6,Grass,Dragon,Lightning_Rod,,,70,110,75,145,85,145,630,Starter_Mega_Evolution,3
370,Torchic,3,Fire,,Blaze,,Speed_Boost,45,60,40,70,50,45,310,Starter,1
371,Combusken,3,Fire,Fighting,Blaze,,Speed_Boost,60,85,60,85,60,55,405,Starter,2
372,Blaziken,3,Fire,Fighting,Blaze,,Speed_Boost,80,120,70,110,70,80,530,Starter,3
373,Mega_Blaziken,6,Fire,Fighting,Speed_Boost,,,80,160,80,130,80,100,630,Starter_Mega_Evolution,3
374,Mudkip,3,Water,Ground,Torrent,,Damp,50,70,50,50,50,40,310,Starter,1
375,Marshtomp,3,Water,Ground,Torrent,,Damp,70,85,70,60,70,50,405,Starter,2
376,Swampert,3,Water,Ground,Torrent,,Damp,100,110,90,85,90,60,535,Starter,3
377,Mega_Swampert,6,Water,Ground,Swift_Swim,,,100,150,110,95,110,70,635,Starter_Mega_Evolution,3
378,Poochyena,3,Dark,,Run_Away,Quick_Feet,Rattled,35,55,35,30,30,35,220,Basic,1
379,Mightyena,3,Dark,,Intimidate,Quick_Feet,Moxie,70,90,70,60,60,70,420,Basic,2
380,Zigzagoon,2,Normal,,Pickup,Gluttony,Quick_Feet,38,30,41,30,41,60,240,Basic,1
381,Linoone,2,Normal,,Pickup,Gluttony,Quick_Feet,78,70,61,50,61,100,420,Basic,2
382,Galarian_Zigzagoon,8,Dark,Normal,Pickup,Gluttony,Quick_Feet,38,30,41,30,41,60,240,Regional_Variant,1
383,Galarian_Linoone,8,Dark,Normal,Pickup,Gluttony,Quick_Feet,78,70,61,50,61,100,420,Regional_Variant,2
384,Obstagoon,8,Dark,Normal,Reckless,Guts,Defiant,93,90,101,60,81,95,520,Regional_Variant_Evolution,3
385,Wurmple,3,Bug,,Shield_Dust,,Run_Away,45,45,35,20,30,20,195,Basic,1
386,Silcoon,3,Bug,,Shed_Skin,,,50,35,55,25,25,15,205,Basic,2
387,Beautifly,3,Bug,Flying,Swarm,,Rivalry,60,70,50,100,50,65,395,Basic,3
388,Cascoon,3,Bug,,Shed_Skin,,,50,35,55,25,25,15,205,Basic,2
389,Dustox,3,Bug,Poison,Shield_Dust,,Compound_Eyes,60,50,70,50,90,65,385,Basic,3
390,Lotad,3,Water,Grass,Swift_Swim,Rain_Dish,Own_Tempo,40,30,30,40,50,30,220,Basic,1
391,Lombre,3,Water,Grass,Swift_Swim,Rain_Dish,Own_Tempo,60,50,50,60,70,50,340,Basic,2
392,Ludicolo,3,Water,Grass,Swift_Swim,Rain_Dish,Own_Tempo,80,70,70,90,100,70,480,Basic,3
393,Seedot,3,Grass,,Chlorophyll,Early_Bird,Pickpocket,40,40,50,30,30,30,220,Basic,1
394,Nuzleaf,3,Grass,Dark,Chlorophyll,Early_Bird,Pickpocket,70,70,40,60,40,60,340,Basic,2
395,Shiftry,3,Grass,Dark,Chlorophyll,Wind_Rider,Pickpocket,90,100,60,90,60,80,480,Basic,3
396,Taillow,3,Normal,Flying,Guts,,Scrappy,40,55,30,30,30,85,270,Basic,1
397,Swellow,3,Normal,Flying,Guts,,Scrappy,60,85,60,75,50,125,455,Basic,2
398,Wingull,3,Water,Flying,Keen_Eye,Hydration,Rain_Dish,40,30,30,55,30,85,270,Basic,1
399,Pelipper,3,Water,Flying,Keen_Eye,Drizzle,Rain_Dish,60,50,100,95,70,65,440,Basic,2
400,Ralts,3,Psychic,Fairy,Synchronize,Trace,Telepathy,28,25,25,45,35,40,198,Basic,1
401,Kirlia,3,Psychic,Fairy,Synchronize,Trace,Telepathy,38,35,35,65,55,50,278,Basic,2
402,Gardevoir,3,Psychic,Fairy,Synchronize,Trace,Telepathy,68,65,65,125,115,80,518,Basic,3
403,Mega_Gardevoir,6,Psychic,Fairy,Pixilate,,,68,85,65,165,135,100,618,Mega_Evolution,3
404,Gallade,4,Psychic,Fighting,Steadfast,Sharpness,Justified,68,125,65,65,115,80,518,Basic,3
405,Mega_Gallade,6,Psychic,Fighting,Inner_Focus,,,68,165,95,65,115,110,618,Mega_Evolution,3
406,Surskit,3,Bug,Water,Swift_Swim,,Rain_Dish,40,30,32,50,52,65,269,Basic,1
407,Masquerain,3,Bug,Flying,Intimidate,,Unnerve,70,60,62,100,82,80,454,Basic,2
408,Shroomish,3,Grass,,Effect_Spore,Poison_Heal,Quick_Feet,60,40,60,40,60,35,295,Basic,1
409,Breloom,3,Grass,Fighting,Effect_Spore,Poison_Heal,Technician,60,130,80,60,60,70,460,Basic,2
410,Slakoth,3,Normal,,Truant,,,60,60,60,35,35,30,280,Basic,1
411,Vigoroth,3,Normal,,Vital_Spirit,,,80,80,80,55,55,90,440,Basic,2
412,Slaking,3,Normal,,Truant,,,150,160,100,95,65,100,670,Basic,3
413,Nincada,3,Bug,Ground,Compound_Eyes,,Run_Away,31,45,90,30,30,40,266,Basic,1
414,Ninjask,3,Bug,Flying,Speed_Boost,,Infiltrator,61,90,45,50,50,160,456,Basic,2
415,Shedinja,3,Bug,Ghost,Wonder_Guard,,,1,90,45,30,30,40,236,Basic,2
416,Whismur,3,Normal,,Soundproof,,Rattled,64,51,23,51,23,28,240,Basic,1
417,Loudred,3,Normal,,Soundproof,,Scrappy,84,71,43,71,43,48,360,Basic,2
418,Exploud,3,Normal,,Soundproof,,Scrappy,104,91,63,91,73,68,490,Basic,3
419,Makuhita,3,Fighting,,Thick_Fat,Guts,Sheer_Force,72,60,30,20,30,25,237,Basic,1
420,Hariyama,3,Fighting,,Thick_Fat,Guts,Sheer_Force,144,120,60,40,60,50,474,Basic,2
421,Nosepass,3,Rock,,Sturdy,Magnet_Pull,Sand_Force,30,45,135,45,90,30,375,Basic,1
422,Probopass,4,Rock,Steel,Sturdy,Magnet_Pull,Sand_Force,60,55,145,75,150,40,525,Basic,2
423,Skitty,3,Normal,,Cute_Charm,Normalize,Wonder_Skin,50,45,45,35,35,50,260,Basic,1
424,Delcatty,3,Normal,,Cute_Charm,Normalize,Wonder_Skin,70,65,65,55,55,90,400,Basic,2
425,Sableye,3,Dark,Ghost,Keen_Eye,Stall,Prankster,50,75,75,65,65,50,380,Basic,1
426,Mega_Sableye,6,Dark,Ghost,Magic_Bounce,,,50,85,125,85,115,20,480,Mega_Evolution,1
427,Mawile,3,Steel,Fairy,Hyper_Cutter,Intimidate,Sheer_Force,50,85,85,55,55,50,380,Basic,1
428,Mega_Mawile,6,Steel,Fairy,Huge_Power,,,50,105,125,55,95,50,480,Mega_Evolution,1
429,Aron,3,Steel,Rock,Sturdy,Rock_Head,Heavy_Metal,50,70,100,40,40,30,330,Basic,1
430,Lairon,3,Steel,Rock,Sturdy,Rock_Head,Heavy_Metal,60,90,140,50,50,40,430,Basic,2
431,Aggron,3,Steel,Rock,Sturdy,Rock_Head,Heavy_Metal,70,110,180,60,60,50,530,Basic,3
432,Mega_Aggron,6,Steel,,Filter,,,70,140,230,60,80,50,630,Mega_Evolution,3
433,Meditite,3,Fighting,Psychic,Pure_Power,Telepathy,,30,40,55,40,55,60,280,Basic,1
434,Medicham,3,Fighting,Psychic,Pure_Power,Telepathy,,60,60,75,60,75,80,410,Basic,2
435,Mega_Medicham,6,Fighting,Psychic,Pure_Power,,,60,100,85,80,85,100,510,Mega_Evolution,2
436,Electrike,3,Electric,,Static,Lightning_Rod,Minus,40,45,40,65,40,65,295,Basic,1
437,Manetric,3,Electric,,Static,Lightning_Rod,Minus,70,75,60,105,60,105,475,Basic,2
438,Mega_Manetric,6,Electric,,Intimidate,,,70,75,80,135,80,135,575,Mega_Evolution,2
439,Plusle,3,Electric,,Plus,,Lightning_Rod,60,50,40,85,75,95,405,Basic,1
440,Minun,3,Electric,,Minus,,Volt_Absorb,60,40,50,75,85,95,405,Basic,1
441,Volbeat,3,Bug,,Illuminate,Swarm,Prankster,65,73,75,47,85,85,430,Basic,1
442,Illumise,3,Bug,,Oblivious,Tinted_Lens,Prankster,65,47,75,73,85,85,430,Basic,1
443,Budew,4,Grass,Poison,Natural_Cure,Poison_Point,Leaf_Guard,40,30,35,50,70,55,280,Baby,1
444,Roselia,3,Grass,Poison,Natural_Cure,Poison_Point,Leaf_Guard,50,60,45,100,80,65,400,Basic,2
445,Roserade,4,Grass,Poison,Natural_Cure,Poison_Point,Technician,60,70,65,125,105,90,515,Basic,3
446,Gulpin,3,Poison,,Liquid_Ooze,Sticky_Hold,Gluttony,70,43,53,43,53,40,302,Basic,1
447,Swalot,3,Poison,,Liquid_Ooze,Sticky_Hold,Gluttony,100,73,83,73,83,55,467,Basic,2
448,Carvanha,3,Water,Dark,Rough_Skin,,Speed_Boost,45,90,20,65,20,65,305,Basic,1
449,Sharpedo,3,Water,Dark,Rough_Skin,,Speed_Boost,70,120,40,95,40,95,460,Basic,2
450,Mega_Sharpedo,6,Water,Dark,Strong_Jaw,,,70,140,70,110,65,105,560,Mega_Evolution,2
451,Wailmer,3,Water,,Water_Veil,Oblivious,Pressure,130,70,35,70,35,60,400,Basic,1
452,Wailord,3,Water,,Water_Veil,Oblivious,Pressure,170,90,45,90,45,60,500,Basic,2
453,Numel,3,Fire,Ground,Oblivious,Simple,Own_Tempo,60,60,40,65,45,35,305,Basic,1
454,Camerupt,3,Fire,Ground,Magma_Armor,Solid_Rock,Anger_Point,70,100,70,105,75,40,460,Basic,2
455,Mega_Camerupt,6,Fire,Ground,Sheer_Force,,,70,120,100,145,105,20,560,Mega_Evolution,2
456,Torkoal,3,Fire,,White_Smoke,Drought,Shell_Armor,70,85,140,85,70,20,470,Basic,1
457,Spoink,3,Psychic,,Thick_Fat,Own_Tempo,Gluttony,60,25,35,70,80,60,330,Basic,1
458,Grumpig,3,Psychic,,Thick_Fat,Own_Tempo,Gluttony,80,45,65,90,110,80,470,Basic,2
459,Spinda,3,Normal,,Own_Tempo,Tangled_Feet,Contrary,60,60,60,60,60,60,360,Basic,1
460,Trapinch,3,Ground,,Hyper_Cutter,Arena_Trap,Sheer_Force,45,100,45,45,45,10,290,Basic,1
461,Vibrava,3,Ground,Dragon,Levitate,,,50,70,50,50,50,70,340,Basic,2
462,Flygon,3,Ground,Dragon,Levitate,,,80,100,80,80,80,100,520,Basic,3
463,Cacnea,3,Grass,,Sand_Veil,,Water_Absorb,50,85,40,85,40,35,335,Basic,1
464,Cacturne,3,Grass,Dark,Sand_Veil,,Water_Absorb,70,115,60,115,60,55,475,Basic,2
465,Swablu,3,Normal,Flying,Natural_Cure,,Cloud_Nine,45,40,60,40,75,50,310,Basic,1
466,Altaria,3,Dragon,Flying,Natural_Cure,,Cloud_Nine,75,70,90,70,105,80,490,Basic,2
467,Mega_Altaria,6,Dragon,Fairy,Pixilate,,,75,110,110,110,105,80,590,Mega_Evolution,2
468,Zangoose,3,Normal,,Immunity,,Toxic_Boost,73,115,60,60,60,90,458,Basic,1
469,Seviper,3,Poison,,Shed_Skin,,Infiltrator,73,100,60,100,60,65,458,Basic,1
470,Lunatone,3,Rock,Psychic,Levitate,,,90,55,65,95,85,70,460,Basic,1
471,Solrock,3,Rock,Psychic,Levitate,,,90,95,85,55,65,70,460,Basic,1
472,Barboach,3,Water,Ground,Oblivious,Anticipation,Hydration,50,48,43,46,41,60,288,Basic,1
473,Whiscash,3,Water,Ground,Oblivious,Anticipation,Hydration,110,78,73,76,71,60,468,Basic,2
474,Corphish,3,Water,,Hyper_Cutter,Shell_Armor,Adaptability,43,80,65,50,35,35,308,Basic,1
475,Crawdaunt,3,Water,Dark,Hyper_Cutter,Shell_Armor,Adaptability,63,120,85,90,55,55,468,Basic,2
476,Baltoy,3,Ground,Psychic,Levitate,,,40,40,55,40,70,55,300,Basic,1
477,Claydol,3,Ground,Psychic,Levitate,,,60,70,105,70,120,75,500,Basic,2
478,Lileep,3,Rock,Grass,Suction_Cups,,Storm_Drain,66,41,77,61,87,23,355,Fossil,1
479,Cradily,3,Rock,Grass,Suction_Cups,,Storm_Drain,86,81,97,81,107,43,495,Fossil,2
480,Anorith,3,Rock,Bug,Battle_Armor,,Swift_Swim,45,95,50,40,50,75,355,Fossil,1
481,Armaldo,3,Rock,Bug,Battle_Armor,,Swift_Swim,75,125,100,70,80,45,495,Fossil,2
482,Feebas,3,Water,,Swift_Swim,Oblivious,Adaptability,20,15,20,10,55,80,200,Basic,1
483,Milotic,3,Water,,Marvel_Scale,Competitive,Cute_Charm,95,60,79,100,125,81,540,Basic,2
484,Castform,3,Normal,,Forecast,,,70,70,70,70,70,70,420,Basic,1
485,Castform_Sunny_Forme,3,Fire,,Forecast,,,70,70,70,70,70,70,420,Basic,1
486,Castform_Rainy_Forme,3,Water,,Forecast,,,70,70,70,70,70,70,420,Basic,1
487,Castform_Snowy_Forme,3,Ice,,Forecast,,,70,70,70,70,70,70,420,Basic,1
488,Kecleon,3,Normal,,Color_Change,,Protean,60,90,70,60,120,40,440,Basic,1
489,Shuppet,3,Ghost,,Insomnia,Frisk,Cursed_Body,44,75,35,63,33,45,295,Basic,1
490,Banette,3,Ghost,,Insomnia,Frisk,Cursed_Body,64,115,65,83,63,65,455,Basic,2
491,Mega_Banette,6,Ghost,,Prankster,,,64,165,75,93,83,75,555,Mega_Evolution,2
492,Duskull,3,Ghost,,Levitate,,Frisk,20,40,90,30,90,25,295,Basic,1
493,Dusclops,3,Ghost,,Pressure,,Frisk,40,70,130,60,130,25,455,Basic,2
494,Dusknoir,4,Ghost,,Pressure,,Frisk,45,100,135,65,135,45,525,Basic,3
495,Tropius,3,Grass,Flying,Chlorophyll,Solar_Power,Harvest,99,68,83,72,87,51,460,Basic,1
496,Chingling,4,Psychic,,Levitate,,,45,30,50,65,50,45,285,Baby,1
497,Chimecho,3,Psychic,,Levitate,,,75,50,80,95,90,65,455,Basic,2
