item_name,item_category,item_subcategory,brand_name,brand_tier,country,city,city_tier,price_usd_normalized,serving_size_g,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,sugars_g,avg_rating,is_bestseller
Grilled Chicken Salad,Salad,Non-Veg,Burger King,budget,Canada,Toronto,metro,2.73,244.1,100.0,10.5,19.0,22.6,611.7,0.0,4.0,0
Vegan Smash Burger,Burger,Vegan,Subway,budget,USA,Portland,tier-2,7.17,302.9,523.6,22.4,14.0,47.2,635.5,6.7,4.5,1
Chicken BBQ Pizza,Pizza,Non-Veg,TGI Fridays,mid,Canada,Toronto,metro,13.55,174.9,196.3,8.6,13.9,33.4,609.9,5.8,4.8,1
Teriyaki Chicken Bowl,Rice/Bowl,Non-Veg,McDonald's,budget,USA,Boise,tier-3,6.3,279.1,671.7,13.6,21.8,81.5,1057.0,11.7,4.2,0
Veggie Sub,Sandwich,Veg,Wendy's,budget,UK,Glasgow,tier-2,5.97,176.6,330.0,28.7,13.6,67.4,665.6,6.0,3.8,0
Garden Salad,Salad,Veg,Subway,budget,Canada,Vancouver,metro,7.26,237.1,445.9,16.5,15.0,32.1,518.1,13.5,3.1,0
Sweet Potato Fries,Sides,Vegan,Domino's,budget,Canada,Edmonton,tier-2,5.07,185.5,349.3,6.4,18.1,54.1,338.0,2.2,4.1,1
Beyond Meat Burger,Burger,Vegan,Nobu,premium,USA,Austin,tier-2,29.13,259.9,648.2,16.0,34.6,60.2,807.2,13.2,3.5,0
Veggie Sub,Sandwich,Veg,Chili's,mid,India,Delhi,metro,6.59,222.1,462.8,24.4,0.0,59.0,1006.6,3.2,2.9,0
BLT Sandwich,Sandwich,Non-Veg,Subway,budget,USA,New York,metro,6.86,263.8,467.3,13.4,16.8,48.6,730.8,4.0,3.8,1
Molten Lava Cake,Dessert,Veg,Subway,budget,USA,Austin,tier-2,4.53,150.8,386.5,7.4,6.6,52.5,212.8,49.875,4.6,0
Pepperoni Pizza,Pizza,Non-Veg,Subway,budget,India,Mumbai,metro,1.76,218.7,241.7,7.4,16.4,33.6,889.4,2.2,4.6,0
Black Bean Burger,Burger,Veg,Nando's,mid,UK,Birmingham,tier-2,13.44,256.0,527.7,24.2,20.6,63.8,1069.1,9.8,4.2,0
Lamb Biryani,Rice/Bowl,Non-Veg,Shake Shack,mid,Canada,Regina,tier-3,11.85,349.8,591.9,19.5,17.6,73.3,1151.6,7.2,2.9,1
Mango Smoothie,Drink,Veg,Gordon Ramsay Bar & Grill,premium,India,Indore,tier-3,9.62,418.7,5.0,3.1,4.2,34.1,34.9,32.395,3.6,0
Paneer Tikka Pizza,Pizza,Veg,Nando's,mid,USA,Austin,tier-2,10.94,220.7,348.3,5.1,4.8,42.9,377.0,2.9,3.1,0
Edamame,Sides,Vegan,Ruth's Chris Steakhouse,premium,USA,New York,metro,29.24,83.4,275.0,5.0,6.4,45.6,369.0,3.4,3.3,0
Corn on the Cob,Sides,Veg,McDonald's,budget,USA,Chicago,metro,3.32,165.2,261.0,5.8,2.1,47.5,283.6,2.2,4.0,0
Four Cheese Pizza,Pizza,Veg,Applebee's,mid,India,Delhi,metro,4.08,127.1,304.2,11.2,10.7,28.1,506.4,5.7,3.4,1
BLT Sandwich,Sandwich,Non-Veg,Domino's,budget,Canada,Calgary,tier-2,5.78,166.9,583.8,25.1,26.5,47.1,732.5,9.6,4.7,1
Greek Salad,Salad,Veg,KFC,budget,India,Ahmedabad,tier-2,1.44,235.9,340.5,14.1,23.0,24.0,447.5,6.3,2.9,0
Mushroom Swiss Beef Burger,Burger,Non-Veg,Applebee's,mid,Canada,Toronto,metro,13.08,173.1,473.4,17.8,13.3,58.6,875.1,11.3,4.2,1
Almond Milk Shake,Drink,Vegan,Chili's,mid,India,Chennai,tier-2,2.57,454.4,337.9,0.8,1.6,31.2,60.4,25.5,2.6,0
Margherita Pizza,Pizza,Veg,Five Guys,mid,USA,Chicago,metro,22.93,222.8,219.3,9.7,7.8,46.0,541.2,7.9,4.0,1
Mushroom Swiss Beef Burger,Burger,Non-Veg,Chili's,mid,Canada,Toronto,metro,11.51,265.1,614.4,26.7,22.0,61.7,1128.9,7.8,3.5,0
Egg Salad Sandwich,Sandwich,Veg,Pizza Hut,budget,India,Mumbai,metro,1.48,182.7,419.1,16.9,11.1,61.3,712.7,12.1,4.2,1
Caprese Sandwich,Sandwich,Veg,Five Guys,mid,USA,Portland,tier-2,11.47,121.7,507.4,12.7,14.6,63.8,1145.8,5.6,4.3,0
Fanta Orange,Drink,Veg,Wendy's,budget,India,Mumbai,metro,1.66,247.6,331.3,2.9,0.0,34.7,20.1,22.3,4.3,1
Ice Cream Sundae,Dessert,Veg,KFC,budget,India,Coimbatore,tier-3,1.17,169.6,524.4,6.0,10.5,44.2,124.5,41.99,4.2,0
Cinnamon Roll,Dessert,Veg,Shake Shack,mid,USA,Los Angeles,metro,17.53,124.7,484.9,5.4,18.5,65.9,239.2,27.3,3.9,0
Greek Salad,Salad,Veg,Domino's,budget,India,Hyderabad,metro,1.49,237.2,290.1,12.4,15.4,21.0,631.5,8.2,3.8,0
Garlic Bread,Sides,Veg,Subway,budget,UK,London,metro,5.49,111.7,350.5,4.9,21.0,41.5,407.6,2.4,4.4,0
Caesar Salad with Chicken,Salad,Non-Veg,Subway,budget,USA,Houston,metro,6.57,390.0,485.5,15.4,13.1,17.5,674.9,16.625,4.0,0
Iced Tea,Drink,Veg,Nando's,mid,USA,Portland,tier-2,9.74,415.3,86.8,2.0,0.0,26.3,20.2,24.985,4.6,0
Coca Cola,Drink,Veg,Subway,budget,UK,Exeter,tier-3,4.22,445.5,209.2,1.9,0.0,40.5,46.9,38.475,3.8,0
Greek Salad,Salad,Veg,Subway,budget,India,Mumbai,metro,3.51,267.0,265.2,4.0,15.3,29.4,304.8,4.9,3.4,0
Cold Coffee,Drink,Veg,McDonald's,budget,UK,York,tier-3,4.98,368.2,115.3,0.0,3.3,52.2,58.8,42.8,4.1,1
Paneer Tikka Pizza,Pizza,Veg,Gordon Ramsay Bar & Grill,premium,India,Mumbai,metro,17.36,181.0,286.7,14.6,6.1,26.2,371.9,2.7,3.6,0
Grilled Chicken Salad,Salad,Non-Veg,Wendy's,budget,India,Coimbatore,tier-3,3.41,272.4,184.8,14.6,13.0,31.0,0.0,4.3,3.9,0
Double Smash Burger,Burger,Non-Veg,McDonald's,budget,USA,Nashville,tier-2,8.52,224.6,850.1,22.2,23.8,53.6,1285.1,11.0,2.6,0
Grilled Chicken Salad,Salad,Non-Veg,Shake Shack,mid,India,Mumbai,metro,3.92,301.2,249.6,22.7,14.8,22.3,269.9,10.6,3.5,0
Strawberry Milkshake,Drink,Veg,KFC,budget,Canada,Windsor,tier-3,3.5,266.5,345.0,0.0,0.2,27.8,38.4,19.2,4.3,1
Spicy Jalapeño Burger,Burger,Non-Veg,Domino's,budget,USA,Fargo,tier-3,8.36,208.9,437.7,31.3,27.5,44.2,942.0,8.5,4.1,0
Lamb Biryani,Rice/Bowl,Non-Veg,McDonald's,budget,India,Coimbatore,tier-3,1.23,289.6,442.4,19.8,17.8,65.7,782.9,3.3,3.5,0
Vegan Smash Burger,Burger,Vegan,McDonald's,budget,Canada,Calgary,tier-2,4.86,222.6,567.2,32.2,23.7,35.4,800.2,8.1,3.6,0
French Fries,Sides,Veg,Wendy's,budget,Canada,Toronto,metro,4.45,89.9,160.2,1.4,15.4,48.8,346.0,1.4,3.9,0
French Fries,Sides,Veg,Five Guys,mid,India,Mumbai,metro,4.94,171.8,197.1,1.4,18.1,44.5,354.9,0.0,3.8,0
Corn on the Cob,Sides,Veg,Burger King,budget,India,Jaipur,tier-2,1.14,99.9,495.4,9.1,3.9,44.6,341.0,3.5,3.0,0
Chocolate Milkshake,Drink,Veg,Chili's,mid,USA,Houston,metro,11.58,202.9,206.6,3.3,2.6,64.7,104.9,35.2,4.4,1
Meat Lovers Pizza,Pizza,Non-Veg,McDonald's,budget,UK,Bristol,tier-2,7.05,193.5,322.1,10.5,19.0,28.6,539.4,5.8,4.7,0
Tuna Melt,Sandwich,Non-Veg,Applebee's,mid,USA,Denver,tier-2,12.59,300.1,523.3,24.0,18.6,32.6,877.2,7.3,3.5,0
Loaded Fries with Bacon,Sides,Non-Veg,Gordon Ramsay Bar & Grill,premium,USA,Spokane,tier-3,23.89,106.7,381.9,0.8,15.7,40.8,335.7,2.2,4.0,0
Halloumi Burger,Burger,Veg,Nando's,mid,Australia,Perth,tier-2,14.44,200.2,778.5,10.8,24.1,50.2,910.5,5.0,4.3,0
Strawberry Milkshake,Drink,Veg,Shake Shack,mid,India,Bangalore,metro,4.37,333.4,5.0,4.1,3.1,34.7,28.8,32.965,4.2,0
Lemonade,Drink,Veg,Applebee's,mid,India,Pune,tier-2,4.76,382.2,44.3,2.9,0.0,55.5,103.8,52.724999999999994,4.7,0
Fish Fillet Burger,Burger,Non-Veg,Wendy's,budget,Australia,Brisbane,tier-2,8.66,220.7,676.0,33.8,20.9,61.3,683.9,13.3,4.8,0
Garlic Bread,Sides,Veg,Burger King,budget,India,Mumbai,metro,2.58,50.0,187.6,0.0,9.1,47.5,406.5,3.5,2.8,0
Tiramisu,Dessert,Non-Veg,McDonald's,budget,USA,Austin,tier-2,6.72,129.2,385.0,5.0,19.4,46.5,319.5,44.175,3.9,0
Vanilla Shake,Drink,Veg,Taco Bell,budget,USA,Spokane,tier-3,4.77,426.3,325.0,3.0,0.0,13.2,81.5,12.54,3.3,0
Apple Pie,Dessert,Veg,Nando's,mid,USA,Boise,tier-3,13.0,129.7,303.7,4.3,10.7,71.8,236.7,21.0,3.2,0
Molten Lava Cake,Dessert,Veg,TGI Fridays,mid,Canada,Vancouver,metro,11.11,149.3,341.9,8.8,19.7,58.8,247.9,54.9,3.7,0
Chicken BBQ Pizza,Pizza,Non-Veg,Shake Shack,mid,India,Chennai,tier-2,5.12,136.9,419.5,9.8,6.6,26.8,779.9,4.0,4.6,0
Chocolate Milkshake,Drink,Veg,Subway,budget,USA,Boise,tier-3,2.95,528.8,121.6,0.0,0.0,81.9,26.3,35.6,4.4,0
Veggie Burger,Burger,Veg,Burger King,budget,Canada,Edmonton,tier-2,6.34,268.2,349.2,21.5,20.1,44.0,876.7,7.8,4.5,0
Beef Burrito Bowl,Rice/Bowl,Non-Veg,Subway,budget,USA,Spokane,tier-3,2.9,459.7,516.3,19.6,19.7,65.7,576.9,6.1,4.9,0
Pepperoni Pizza,Pizza,Non-Veg,KFC,budget,India,Bangalore,metro,3.13,138.5,211.9,11.1,8.7,40.1,478.9,6.6,2.1,0
Oat Milk Latte,Drink,Vegan,Domino's,budget,India,Ahmedabad,tier-2,1.26,476.5,268.5,3.5,1.9,48.1,80.9,41.6,2.9,0
Sprite,Drink,Veg,Wendy's,budget,USA,Houston,metro,2.02,554.0,87.5,2.3,3.3,18.4,89.3,17.479999999999997,4.6,0
Chicken BBQ Pizza,Pizza,Non-Veg,Nando's,mid,India,Hyderabad,metro,4.51,151.4,311.9,17.3,12.9,41.1,766.8,4.4,3.3,0
Double Smash Burger,Burger,Non-Veg,Chili's,mid,USA,Spokane,tier-3,13.2,233.4,600.4,28.0,28.1,49.9,991.4,7.0,4.7,0
Margherita Pizza,Pizza,Veg,Nando's,mid,USA,New York,metro,16.87,194.6,240.9,12.1,3.1,27.2,714.3,3.8,3.0,0
Margherita Pizza,Pizza,Veg,Pizza Hut,budget,India,Bangalore,metro,3.09,132.2,264.1,8.5,17.2,50.5,660.1,3.9,4.3,0
Apple Juice,Drink,Veg,Taco Bell,budget,UK,Manchester,metro,4.9,441.7,5.0,2.8,3.3,16.8,76.9,15.959999999999999,4.1,1
Spicy Jalapeño Burger,Burger,Non-Veg,Burger King,budget,India,Chennai,tier-2,3.04,224.1,625.9,29.5,14.1,53.1,1155.8,12.0,3.6,0
Chocolate Brownie,Dessert,Veg,TGI Fridays,mid,UK,London,metro,13.09,149.8,342.3,3.0,21.5,55.6,317.2,52.82,4.1,0
BLT Sandwich,Sandwich,Non-Veg,Wendy's,budget,USA,Portland,tier-2,8.48,217.8,596.2,5.0,17.9,41.0,688.5,2.4,4.2,0
Veggie Burger,Burger,Veg,Applebee's,mid,India,Jaipur,tier-2,7.03,151.8,581.2,6.1,14.5,39.8,644.9,7.8,3.9,0
Caesar Salad,Salad,Veg,Domino's,budget,Australia,Melbourne,metro,5.87,156.2,392.0,5.7,8.1,16.7,699.2,6.6,4.9,0
Caprese Salad,Salad,Veg,Burger King,budget,Australia,Melbourne,metro,2.74,275.3,200.2,3.8,3.3,42.1,474.6,11.0,4.5,0
Green Detox Juice,Drink,Vegan,Domino's,budget,India,Delhi,metro,2.01,268.6,188.9,2.1,3.7,63.0,76.2,25.5,3.6,0
Chicken Wings,Sides,Non-Veg,Subway,budget,USA,Los Angeles,metro,6.2,168.3,243.7,2.7,19.0,28.7,498.9,3.3,3.5,0
Fanta Orange,Drink,Veg,Subway,budget,USA,Fargo,tier-3,2.15,550.5,255.2,2.6,0.2,24.3,70.2,22.4,4.0,0
Chicken Sub,Sandwich,Non-Veg,Burger King,budget,India,Delhi,metro,2.96,193.4,351.5,17.3,8.7,47.4,687.6,5.5,3.9,1
Coconut Water,Drink,Vegan,Burger King,budget,India,Ahmedabad,tier-2,2.38,546.6,179.4,3.1,3.2,83.4,46.7,51.3,3.8,1
Philly Cheesesteak,Sandwich,Non-Veg,McDonald's,budget,USA,Fargo,tier-3,2.57,231.7,382.2,16.5,20.4,53.7,860.6,11.4,3.9,0
Classic Beef Burger,Burger,Non-Veg,KFC,budget,India,Mumbai,metro,2.64,256.8,633.3,27.6,26.1,33.6,917.6,5.3,3.5,1
Tiramisu,Dessert,Non-Veg,Applebee's,mid,USA,Los Angeles,metro,17.3,176.6,345.0,2.7,26.1,60.2,159.0,26.1,3.8,0
Garden Salad,Salad,Veg,KFC,budget,Australia,Sydney,metro,7.22,313.1,295.2,14.5,9.8,0.0,737.4,0.0,3.6,0
Coconut Water,Drink,Vegan,Wendy's,budget,UK,Manchester,metro,2.34,551.7,192.0,0.7,8.9,42.8,50.1,40.66,3.5,0
Caesar Salad,Salad,Veg,Subway,budget,Canada,Toronto,metro,4.24,184.5,274.1,10.2,10.0,12.2,858.6,4.3,3.8,1
Mushroom Swiss Burger,Burger,Veg,Taco Bell,budget,India,Hyderabad,metro,3.45,212.6,462.3,34.3,16.5,49.2,914.1,6.5,4.1,0
Mushroom Swiss Beef Burger,Burger,Non-Veg,Shake Shack,mid,Australia,Cairns,tier-3,15.21,148.0,503.4,27.0,35.1,46.3,968.9,12.0,4.0,0
Caesar Salad,Salad,Veg,KFC,budget,Australia,Sydney,metro,6.29,272.5,414.7,9.5,5.5,27.0,335.8,8.1,3.3,0
Mango Smoothie,Drink,Veg,Taco Bell,budget,India,Ahmedabad,tier-2,2.39,342.4,373.3,2.7,1.4,0.0,44.4,0.0,4.4,0
Cheesecake Slice,Dessert,Non-Veg,Chili's,mid,Canada,Vancouver,metro,13.96,119.5,415.6,7.5,16.9,49.5,229.2,47.025,3.3,0
Pepsi,Drink,Veg,Five Guys,mid,India,Surat,tier-3,2.28,447.3,76.3,3.5,1.6,38.7,18.4,36.765,3.3,0
Corn on the Cob,Sides,Veg,Taco Bell,budget,USA,Austin,tier-2,5.4,81.9,251.7,3.2,22.0,38.1,565.2,2.0,3.8,0
Meat Lovers Pizza,Pizza,Non-Veg,Domino's,budget,USA,Denver,tier-2,5.52,88.1,247.8,7.6,8.7,22.8,504.3,5.0,4.2,0
Black Bean Burger,Burger,Veg,Subway,budget,India,Mumbai,metro,2.05,248.8,494.8,26.8,21.7,58.9,762.4,7.0,4.1,0
Prawn Avocado Salad,Salad,Non-Veg,Burger King,budget,India,Jaipur,tier-2,3.55,113.5,193.4,1.9,13.4,20.5,521.2,7.8,4.5,0
Paneer Tikka Pizza,Pizza,Veg,McDonald's,budget,Australia,Melbourne,metro,3.32,162.8,153.3,12.9,15.4,39.0,764.9,2.7,4.7,0
Margherita Pizza,Pizza,Veg,Ruth's Chris Steakhouse,premium,USA,Denver,tier-2,54.04,183.5,389.8,14.1,9.4,54.3,664.5,0.0,4.0,0
Fish Fillet Burger,Burger,Non-Veg,Taco Bell,budget,India,Hyderabad,metro,2.9,274.0,498.6,27.6,22.5,46.2,846.8,9.2,2.8,0
Ham & Mushroom Pizza,Pizza,Non-Veg,Nando's,mid,USA,Nashville,tier-2,22.85,154.2,173.5,17.1,16.0,19.2,594.9,5.9,4.5,0
Mac and Cheese,Sides,Veg,Wendy's,budget,Canada,Kelowna,tier-3,3.72,50.0,164.6,5.8,14.4,54.0,196.7,6.7,3.1,0
Cold Coffee,Drink,Veg,Subway,budget,UK,London,metro,3.68,262.2,195.9,0.0,0.0,82.8,89.4,46.6,4.1,1
Onion Rings,Sides,Veg,McDonald's,budget,Australia,Melbourne,metro,4.56,96.2,338.1,6.3,4.2,34.5,322.8,4.3,4.0,1
Vegan Smash Burger,Burger,Vegan,Pizza Hut,budget,USA,Portland,tier-2,4.28,217.5,402.9,11.2,27.5,47.8,905.8,6.6,3.2,0
Almond Milk Shake,Drink,Vegan,Five Guys,mid,USA,Los Angeles,metro,11.28,376.9,5.0,0.9,0.0,21.5,0.0,10.0,3.9,0
Fish Fillet Burger,Burger,Non-Veg,Subway,budget,India,Delhi,metro,1.81,236.4,542.7,18.1,17.5,26.7,760.8,2.7,3.7,0
Garlic Bread,Sides,Veg,Ruth's Chris Steakhouse,premium,USA,Houston,metro,34.95,82.2,163.5,2.6,18.5,51.5,0.0,8.6,4.4,0
Paneer Tikka Pizza,Pizza,Veg,Applebee's,mid,India,Ahmedabad,tier-2,4.38,167.4,262.6,15.5,11.6,42.8,697.1,4.8,4.6,0
Veggie Supreme Pizza,Pizza,Veg,Five Guys,mid,India,Ahmedabad,tier-2,5.21,169.5,380.5,15.3,15.0,39.1,645.5,7.5,3.9,0
Turkey Sandwich,Sandwich,Non-Veg,Applebee's,mid,UK,Exeter,tier-3,17.94,165.6,389.9,25.2,25.9,47.4,544.4,3.9,3.6,0
Prawn Avocado Salad,Salad,Non-Veg,Domino's,budget,India,Mumbai,metro,2.46,217.9,297.1,10.9,12.9,41.5,385.9,3.5,4.5,0
Double Smash Burger,Burger,Non-Veg,Applebee's,mid,Canada,Montreal,tier-2,18.42,285.7,565.7,20.3,31.6,35.5,692.6,13.5,4.6,0
Almond Milk Shake,Drink,Vegan,Chili's,mid,UK,Birmingham,tier-2,9.5,526.7,410.1,2.8,4.7,37.8,44.9,35.91,2.8,0
Mango Smoothie,Drink,Veg,Applebee's,mid,Canada,Toronto,metro,6.74,559.5,374.4,0.5,0.0,42.3,7.0,40.184999999999995,2.8,0
Oat Milk Latte,Drink,Vegan,Ruth's Chris Steakhouse,premium,UK,London,metro,31.14,438.3,194.4,3.6,4.2,28.6,29.0,19.6,2.8,0
Fish Fillet Burger,Burger,Non-Veg,Nando's,mid,India,Bangalore,metro,6.78,281.3,585.7,37.9,19.0,36.7,964.0,9.3,3.8,0
Lamb Biryani,Rice/Bowl,Non-Veg,TGI Fridays,mid,USA,Spokane,tier-3,11.85,267.2,627.8,25.3,6.8,86.7,916.8,1.9,3.4,0
Almond Milk Shake,Drink,Vegan,Pizza Hut,budget,UK,Glasgow,tier-2,3.22,322.4,204.3,5.2,1.2,55.8,52.4,48.1,4.3,1
Prawn Fried Rice,Rice/Bowl,Non-Veg,Applebee's,mid,India,Bangalore,metro,9.24,476.3,567.5,24.3,17.6,47.8,1029.3,4.2,4.7,0
Pasta Salad,Salad,Veg,Nobu,premium,UK,London,metro,32.62,272.4,56.6,14.9,13.6,12.1,466.0,11.495,2.9,0
Coconut Water,Drink,Vegan,Chili's,mid,UK,Manchester,metro,11.81,414.1,210.0,2.5,0.1,60.3,25.0,42.5,4.2,0
French Fries,Sides,Veg,Nobu,premium,UK,Bristol,tier-2,20.44,98.2,412.2,6.4,8.6,36.8,327.5,5.6,3.8,1
Onion Rings,Sides,Veg,Nando's,mid,Canada,Ottawa,tier-2,11.21,177.1,290.8,2.5,9.4,35.4,137.3,0.7,4.0,0
Tofu Rice Bowl,Rice/Bowl,Vegan,Wendy's,budget,UK,London,metro,9.62,356.9,624.6,0.0,9.9,55.1,296.2,3.0,4.0,0
Oat Milk Latte,Drink,Vegan,McDonald's,budget,USA,Austin,tier-2,4.16,387.5,11.2,0.0,2.9,54.1,34.4,35.7,3.9,0
Caesar Salad,Salad,Veg,Burger King,budget,India,Delhi,metro,0.98,265.6,213.4,2.0,11.5,31.0,644.5,6.9,3.3,0
Iced Tea,Drink,Veg,McDonald's,budget,UK,London,metro,4.84,388.4,406.3,6.8,3.0,20.1,86.2,19.095,4.4,0
Churros,Dessert,Veg,Wendy's,budget,India,Hyderabad,metro,1.7,104.5,462.7,6.2,16.2,35.6,376.4,33.82,4.3,0
Chocolate Milkshake,Drink,Veg,Chili's,mid,Canada,Vancouver,metro,9.08,218.1,5.0,6.7,3.8,38.3,90.3,0.0,4.3,1
Quinoa Salad,Salad,Vegan,McDonald's,budget,USA,New York,metro,4.24,363.2,172.4,15.1,2.8,19.8,306.2,9.2,4.6,1
Tuna Niçoise Salad,Salad,Non-Veg,Nobu,premium,USA,Houston,metro,13.83,208.6,197.5,18.0,11.3,30.3,453.4,10.9,3.8,0
Turkey Sandwich,Sandwich,Non-Veg,Wendy's,budget,Canada,Toronto,metro,4.28,330.3,347.1,22.6,19.2,46.0,512.3,8.5,3.5,0
Ice Cream Sundae,Dessert,Veg,Burger King,budget,UK,Manchester,metro,5.22,50.0,385.3,1.5,5.9,49.8,330.7,39.5,3.4,0
Molten Lava Cake,Dessert,Veg,Taco Bell,budget,USA,Nashville,tier-2,2.71,57.2,429.2,4.9,21.6,66.2,401.3,46.2,3.8,0
Mac and Cheese,Sides,Veg,Subway,budget,India,Delhi,metro,2.39,121.4,317.0,6.1,20.2,29.3,319.0,0.6,4.0,0
Coleslaw,Salad,Veg,TGI Fridays,mid,USA,Los Angeles,metro,14.12,302.9,105.5,22.6,0.0,18.5,282.9,11.1,4.8,0
Quinoa Salad,Salad,Vegan,Chili's,mid,UK,Bristol,tier-2,10.29,211.9,204.2,5.3,5.8,15.6,174.7,14.819999999999999,3.2,0
Prawn Fried Rice,Rice/Bowl,Non-Veg,Burger King,budget,USA,Eugene,tier-3,3.94,301.0,438.6,27.7,18.0,87.4,903.8,6.4,4.8,0
Ham & Mushroom Pizza,Pizza,Non-Veg,Chili's,mid,USA,Los Angeles,metro,14.02,191.8,437.0,17.0,12.0,33.3,959.9,3.8,4.0,0
Spicy Jalapeño Burger,Burger,Non-Veg,Applebee's,mid,Australia,Sydney,metro,15.84,212.7,648.5,19.5,28.2,41.1,1373.3,13.4,4.1,0
Veggie Supreme Pizza,Pizza,Veg,Ruth's Chris Steakhouse,premium,USA,Chicago,metro,38.02,201.7,460.2,11.9,9.4,29.8,551.0,6.7,3.8,0
Chickpea Buddha Bowl,Rice/Bowl,Vegan,Burger King,budget,USA,New York,metro,9.4,448.2,349.6,9.3,16.2,86.2,449.8,5.0,4.7,0
Molten Lava Cake,Dessert,Veg,Pizza Hut,budget,India,Nagpur,tier-3,2.57,156.3,559.2,2.7,11.0,66.2,217.6,21.0,3.0,0
Potato Wedges,Sides,Veg,Taco Bell,budget,USA,Portland,tier-2,5.47,157.6,205.9,3.5,5.6,43.2,387.4,5.1,4.2,0
Spicy Chicken Pizza,Pizza,Non-Veg,Burger King,budget,India,Pune,tier-2,4.14,183.3,448.5,11.0,13.8,37.7,380.8,3.6,4.0,0
Veggie Supreme Pizza,Pizza,Veg,Domino's,budget,Canada,Saskatoon,tier-3,4.35,117.5,213.9,11.8,6.0,31.5,312.3,6.5,3.9,0
Crispy Chicken Burger,Burger,Non-Veg,Burger King,budget,Australia,Sydney,metro,2.97,166.8,616.0,26.2,30.8,57.7,941.6,7.7,2.7,1
Beef Burrito Bowl,Rice/Bowl,Non-Veg,Gordon Ramsay Bar & Grill,premium,Australia,Sydney,metro,25.52,287.9,321.6,12.6,15.9,64.2,960.4,7.5,2.6,0
Mushroom Swiss Beef Burger,Burger,Non-Veg,TGI Fridays,mid,Australia,Melbourne,metro,20.68,257.6,516.9,28.3,11.4,43.6,981.9,8.6,2.2,0
Quinoa Salad,Salad,Vegan,Wendy's,budget,USA,Portland,tier-2,3.12,287.0,68.3,12.7,5.0,28.3,609.8,12.9,4.2,0
Vegan BBQ Pizza,Pizza,Vegan,TGI Fridays,mid,Australia,Sydney,metro,13.25,164.5,315.4,8.8,9.1,44.9,555.8,4.9,3.3,0
Chicken Rice Bowl,Rice/Bowl,Non-Veg,Taco Bell,budget,USA,Houston,metro,6.49,352.0,709.9,13.6,17.9,44.3,1146.8,4.7,4.6,0
Quinoa Salad,Salad,Vegan,Subway,budget,USA,Boise,tier-3,7.12,301.7,150.3,0.0,15.4,9.7,557.3,5.1,4.4,0
Pepsi,Drink,Veg,Five Guys,mid,India,Mumbai,metro,3.86,440.5,296.8,0.5,2.2,40.9,95.9,38.855,4.2,0
Chicken Wings,Sides,Non-Veg,Pizza Hut,budget,Australia,Melbourne,metro,5.09,118.5,274.9,1.3,20.1,34.4,433.5,3.0,3.9,0
Egg Fried Rice,Rice/Bowl,Veg,Domino's,budget,USA,Los Angeles,metro,7.74,347.3,469.2,8.1,15.5,59.5,739.2,7.6,4.0,0
Pepsi,Drink,Veg,Subway,budget,USA,Houston,metro,2.8,356.2,421.0,4.0,3.2,75.4,48.2,38.3,4.2,0
Prawn Fried Rice,Rice/Bowl,Non-Veg,The Cheesecake Factory,premium,USA,Los Angeles,metro,27.28,371.2,656.0,12.9,9.3,76.9,911.6,8.7,4.2,0
Strawberry Milkshake,Drink,Veg,Applebee's,mid,India,Delhi,metro,5.03,586.0,354.5,2.2,3.7,53.6,116.6,40.3,4.6,1
Spicy Chicken Pizza,Pizza,Non-Veg,Burger King,budget,Canada,Kelowna,tier-3,6.4,142.9,210.3,15.6,5.6,37.4,826.5,6.1,3.1,0
Hash Browns,Sides,Veg,Chili's,mid,India,Hyderabad,metro,3.44,102.1,187.1,5.1,9.8,52.6,476.5,5.6,3.9,0
Veggie Burger,Burger,Veg,The Cheesecake Factory,premium,UK,Bristol,tier-2,52.37,286.1,775.4,33.9,34.8,56.0,559.9,8.9,4.4,0
Mushroom Swiss Burger,Burger,Veg,TGI Fridays,mid,India,Jaipur,tier-2,5.6,122.9,669.7,24.2,29.9,50.2,760.0,13.3,3.7,0
Black Bean Burger,Burger,Veg,KFC,budget,USA,Chicago,metro,2.95,182.3,538.6,25.5,11.1,49.9,779.3,7.5,4.6,0
Garlic Bread,Sides,Veg,KFC,budget,UK,Bath,tier-3,4.93,141.7,146.3,9.0,7.2,36.4,382.3,5.7,4.0,0
Loaded Fries with Bacon,Sides,Non-Veg,TGI Fridays,mid,India,Pune,tier-2,6.46,121.8,321.2,5.4,16.3,18.1,535.6,1.3,3.1,0
Tuna Niçoise Salad,Salad,Non-Veg,Domino's,budget,USA,New York,metro,8.04,396.8,167.1,7.8,8.5,21.9,532.0,4.9,4.4,1
Veggie Burger,Burger,Veg,McDonald's,budget,Australia,Sydney,metro,8.39,246.5,607.4,22.2,22.0,45.2,890.5,9.6,4.4,0
Spicy Chicken Pizza,Pizza,Non-Veg,Subway,budget,UK,Birmingham,tier-2,3.13,128.4,296.7,19.2,9.9,36.6,515.1,5.7,4.0,0
Garden Salad,Salad,Veg,Nando's,mid,India,Pune,tier-2,3.68,255.7,119.9,11.6,11.9,17.1,437.0,12.3,3.8,0
Greek Salad,Salad,Veg,Pizza Hut,budget,USA,Fargo,tier-3,7.49,219.0,89.8,12.1,9.2,23.3,442.0,7.0,4.6,0
