learner_id,fsi_category,related_language,prior_languages,age_started,total_study_hours,active_use_share,immersion_months,speaking_practice,feedback_quality,comprehensible_input_hours,uses_srs,motivation,consistency,accent_nativelike,cefr_level,reached_fluency,dropped_out
LNR002288,4,1,0,21,760,0.054,6.3,7.42,3.76,300,0,5.46,4.39,8.99,A1,0,0
LNR002289,1,0,2,45,270,0.205,0.0,6.02,6.07,90,0,4.1,6.73,4.34,A2,0,1
LNR002290,4,0,1,27,1040,0.381,0.0,6.39,4.15,420,1,7.6,8.94,4.88,A2,0,1
LNR002291,1,0,2,37,1140,0.318,9.0,6.88,2.38,820,0,2.45,6.63,5.69,C1,1,0
LNR002292,3,1,0,27,170,0.039,3.3,6.69,3.74,90,0,7.56,5.17,6.26,A0,0,1
LNR002293,2,1,3,35,50,0.161,0.0,6.86,6.68,30,0,2.23,6.35,3.69,A0,0,1
LNR002294,2,1,1,10,390,0.483,0.2,5.74,8.62,280,1,5.58,7.3,10.0,B2,1,0
LNR002295,1,1,1,24,40,0.644,0.0,9.25,5.41,20,1,4.61,5.74,4.92,A0,0,1
LNR002296,1,0,0,17,1050,0.524,1.8,6.49,6.31,660,0,3.73,5.88,7.12,C1,1,0
LNR002297,3,1,0,42,440,0.157,1.6,7.84,6.09,300,0,7.17,10.0,4.48,A1,0,1
LNR002298,2,0,1,18,520,0.257,0.0,2.2,5.87,290,1,4.93,6.34,5.79,A2,0,0
LNR002299,4,1,0,32,730,0.2,0.0,6.02,3.5,510,1,4.41,3.15,4.68,A1,0,1
LNR002300,1,0,0,30,330,0.284,0.0,9.08,2.24,100,1,5.9,7.68,6.51,A2,0,0
LNR002301,1,0,0,30,310,0.495,0.0,0.3,5.2,100,0,5.3,7.81,5.57,B2,1,0
LNR002302,4,0,1,25,340,0.792,1.3,7.05,7.45,120,1,5.32,10.0,7.72,A1,0,1
LNR002303,2,1,0,42,640,0.22,0.0,7.39,6.81,470,0,8.88,8.27,5.24,A2,0,0
LNR002304,2,0,2,20,590,0.604,0.0,9.09,0.9,230,0,3.06,6.96,6.93,B1,0,0
LNR002305,4,0,0,43,520,0.535,0.0,6.76,6.08,180,1,3.51,4.65,5.12,A2,0,1
LNR002306,1,1,0,41,20,0.662,1.0,4.62,7.1,10,1,3.51,5.89,2.88,A0,0,0
LNR002307,1,0,1,21,460,0.86,0.0,9.92,7.01,170,1,3.03,6.2,5.86,C1,1,0
LNR002308,3,0,0,34,840,0.091,0.0,5.86,2.49,570,0,6.52,7.46,4.85,A2,0,1
LNR002309,4,0,0,31,440,0.447,4.1,5.86,4.08,290,0,6.2,6.66,4.31,A2,0,0
LNR002310,2,0,0,6,460,0.281,0.0,3.18,4.99,150,1,4.44,8.76,7.01,A2,0,0
LNR002311,2,1,0,25,840,0.524,3.1,7.67,1.77,650,0,5.99,9.86,8.52,C1,1,0
LNR002312,1,0,0,34,280,0.664,0.0,7.51,5.4,140,1,3.84,7.29,4.04,B1,0,0
LNR002313,4,0,1,27,530,0.279,0.0,2.31,3.49,410,0,8.78,4.79,3.05,A1,0,0
LNR002314,2,1,0,27,530,0.143,0.0,5.63,2.9,210,0,8.55,5.5,5.9,A2,0,0
LNR002315,2,1,1,38,160,0.319,0.0,6.5,5.81,110,1,0.0,2.58,2.69,A2,0,1
LNR002316,2,0,2,34,280,0.06,0.0,6.76,3.72,120,0,2.36,5.5,5.72,A0,0,1
LNR002317,3,0,0,24,1150,0.467,0.3,4.2,5.63,470,0,5.3,9.38,5.79,B2,1,0
LNR002318,3,0,3,40,1490,0.316,0.0,2.91,1.94,1060,1,2.47,4.31,7.89,C1,1,0
LNR002319,3,0,2,22,310,0.358,0.0,8.77,4.23,160,1,8.07,3.45,6.12,A1,0,1
LNR002320,4,0,0,31,80,0.354,0.0,6.68,1.35,50,0,5.77,6.73,4.67,A0,0,0
LNR002321,4,0,1,30,470,0.117,0.4,7.3,8.17,270,0,6.25,6.5,3.98,A1,0,1
LNR002322,4,1,0,36,110,0.371,0.0,7.55,5.11,70,0,5.56,5.54,6.58,A0,0,1
LNR002323,3,0,0,33,140,0.285,0.0,10.0,6.63,80,0,9.3,6.39,4.06,A0,0,0
LNR002324,1,1,0,38,570,0.089,0.0,5.33,2.83,320,1,8.85,7.65,6.62,A2,0,0
LNR002325,3,0,0,23,410,0.604,0.0,10.0,8.45,130,1,5.63,4.62,4.95,A2,0,1
LNR002326,2,1,2,33,870,0.462,0.0,8.72,3.62,280,0,2.9,4.6,5.93,C1,1,0
LNR002327,3,1,2,29,580,0.524,7.9,9.59,8.04,350,1,1.15,6.78,2.86,C1,1,0
LNR002328,3,0,1,15,220,0.244,3.0,5.78,3.67,120,0,4.99,5.0,3.74,A0,0,1
LNR002329,4,0,0,37,130,0.382,0.0,8.11,5.62,100,1,6.64,8.77,5.15,A0,0,1
LNR002330,2,0,1,21,1200,0.359,0.0,7.95,7.05,490,0,2.45,5.85,7.33,B2,1,0
LNR002331,4,1,1,17,780,0.338,1.8,5.32,6.2,460,1,5.41,2.87,5.95,B1,0,1
LNR002332,1,0,2,22,750,0.206,0.0,7.76,7.47,510,0,4.69,6.17,5.92,B2,1,0
LNR002333,3,0,1,28,200,0.431,5.8,6.17,4.64,90,0,1.41,3.19,4.12,A2,0,1
LNR002334,4,0,1,34,830,0.458,0.7,6.78,5.95,300,1,3.09,6.04,5.31,A2,0,0
LNR002335,2,0,2,39,20,0.418,5.4,7.39,4.66,10,1,7.92,6.26,5.11,A0,0,1
LNR002336,4,1,3,14,1120,0.318,0.8,7.33,4.79,540,0,4.85,5.93,8.84,A2,0,0
LNR002337,3,0,0,48,730,0.119,3.9,4.85,1.79,260,0,5.21,6.9,3.2,A2,0,1
LNR002338,3,1,2,29,170,0.482,3.6,5.81,4.6,70,0,3.62,6.19,4.78,A2,0,1
LNR002339,3,0,2,51,1110,0.507,2.0,9.08,6.23,590,0,4.18,6.68,4.19,C1,1,0
LNR002340,4,0,2,26,130,0.525,0.0,4.91,3.37,40,0,3.84,5.78,4.22,A0,0,1
LNR002341,2,0,0,29,1080,0.344,0.0,5.07,8.25,840,0,5.06,2.71,5.76,C1,1,0
LNR002342,3,1,2,43,150,0.226,0.0,0.0,4.74,90,0,4.6,6.79,2.8,A0,0,1
LNR002343,4,1,1,23,840,0.344,0.0,7.25,7.86,310,0,3.34,5.91,5.45,B2,1,0
LNR002344,3,0,0,42,440,0.833,0.0,5.91,1.7,310,0,3.47,1.63,3.89,B1,0,1
LNR002345,3,0,0,39,490,0.198,0.0,3.86,3.26,290,1,4.5,6.56,5.33,A1,0,1
LNR002346,2,1,0,20,360,0.373,0.0,3.31,4.86,240,1,2.21,1.94,8.44,B1,0,0
LNR002347,1,1,1,22,430,0.633,1.0,10.0,4.63,130,1,5.68,4.39,6.51,C1,1,0
LNR002348,1,0,2,18,500,0.116,0.0,7.62,6.69,180,0,4.49,3.72,9.78,B1,0,1
LNR002349,1,1,1,20,190,0.258,0.8,3.81,3.6,60,0,1.95,1.8,6.65,A2,0,1
LNR002350,1,0,1,29,160,0.384,3.1,5.35,3.78,120,0,7.17,1.45,4.57,A1,0,0
LNR002351,4,0,0,34,940,0.514,2.8,5.9,5.17,400,1,2.5,4.66,5.26,B2,1,0
LNR002352,1,0,0,42,160,0.748,0.4,8.66,6.28,70,1,3.28,6.69,2.82,B1,0,0
LNR002353,1,0,0,31,450,0.325,0.0,3.2,4.13,250,0,2.41,3.8,3.57,A2,0,1
LNR002354,2,0,0,43,990,0.417,0.0,4.2,0.94,740,1,0.0,3.7,3.84,B2,1,0
LNR002355,3,1,1,14,640,0.546,0.0,10.0,3.14,470,1,7.31,6.24,6.68,B2,1,0
LNR002356,4,0,0,24,450,0.578,0.0,8.4,7.6,170,0,0.0,5.69,7.13,B1,0,1
LNR002357,2,0,1,31,380,0.223,2.3,2.28,4.51,140,0,6.63,4.01,4.25,A2,0,1
LNR002358,4,1,1,21,390,0.485,0.0,7.35,7.27,210,0,5.65,7.07,8.0,A2,0,1
LNR002359,2,0,2,22,720,0.116,8.6,4.18,6.85,390,1,5.12,7.72,9.78,C1,1,0
LNR002360,2,0,2,6,120,0.541,0.0,9.07,6.47,40,0,6.22,4.26,9.12,A1,0,1
LNR002361,4,0,0,25,1430,0.335,3.7,7.94,3.19,680,0,5.73,7.02,5.85,B1,0,1
LNR002362,3,1,1,34,1140,0.084,0.0,7.58,2.98,390,1,4.0,6.12,3.28,B1,0,1
LNR002363,4,1,0,29,250,0.519,3.4,6.63,2.87,110,1,4.29,3.62,4.03,A1,0,1
LNR002364,4,1,1,11,310,0.433,1.3,3.35,3.58,180,1,0.44,3.72,8.96,A1,0,1
LNR002365,2,0,3,35,320,0.273,0.0,7.39,3.28,240,1,7.3,8.45,3.83,A1,0,0
LNR002366,1,0,1,15,150,0.482,0.0,5.51,1.64,70,0,4.24,6.91,6.58,A1,0,1
LNR002367,3,0,0,32,640,0.315,4.2,4.15,3.81,350,1,6.45,6.61,5.79,B2,1,0
LNR002368,1,1,0,25,150,0.563,1.9,5.03,4.66,70,1,4.5,6.88,8.16,A2,0,1
LNR002369,3,0,0,31,360,0.608,0.0,7.8,5.02,240,0,2.72,6.27,5.46,A2,0,0
LNR002370,1,0,1,28,470,0.673,0.0,9.07,3.65,160,0,7.86,7.52,6.48,B1,0,1
LNR002371,3,0,0,35,400,0.603,0.0,6.5,4.87,280,0,8.63,4.84,5.75,A2,0,1
LNR002372,1,0,0,33,50,0.522,0.6,8.63,9.58,20,1,5.97,9.23,6.6,A1,0,0
LNR002373,1,1,1,31,240,0.615,0.8,10.0,7.17,100,1,6.12,8.66,3.82,C1,1,0
LNR002374,1,0,2,24,700,0.381,0.0,10.0,6.0,330,1,6.25,5.74,8.36,C1,1,0
LNR002375,1,0,2,11,70,0.256,1.2,5.14,6.29,40,1,3.02,4.72,10.0,A1,0,1
LNR002376,3,1,0,35,50,0.324,4.3,8.36,4.18,30,0,5.89,7.2,4.59,A0,0,1
LNR002377,1,0,1,49,200,0.695,0.0,7.71,2.91,100,0,6.65,6.77,4.4,B1,0,0
LNR002378,1,0,1,33,40,0.332,3.7,3.8,4.02,10,1,4.62,6.32,7.1,A0,0,1
LNR002379,3,0,2,14,130,0.334,0.0,3.44,6.44,80,0,9.57,10.0,6.59,A1,0,0
LNR002380,3,1,5,49,420,0.065,1.7,10.0,3.24,290,1,3.38,4.55,1.07,A2,0,1
LNR002381,4,0,4,22,370,0.439,0.0,7.8,2.05,120,0,5.46,7.35,4.23,A1,0,0
LNR002382,3,0,0,31,220,0.662,3.3,8.73,9.32,170,1,1.75,6.02,4.51,A2,0,0
LNR002383,3,1,0,8,330,0.322,0.0,6.19,6.83,200,1,2.97,4.08,6.05,A2,0,1
LNR002384,4,1,1,18,250,0.435,2.6,9.54,3.77,120,0,4.64,3.85,7.14,A1,0,1
LNR002385,2,1,1,41,440,0.365,0.0,4.41,6.05,270,0,5.84,7.42,3.18,B1,0,1
LNR002386,2,1,2,24,180,0.818,7.3,5.54,7.39,140,0,3.01,8.26,7.0,B2,1,0
LNR002387,1,0,0,25,1350,0.73,0.0,10.0,5.31,610,1,0.36,2.94,6.76,C2,1,0
LNR002388,3,0,2,50,950,0.447,0.0,5.61,5.28,410,0,1.51,0.0,4.62,C2,1,0
LNR002389,3,0,1,19,1600,0.3,0.0,1.88,7.07,1120,1,2.87,6.14,6.58,B2,1,0
LNR002390,2,1,2,30,350,0.289,0.0,3.82,4.58,180,0,4.13,6.24,3.86,A2,0,0
LNR002391,2,0,1,26,530,0.37,0.2,7.35,0.96,210,1,6.28,3.49,6.88,B1,0,1
LNR002392,2,0,2,11,390,0.675,0.0,10.0,7.71,190,0,2.76,7.98,10.0,B1,0,0
LNR002393,3,1,1,22,1290,0.042,0.0,4.97,4.02,580,1,4.98,8.41,4.12,A2,0,0
LNR002394,1,0,1,35,1850,0.59,0.0,4.63,7.02,820,1,3.04,5.04,4.68,C2,1,0
LNR002395,2,0,0,39,580,0.678,1.7,6.83,3.77,240,0,7.32,3.29,4.27,C1,1,0
LNR002396,3,0,2,15,360,0.165,0.0,2.78,6.35,170,1,3.42,5.27,7.01,A2,0,1
LNR002397,2,0,0,31,260,0.484,0.0,4.5,3.46,200,1,3.77,5.4,5.38,A2,0,0
LNR002398,3,0,0,12,1270,0.455,0.1,8.49,6.7,520,1,6.17,7.69,8.0,C1,1,0
LNR002399,3,0,1,18,910,0.131,0.0,4.78,8.33,640,0,1.33,4.85,7.9,A2,0,0
LNR002400,1,0,0,27,50,0.267,0.3,9.53,5.33,30,0,9.86,10.0,4.62,A0,0,0
LNR002401,3,1,1,27,900,0.48,6.3,7.88,3.83,620,0,10.0,4.92,3.01,C1,1,0
LNR002402,4,1,2,18,420,0.737,6.2,6.44,5.37,140,0,6.65,5.9,7.87,B2,1,0
LNR002403,2,1,1,45,490,0.376,2.7,5.26,4.38,390,0,4.83,5.04,2.89,B2,1,0
LNR002404,1,0,0,25,630,0.283,0.0,7.44,7.63,450,0,5.07,5.59,5.54,C1,1,0
LNR002405,3,0,2,43,1200,0.777,0.0,8.97,4.89,510,0,5.98,4.58,6.32,C2,1,0
LNR002406,1,1,0,9,150,0.302,0.0,8.15,3.99,70,0,3.05,4.3,8.05,A1,0,1
LNR002407,1,0,0,26,170,0.301,0.0,8.84,1.78,130,1,8.87,6.47,7.95,A1,0,1
LNR002408,2,0,0,11,610,0.356,0.0,6.18,10.0,360,0,3.89,9.27,9.97,B1,0,1
LNR002409,1,0,1,28,250,0.449,0.0,6.48,6.42,100,0,2.69,2.95,3.74,A2,0,1
LNR002410,3,0,0,26,420,0.597,2.1,7.8,5.91,300,1,5.27,5.72,7.37,B1,0,0
LNR002411,1,0,1,40,950,0.248,0.0,6.23,2.02,340,0,6.37,6.04,4.69,B2,1,0
LNR002412,1,0,1,37,1220,0.421,10.8,4.04,4.95,410,0,3.78,5.57,4.77,C2,1,0
LNR002413,1,1,0,34,550,0.15,0.0,6.41,1.43,270,0,3.47,8.75,3.91,B1,0,0
LNR002414,2,0,0,40,760,0.392,0.0,4.52,1.42,520,1,0.77,9.01,3.84,B1,0,0
LNR002415,1,1,0,8,1130,0.27,0.0,5.63,3.55,860,0,4.98,5.2,5.25,C1,1,0
LNR002416,3,0,2,6,860,0.266,0.0,3.05,2.69,300,0,3.15,3.41,10.0,B1,0,0
LNR002417,3,0,1,6,220,0.426,1.6,4.77,7.91,110,1,5.9,3.87,10.0,A1,0,0
LNR002418,2,0,0,21,100,0.359,3.5,6.27,3.55,70,0,2.46,4.07,6.57,A1,0,1
LNR002419,1,1,0,27,700,0.321,5.8,6.25,1.28,520,0,3.03,3.45,5.94,C1,1,0
LNR002420,4,1,1,34,480,0.257,0.0,3.91,0.46,380,1,3.79,8.86,5.74,A0,0,1
LNR002421,1,0,1,31,300,0.267,4.1,7.22,2.91,140,0,4.14,6.11,8.25,B1,0,0
LNR002422,2,1,1,39,210,0.614,0.0,10.0,2.89,140,0,7.02,5.67,5.03,A2,0,1
LNR002423,4,0,1,40,640,0.412,2.0,6.88,3.98,280,0,5.08,9.14,3.12,A2,0,1
LNR002424,2,0,0,34,360,0.198,0.0,2.24,5.41,260,0,2.72,6.92,4.53,A2,0,0
LNR002425,2,0,2,33,150,0.361,0.0,6.01,3.81,80,1,10.0,7.8,10.0,A1,0,1
LNR002426,3,1,0,19,1690,0.102,0.0,5.24,5.06,580,0,6.2,8.13,8.62,B1,0,1
LNR002427,1,0,1,6,690,0.506,0.0,9.03,3.31,370,0,5.65,6.63,7.93,C1,1,0
LNR002428,2,0,1,63,770,0.203,1.9,6.92,3.26,610,0,3.23,5.37,0.88,B2,1,0
LNR002429,4,0,0,29,650,0.314,0.0,4.46,7.34,400,0,5.23,7.12,4.47,A1,0,1
LNR002430,4,0,1,22,270,0.398,0.5,8.62,4.08,110,1,3.74,3.78,3.96,A1,0,0
LNR002431,3,0,0,20,630,0.238,0.0,10.0,4.1,430,0,2.76,8.6,6.81,A2,0,1
LNR002432,3,1,0,37,900,0.608,0.0,7.76,4.77,700,1,5.93,3.95,2.62,B2,1,0
LNR002433,1,0,0,34,470,0.148,0.0,10.0,3.2,240,0,2.5,5.04,5.11,B2,1,0
LNR002434,1,0,2,21,200,0.525,2.0,2.04,1.05,70,1,3.53,4.63,5.76,A2,0,1
LNR002435,3,1,0,44,360,0.191,0.0,3.49,2.56,110,1,7.38,6.26,3.76,A1,0,1
LNR002436,1,0,0,6,230,0.314,0.0,4.18,5.44,120,0,10.0,8.24,8.9,B1,0,0
LNR002437,2,1,0,22,280,0.112,0.0,5.71,3.32,170,1,4.31,10.0,6.02,A1,0,0
LNR002438,1,0,2,39,560,0.461,0.0,6.41,6.51,240,1,6.18,8.16,5.4,B2,1,0
LNR002439,4,0,0,30,900,0.263,0.0,8.76,8.76,610,0,3.81,6.79,7.28,A2,0,1
LNR002440,1,1,2,14,600,0.098,6.8,3.96,2.96,310,0,8.14,8.52,6.83,C1,1,0
LNR002441,1,0,0,53,410,0.259,0.0,4.95,7.15,190,0,7.65,5.32,4.14,A2,0,0
LNR002442,1,0,1,34,620,0.116,0.0,8.16,8.44,350,0,4.29,5.78,4.11,B1,0,1
LNR002443,4,1,1,33,330,0.316,4.1,4.03,4.06,240,0,4.52,6.58,5.19,A2,0,1
LNR002444,2,0,0,45,60,0.276,7.7,2.47,1.97,20,1,5.15,7.71,6.73,A0,0,1
LNR002445,2,1,3,7,680,0.533,7.5,4.63,4.66,350,0,3.57,6.45,8.57,C2,1,0
LNR002446,2,0,0,40,1470,0.377,0.0,0.54,4.13,1080,1,5.36,6.12,3.82,B2,1,0
LNR002447,1,0,1,36,600,0.403,1.6,10.0,6.19,430,0,6.53,7.64,3.51,B2,1,0
LNR002448,3,0,0,28,410,0.417,0.0,8.31,2.96,230,0,4.62,4.79,6.1,A2,0,0
LNR002449,3,0,1,11,200,0.495,0.0,4.47,3.16,70,1,1.89,5.56,7.15,A2,0,1
LNR002450,4,1,1,19,1600,0.576,0.0,5.8,4.89,610,1,7.21,5.04,5.78,B2,1,0
LNR002451,2,0,1,28,120,0.098,0.9,1.03,3.82,70,0,7.0,10.0,4.29,A0,0,0
LNR002452,3,0,1,7,170,0.18,0.0,9.15,2.37,120,1,5.25,8.12,9.66,A0,0,1
LNR002453,1,0,1,48,250,0.208,0.0,7.33,3.81,110,1,6.76,6.99,3.57,A2,0,0
LNR002454,1,1,2,31,700,0.309,0.0,4.51,4.56,540,0,6.74,10.0,4.07,B1,0,1
LNR002455,1,0,0,32,170,0.556,1.4,6.3,5.63,90,0,9.4,5.76,4.54,A2,0,1
LNR002456,2,0,0,6,810,0.711,0.0,7.6,8.24,530,0,5.68,5.06,10.0,C2,1,0
LNR002457,1,0,2,31,390,0.345,3.9,8.47,6.18,160,0,6.51,7.96,5.36,B1,0,1
LNR002458,1,1,1,24,990,0.405,0.0,2.34,5.73,320,0,5.31,7.11,4.01,C2,1,0
LNR002459,4,1,0,34,860,0.784,0.0,8.5,2.8,600,1,1.89,6.55,5.18,A2,0,0
LNR002460,3,0,1,42,660,0.555,0.0,9.08,10.0,470,1,6.3,3.58,3.43,B2,1,0
LNR002461,3,0,1,40,450,0.072,0.9,7.26,4.14,300,0,5.06,9.5,2.91,A1,0,1
LNR002462,4,0,2,20,380,0.373,0.0,10.0,4.41,290,1,7.71,3.18,7.71,A1,0,1
LNR002463,2,0,0,50,280,0.215,0.0,2.93,2.73,190,0,5.68,4.66,2.4,A2,0,1
LNR002464,2,0,2,28,150,0.734,0.0,6.87,5.02,70,0,2.82,3.82,5.76,B1,0,0
LNR002465,1,0,1,31,50,0.561,0.0,7.24,5.71,40,0,4.21,2.61,5.71,A0,0,1
LNR002466,3,0,2,25,500,0.103,0.0,8.55,10.0,250,1,3.87,3.38,3.4,A2,0,0
LNR002467,1,0,5,59,270,0.384,2.5,7.33,5.83,120,0,8.31,6.37,2.51,B2,1,0
LNR002468,2,0,3,18,120,0.581,3.7,8.32,8.5,40,1,4.45,7.9,6.93,A2,0,0
LNR002469,1,0,1,18,440,0.09,1.8,8.38,0.0,340,1,6.8,10.0,6.69,A2,0,0
LNR002470,2,1,1,17,310,0.406,0.0,5.05,0.0,210,1,3.72,6.76,8.17,A2,0,0
LNR002471,3,0,0,15,280,0.64,1.0,8.75,3.35,200,0,4.59,7.59,8.16,A2,0,0
LNR002472,1,1,0,25,1020,0.8,0.0,7.6,4.21,560,1,5.83,8.83,4.41,C2,1,0
LNR002473,4,0,0,33,560,0.463,0.0,6.45,5.77,330,0,4.81,6.83,8.43,A2,0,0
LNR002474,1,0,1,18,200,0.468,2.2,5.52,4.38,150,1,4.31,8.15,8.39,B1,0,1
LNR002475,3,0,1,44,460,0.063,0.0,4.43,4.28,310,1,2.04,2.27,2.55,A1,0,1
LNR002476,1,1,0,28,660,0.313,0.0,9.01,4.87,220,0,2.84,5.66,5.23,C1,1,0
LNR002477,1,0,2,46,270,0.133,0.0,8.03,2.47,200,0,0.0,5.09,1.66,A1,0,1
LNR002478,2,0,2,33,290,0.279,0.0,7.01,4.85,150,0,5.89,0.76,4.83,A1,0,1
LNR002479,1,0,0,26,990,0.578,3.6,8.13,4.42,640,1,9.11,6.28,6.76,C2,1,0
LNR002480,1,1,0,40,870,0.426,0.0,4.34,4.18,450,1,3.62,4.49,4.61,C1,1,0
LNR002481,1,0,2,32,460,0.83,4.2,10.0,6.11,320,0,4.69,8.4,3.99,C2,1,0
LNR002482,3,1,1,30,580,0.819,10.8,8.54,3.61,280,1,4.79,6.66,4.65,C1,1,0
LNR002483,3,0,2,43,580,0.448,0.0,2.67,4.39,440,0,6.87,6.37,1.05,B1,0,1
LNR002484,3,1,1,36,370,0.29,2.4,7.2,5.25,150,0,9.76,7.98,4.56,A2,0,0
LNR002485,3,1,4,13,630,0.328,1.7,10.0,3.99,330,0,7.45,9.18,9.73,B2,1,0
LNR002486,4,1,0,14,290,0.611,3.3,10.0,3.86,170,0,2.67,5.58,7.37,A1,0,1
LNR002487,3,0,1,29,420,0.547,8.1,9.31,8.37,140,0,8.58,8.07,4.6,B2,1,0
LNR002488,2,1,0,19,70,0.3,0.0,10.0,5.54,50,1,10.0,10.0,6.19,A1,0,0
LNR002489,3,1,1,38,180,0.446,0.4,7.68,6.65,130,0,9.27,7.48,4.45,A1,0,0
LNR002490,1,0,0,20,1020,0.269,0.0,8.11,5.26,800,1,5.97,5.62,5.4,C1,1,0
LNR002491,2,0,0,34,940,0.154,12.4,4.29,5.62,400,0,9.71,8.63,5.15,C2,1,0
LNR002492,4,0,1,6,410,0.742,0.0,6.68,0.27,180,0,3.52,6.93,8.45,A2,0,1
LNR002493,3,0,0,32,160,0.074,3.9,7.63,5.48,70,1,4.58,4.58,5.8,A0,0,0
LNR002494,2,0,1,11,580,0.482,0.0,10.0,5.88,370,0,1.79,8.57,10.0,A2,0,1
LNR002495,1,0,2,10,440,0.605,0.0,7.87,7.22,200,1,7.4,10.0,8.04,B2,1,0
LNR002496,3,0,0,24,190,0.915,0.3,6.95,3.72,130,0,10.0,9.2,6.88,A1,0,0
LNR002497,1,0,1,28,1070,0.322,4.3,7.9,3.66,710,0,4.49,5.57,7.95,C2,1,0
LNR002498,3,0,1,53,820,0.079,0.0,6.4,9.53,600,0,6.49,3.83,1.81,A2,0,0
LNR002499,1,0,0,38,720,0.813,0.0,8.18,9.59,340,0,4.38,9.71,5.83,C2,1,0
LNR002500,1,0,1,28,570,0.623,0.0,9.29,5.02,260,1,3.15,4.24,6.83,C1,1,0
LNR002501,4,1,1,29,300,0.317,7.0,7.28,4.61,130,0,7.7,7.31,7.7,A2,0,1
LNR002502,3,0,0,29,720,0.638,5.7,6.62,2.39,290,0,7.28,6.28,6.88,C1,1,0
LNR002503,3,0,1,45,430,0.421,0.0,5.2,4.25,200,0,0.0,8.59,1.6,A2,0,1
LNR002504,3,0,0,12,2650,0.255,0.9,4.37,6.64,1750,0,8.11,9.41,7.32,B2,1,0
LNR002505,2,0,1,24,300,0.735,0.0,7.74,4.33,110,0,5.35,5.9,10.0,A2,0,1
LNR002506,1,0,1,22,260,0.384,0.0,7.93,5.93,100,0,5.78,5.48,7.72,B1,0,1
LNR002507,4,0,0,33,160,0.188,4.0,5.36,4.69,50,1,1.56,7.06,3.83,A0,0,1
LNR002508,2,1,2,34,560,0.235,0.0,6.45,6.84,340,0,3.73,6.92,5.17,B2,1,0
LNR002509,2,0,0,25,310,0.152,7.9,10.0,7.24,190,0,5.31,2.08,3.48,A2,0,0
LNR002510,3,0,0,8,900,0.444,0.0,5.5,4.82,340,0,4.28,6.37,9.25,B1,0,1
LNR002511,2,1,0,38,140,0.489,0.0,3.95,8.36,90,0,1.02,3.65,3.99,A2,0,1
LNR002512,1,0,0,22,930,0.699,0.0,10.0,4.37,630,0,5.63,4.1,5.52,C2,1,0
LNR002513,1,0,0,17,180,0.43,0.0,9.08,5.79,100,0,1.93,7.33,4.51,B1,0,1
LNR002514,2,0,0,28,180,0.375,2.6,7.33,6.42,80,0,9.31,5.85,3.55,A1,0,1
LNR002515,3,0,0,25,690,0.206,0.0,1.63,8.86,210,0,6.13,6.3,6.58,B1,0,1
LNR002516,2,0,1,19,230,0.27,0.0,10.0,2.29,120,1,5.69,6.94,5.18,A1,0,0
LNR002517,4,0,0,39,320,0.102,0.0,6.68,2.35,210,0,6.26,8.3,7.56,A0,0,1
LNR002518,1,1,0,37,980,0.296,0.0,2.54,5.92,450,0,6.22,3.87,6.37,C1,1,0
LNR002519,1,0,4,16,620,0.071,0.0,4.0,4.54,430,0,3.76,1.53,5.93,A2,0,1
LNR002520,4,0,0,12,370,0.71,0.0,6.77,3.85,270,0,3.76,7.79,6.2,A1,0,1
LNR002521,2,0,0,26,710,0.296,0.0,5.45,6.97,450,0,4.05,9.19,6.59,B1,0,0
LNR002522,3,1,1,31,840,0.05,0.0,6.0,3.1,270,0,4.69,9.13,6.27,A2,0,0
LNR002523,4,1,1,41,1450,0.251,0.0,6.87,5.14,1050,0,4.93,10.0,3.84,A2,0,0
LNR002524,3,0,0,29,570,0.524,0.0,9.34,7.41,210,0,4.64,7.77,3.91,B1,0,1
LNR002525,1,0,2,32,230,0.079,0.6,7.89,3.75,140,0,2.79,6.5,6.54,A1,0,1
LNR002526,2,0,1,25,1260,0.15,0.0,7.07,10.0,660,0,2.14,3.7,6.87,B2,1,0
LNR002527,4,0,0,34,380,0.297,0.0,6.16,5.82,170,0,3.24,5.18,6.41,A1,0,1
LNR002528,4,0,0,28,100,0.583,0.0,6.12,3.54,40,1,3.85,6.62,6.45,A0,0,1
LNR002529,4,0,0,6,280,0.577,0.0,3.46,0.77,150,0,4.01,4.5,9.06,A1,0,1
LNR002530,1,0,2,21,580,0.26,0.0,8.5,7.12,290,1,5.58,7.94,9.02,C1,1,0
LNR002531,2,0,1,29,310,0.595,0.0,7.53,3.79,210,1,4.53,3.64,5.8,A2,0,0
LNR002532,4,1,4,31,1150,0.517,3.2,5.61,0.85,920,1,9.3,10.0,3.42,B2,1,0
LNR002533,1,0,0,17,760,0.556,2.4,7.32,7.75,360,1,8.93,7.39,6.87,C1,1,0
LNR002534,1,0,1,34,130,0.289,0.0,3.46,4.32,90,0,7.69,6.37,5.04,A1,0,0
LNR002535,3,0,0,19,970,0.214,2.3,5.24,7.02,380,1,4.02,7.73,6.77,B2,1,0
LNR002536,3,1,1,28,210,0.466,0.0,4.93,0.51,80,0,3.82,4.88,6.12,A1,0,1
LNR002537,4,0,0,28,420,0.765,0.0,2.33,8.05,210,0,6.15,5.29,4.85,A2,0,1
LNR002538,3,0,0,39,600,0.359,0.0,6.73,7.04,230,0,6.16,4.21,5.04,B1,0,1
